explicit_term,generation,candidate_pages,candidate_books,epistemic_state
diversidad linguistica,1993,1,1,computational_candidate
diversidad linguistica,2008,4,3,computational_candidate
diversidad linguistica,2011,2,2,computational_candidate
diversidad linguistica,2014,3,2,computational_candidate
diversidad linguistica,2018,1,1,computational_candidate
diversidad linguistica,2019,1,1,computational_candidate
idioma indigena,1972,1,1,computational_candidate
idioma originario,2008,1,1,computational_candidate
idiomas indigenas,1966,1,1,computational_candidate
idiomas indigenas,1993,6,3,computational_candidate
idiomas indigenas,2008,3,1,computational_candidate
idiomas indigenas,2014,1,1,computational_candidate
idiomas indigenas,2018,1,1,computational_candidate
idiomas indigenas,2019,1,1,computational_candidate
lengua indigena,1960,1,1,computational_candidate
lengua indigena,1966,1,1,computational_candidate
lengua indigena,1982,2,2,computational_candidate
lengua indigena,1988,2,2,computational_candidate
lengua indigena,1993,21,16,computational_candidate
lengua indigena,2008,45,8,computational_candidate
lengua indigena,2011,59,10,computational_candidate
lengua indigena,2014,85,28,computational_candidate
lengua indigena,2019,49,8,computational_candidate
lengua nacional,1966,3,2,computational_candidate
lengua nacional,1993,2,2,computational_candidate
lengua nacional,2008,1,1,computational_candidate
lengua nacional,2019,1,1,computational_candidate
lengua originaria,1988,2,1,computational_candidate
lengua originaria,2011,1,1,computational_candidate
lengua originaria,2014,1,1,computational_candidate
lengua originaria,2018,2,1,computational_candidate
lengua originaria,2019,3,2,computational_candidate
lenguas indigenas,1960,1,1,computational_candidate
lenguas indigenas,1966,9,4,computational_candidate
lenguas indigenas,1972,2,1,computational_candidate
lenguas indigenas,1982,3,2,computational_candidate
lenguas indigenas,1988,4,3,computational_candidate
lenguas indigenas,1993,40,30,computational_candidate
lenguas indigenas,2008,22,10,computational_candidate
lenguas indigenas,2011,35,16,computational_candidate
lenguas indigenas,2014,59,29,computational_candidate
lenguas indigenas,2018,2,1,computational_candidate
lenguas indigenas,2019,27,14,computational_candidate
lenguas originarias,2014,6,6,computational_candidate
lenguas originarias,2019,1,1,computational_candidate
