language_group,generation,grade_code,wave,candidate_pages,candidate_books,epistemic_state
Cora / náayeri,1960,4,W3,1,1,computational_candidate
Cora / náayeri,1966,5,W3,1,1,computational_candidate
Cora / náayeri,1988,6,W3,2,1,computational_candidate
Cora / náayeri,1993,2,W11,1,1,computational_candidate
Cora / náayeri,1993,3,W10,2,1,computational_candidate
Cora / náayeri,1993,4,W6,1,1,computational_candidate
Cora / náayeri,1993,6,W11,7,4,computational_candidate
Cora / náayeri,2008,1,W3,1,1,computational_candidate
Cora / náayeri,2008,2,W3,1,1,computational_candidate
Cora / náayeri,2008,4,W6,1,1,computational_candidate
Cora / náayeri,2011,4,W6,1,1,computational_candidate
Cora / náayeri,2011,6,W3,1,1,computational_candidate
Cora / náayeri,2014,2,W3,1,1,computational_candidate
Cora / náayeri,2014,3,W11,1,1,computational_candidate
Cora / náayeri,2014,4,W6,2,1,computational_candidate
Cora / náayeri,2014,6,W3,1,1,computational_candidate
Cora / náayeri,2019,4,W6,1,1,computational_candidate
Cora / náayeri,2019,6,W3,1,1,computational_candidate
Cora / náayeri,2019,6,W5,1,1,computational_candidate
Huasteco / teenek,1993,3,W10,10,4,computational_candidate
Huasteco / teenek,1993,6,W11,22,7,computational_candidate
Huasteco / teenek,2008,4,W6,2,1,computational_candidate
Huasteco / teenek,2011,4,W6,2,1,computational_candidate
Huasteco / teenek,2011,6,W3,1,1,computational_candidate
Huasteco / teenek,2011,6,W5,1,1,computational_candidate
Huasteco / teenek,2014,3,W11,16,4,computational_candidate
Huasteco / teenek,2014,3,W3,1,1,computational_candidate
Huasteco / teenek,2014,4,W6,2,1,computational_candidate
Huasteco / teenek,2014,4,W7,1,1,computational_candidate
Huasteco / teenek,2014,6,W3,1,1,computational_candidate
Huasteco / teenek,2014,6,W5,1,1,computational_candidate
Huasteco / teenek,2019,3,W3,1,1,computational_candidate
Huasteco / teenek,2019,4,W6,2,1,computational_candidate
Huasteco / teenek,2019,6,W3,1,1,computational_candidate
Huasteco / teenek,2019,6,W5,1,1,computational_candidate
Maya,1960,3,W10,2,1,computational_candidate
Maya,1960,5,W10,1,1,computational_candidate
Maya,1966,3,W10,2,1,computational_candidate
Maya,1966,5,W10,5,2,computational_candidate
Maya,1966,5,W3,3,1,computational_candidate
Maya,1966,6,W10,1,1,computational_candidate
Maya,1966,6,W3,1,1,computational_candidate
Maya,1972,1,W2,1,1,computational_candidate
Maya,1972,3,W10,1,1,computational_candidate
Maya,1972,3,W4,1,1,computational_candidate
Maya,1972,4,W4,2,1,computational_candidate
Maya,1972,5,W3,2,2,computational_candidate
Maya,1972,5,W4,1,1,computational_candidate
Maya,1972,6,W3,1,1,computational_candidate
Maya,1982,1,W11,1,1,computational_candidate
Maya,1982,4,W4,1,1,computational_candidate
Maya,1988,1,W11,2,2,computational_candidate
Maya,1988,3,W4,1,1,computational_candidate
Maya,1988,4,W4,2,1,computational_candidate
Maya,1988,5,W3,1,1,computational_candidate
Maya,1988,6,W3,2,1,computational_candidate
Maya,1993,1,W11,1,1,computational_candidate
Maya,1993,3,W10,38,11,computational_candidate
Maya,1993,3,W3,2,2,computational_candidate
Maya,1993,4,W5,5,1,computational_candidate
Maya,1993,4,W6,2,2,computational_candidate
Maya,1993,5,W1,1,1,computational_candidate
Maya,1993,5,W5,2,1,computational_candidate
Maya,1993,5,W6,1,1,computational_candidate
Maya,1993,6,W11,51,10,computational_candidate
Maya,1993,6,W2,1,1,computational_candidate
Maya,1993,6,W5,1,1,computational_candidate
Maya,2008,2,W3,4,1,computational_candidate
Maya,2008,2,W7,1,1,computational_candidate
Maya,2008,3,W3,1,1,computational_candidate
Maya,2008,4,W5,6,1,computational_candidate
Maya,2008,4,W6,3,2,computational_candidate
Maya,2008,5,W6,1,1,computational_candidate
Maya,2008,6,W3,1,1,computational_candidate
Maya,2008,6,W5,1,1,computational_candidate
Maya,2011,2,W3,2,1,computational_candidate
Maya,2011,2,W7,1,1,computational_candidate
Maya,2011,4,W3,1,1,computational_candidate
Maya,2011,4,W5,2,1,computational_candidate
Maya,2011,4,W6,2,1,computational_candidate
Maya,2011,4,W7,1,1,computational_candidate
Maya,2011,6,W3,5,2,computational_candidate
Maya,2011,6,W5,3,1,computational_candidate
Maya,2011,6,W6,1,1,computational_candidate
Maya,2011,6,W8,1,1,computational_candidate
Maya,2014,2,W7,1,1,computational_candidate
Maya,2014,3,W11,54,8,computational_candidate
Maya,2014,3,W3,1,1,computational_candidate
Maya,2014,4,W5,3,1,computational_candidate
Maya,2014,4,W6,3,1,computational_candidate
Maya,2014,4,W7,1,1,computational_candidate
Maya,2014,5,W3,1,1,computational_candidate
Maya,2014,6,W3,4,2,computational_candidate
Maya,2014,6,W5,3,1,computational_candidate
Maya,2014,6,W6,1,1,computational_candidate
Maya,2018,2,W3,1,1,computational_candidate
Maya,2019,2,W3,1,1,computational_candidate
Maya,2019,2,W7,1,1,computational_candidate
Maya,2019,4,W5,3,1,computational_candidate
Maya,2019,4,W6,4,1,computational_candidate
Maya,2019,5,W3,1,1,computational_candidate
Maya,2019,6,W3,3,1,computational_candidate
Maya,2019,6,W5,3,1,computational_candidate
Maya,2019,6,W6,1,1,computational_candidate
Mayo / yoreme,1960,3,W10,1,1,computational_candidate
Mayo / yoreme,1960,4,W10,2,2,computational_candidate
Mayo / yoreme,1966,3,W10,1,1,computational_candidate
Mayo / yoreme,1966,4,W10,1,1,computational_candidate
Mayo / yoreme,1966,6,W3,2,2,computational_candidate
Mayo / yoreme,1972,5,W3,3,3,computational_candidate
Mayo / yoreme,1988,5,W3,1,1,computational_candidate
Mayo / yoreme,1988,6,W3,1,1,computational_candidate
Mayo / yoreme,1993,3,W10,5,2,computational_candidate
Mayo / yoreme,1993,4,W5,1,1,computational_candidate
Mayo / yoreme,1993,5,W3,2,2,computational_candidate
Mayo / yoreme,1993,6,W11,19,12,computational_candidate
Mayo / yoreme,1993,6,W5,1,1,computational_candidate
Mayo / yoreme,2008,2,W4,1,1,computational_candidate
Mayo / yoreme,2008,4,W5,1,1,computational_candidate
Mayo / yoreme,2008,6,W2,1,1,computational_candidate
Mayo / yoreme,2011,4,W3,1,1,computational_candidate
Mayo / yoreme,2011,4,W6,3,2,computational_candidate
Mayo / yoreme,2011,5,W5,1,1,computational_candidate
Mayo / yoreme,2011,6,W3,1,1,computational_candidate
Mayo / yoreme,2014,2,W3,1,1,computational_candidate
Mayo / yoreme,2014,3,W11,7,2,computational_candidate
Mayo / yoreme,2014,4,W6,2,2,computational_candidate
Mayo / yoreme,2014,6,W3,2,2,computational_candidate
Mayo / yoreme,2018,1,W2,1,1,computational_candidate
