generation,grade_code,wave,candidate_pages,explicit_general_pages,named_language_contextual_pages,candidate_books,epistemic_state
1960,2,W11,1,0,1,1,exploratory_signal
1960,2,W3,1,0,1,1,exploratory_signal
1960,3,W10,13,0,13,2,exploratory_signal
1960,4,W10,4,0,4,2,exploratory_signal
1960,4,W3,2,1,1,1,exploratory_signal
1960,4,W6,1,1,0,1,exploratory_signal
1960,5,W10,1,0,1,1,exploratory_signal
1966,2,W11,1,0,1,1,exploratory_signal
1966,2,W3,1,0,1,1,exploratory_signal
1966,3,W10,12,0,12,2,exploratory_signal
1966,4,W10,3,0,3,2,exploratory_signal
1966,4,W3,1,1,0,1,exploratory_signal
1966,4,W6,1,1,0,1,exploratory_signal
1966,5,W10,6,0,6,2,exploratory_signal
1966,5,W3,7,4,6,2,exploratory_signal
1966,5,W6,6,6,0,1,exploratory_signal
1966,6,W1,1,0,1,1,exploratory_signal
1966,6,W10,1,0,1,1,exploratory_signal
1966,6,W3,3,0,3,2,exploratory_signal
1972,1,W2,1,0,1,1,exploratory_signal
1972,1,W3,1,0,1,1,exploratory_signal
1972,2,W3,3,0,3,1,exploratory_signal
1972,2,W4,1,0,1,1,exploratory_signal
1972,3,W10,5,0,5,1,exploratory_signal
1972,3,W4,5,0,5,1,exploratory_signal
1972,4,W4,5,3,2,1,exploratory_signal
1972,5,W3,5,0,5,3,exploratory_signal
1972,5,W4,1,0,1,1,exploratory_signal
1972,6,W3,1,0,1,1,exploratory_signal
1982,1,W11,1,0,1,1,exploratory_signal
1982,2,W11,2,2,0,1,exploratory_signal
1982,4,W4,5,3,2,1,exploratory_signal
1988,1,W11,2,0,2,2,exploratory_signal
1988,2,W11,2,2,0,1,exploratory_signal
1988,3,W4,4,1,3,1,exploratory_signal
1988,4,W4,5,3,2,1,exploratory_signal
1988,5,W3,3,0,3,2,exploratory_signal
1988,6,W3,6,2,6,2,exploratory_signal
1993,1,W11,1,1,1,1,exploratory_signal
1993,2,W11,1,0,1,1,exploratory_signal
1993,2,W3,4,4,0,3,exploratory_signal
1993,3,W10,125,23,112,27,exploratory_signal
1993,3,W3,7,3,6,2,exploratory_signal
1993,4,W3,5,0,5,2,exploratory_signal
1993,4,W5,14,2,14,1,exploratory_signal
1993,4,W6,8,8,2,2,exploratory_signal
1993,5,W1,1,0,1,1,exploratory_signal
1993,5,W3,4,1,3,2,exploratory_signal
1993,5,W5,5,1,4,1,exploratory_signal
1993,5,W6,2,2,1,2,exploratory_signal
1993,6,W11,185,18,177,30,exploratory_signal
1993,6,W2,1,0,1,1,exploratory_signal
1993,6,W5,3,1,2,1,exploratory_signal
1993,6,W6,1,0,1,1,exploratory_signal
2008,1,W3,1,0,1,1,exploratory_signal
2008,1,W7,1,1,0,1,exploratory_signal
2008,2,W3,11,6,7,1,exploratory_signal
2008,2,W4,3,0,3,1,exploratory_signal
2008,2,W7,3,2,2,1,exploratory_signal
2008,3,W3,2,1,2,1,exploratory_signal
2008,3,W7,2,1,1,1,exploratory_signal
2008,4,W3,5,0,5,2,exploratory_signal
2008,4,W5,15,1,15,1,exploratory_signal
2008,4,W6,38,38,8,2,exploratory_signal
2008,4,W7,7,6,1,1,exploratory_signal
2008,5,W6,1,1,1,1,exploratory_signal
2008,5,W7,2,1,1,1,exploratory_signal
2008,6,W2,1,0,1,1,exploratory_signal
2008,6,W3,6,6,4,1,exploratory_signal
2008,6,W5,5,1,4,1,exploratory_signal
2008,6,W6,1,1,0,1,exploratory_signal
2008,6,W7,1,1,0,1,exploratory_signal
2011,1,W10,2,1,1,1,exploratory_signal
2011,1,W11,1,1,0,1,exploratory_signal
2011,1,W3,1,1,0,1,exploratory_signal
2011,1,W7,5,5,0,1,exploratory_signal
2011,2,W10,4,2,2,1,exploratory_signal
2011,2,W11,1,1,0,1,exploratory_signal
2011,2,W3,10,7,3,2,exploratory_signal
2011,2,W7,3,2,1,1,exploratory_signal
2011,3,W3,3,2,1,2,exploratory_signal
2011,3,W7,2,0,2,1,exploratory_signal
2011,4,W1,2,0,2,1,exploratory_signal
2011,4,W11,2,0,2,1,exploratory_signal
2011,4,W3,3,0,3,2,exploratory_signal
2011,4,W5,10,5,7,1,exploratory_signal
2011,4,W6,41,39,8,2,exploratory_signal
2011,4,W7,4,3,2,1,exploratory_signal
2011,5,W5,1,0,1,1,exploratory_signal
2011,5,W7,2,1,2,1,exploratory_signal
2011,6,W3,14,10,8,2,exploratory_signal
2011,6,W5,3,0,3,1,exploratory_signal
2011,6,W6,3,2,1,1,exploratory_signal
2011,6,W7,3,3,0,1,exploratory_signal
2011,6,W8,4,2,2,1,exploratory_signal
2014,1,W7,3,3,0,1,exploratory_signal
2014,2,W10,3,1,2,1,exploratory_signal
2014,2,W3,2,1,2,2,exploratory_signal
2014,2,W7,3,1,2,1,exploratory_signal
2014,3,W11,175,59,145,29,exploratory_signal
2014,3,W3,2,0,2,2,exploratory_signal
2014,3,W7,2,0,2,1,exploratory_signal
2014,4,W1,2,0,2,1,exploratory_signal
2014,4,W11,1,0,1,1,exploratory_signal
2014,4,W3,4,1,3,2,exploratory_signal
2014,4,W5,6,2,5,1,exploratory_signal
2014,4,W6,42,39,23,2,exploratory_signal
2014,4,W7,5,4,3,1,exploratory_signal
2014,5,W3,2,1,2,2,exploratory_signal
2014,6,W2,2,2,0,2,exploratory_signal
2014,6,W3,13,11,9,2,exploratory_signal
2014,6,W5,4,0,4,1,exploratory_signal
2014,6,W6,2,1,1,1,exploratory_signal
2014,6,W7,4,3,3,1,exploratory_signal
2014,6,W8,3,2,1,1,exploratory_signal
2018,1,W2,1,0,1,1,exploratory_signal
2018,1,W3,1,0,1,1,exploratory_signal
2018,2,W11,3,0,3,2,exploratory_signal
2018,2,W3,20,4,19,3,exploratory_signal
2019,1,W2,1,0,1,1,exploratory_signal
2019,1,W3,1,0,1,1,exploratory_signal
2019,1,W7,3,3,0,1,exploratory_signal
2019,2,W11,4,1,3,2,exploratory_signal
2019,2,W3,20,4,19,3,exploratory_signal
2019,2,W7,3,1,2,1,exploratory_signal
2019,3,W3,1,0,1,1,exploratory_signal
2019,3,W7,2,0,2,1,exploratory_signal
2019,4,W1,2,0,2,1,exploratory_signal
2019,4,W3,5,1,4,2,exploratory_signal
2019,4,W5,6,2,5,1,exploratory_signal
2019,4,W6,42,39,20,2,exploratory_signal
2019,4,W7,6,4,4,1,exploratory_signal
2019,5,W3,2,1,2,2,exploratory_signal
2019,5,W7,2,2,0,1,exploratory_signal
2019,6,W2,1,1,0,1,exploratory_signal
2019,6,W3,13,11,10,2,exploratory_signal
2019,6,W5,5,0,5,1,exploratory_signal
2019,6,W6,1,0,1,1,exploratory_signal
2019,6,W7,4,3,3,1,exploratory_signal
2019,6,W8,2,1,1,1,exploratory_signal
