catalog_entry_id,cycle,level,grade,viewer_key,source_object_id,shared_viewer,cataloged_state,reader_shell_state,asset_resolution_state,page_count_state,page_count,source_admission_state,text_access_observation_state,embedded_text_sample_state,ocr_available_state,text_verified_state,semantic_ready_state
CONALITEG-2026-PRIMARIA-G1-P1LPM,2026-2027,primaria,1,P1LPM,CONALITEG:2026:primaria:P1LPM,yes,cataloged,resolved,resolved_pdf,observed,91,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G1-P1MLA,2026-2027,primaria,1,P1MLA,CONALITEG:2026:primaria:P1MLA,no,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G1-P1PAA,2026-2027,primaria,1,P1PAA,CONALITEG:2026:primaria:P1PAA,no,cataloged,resolved,resolved_pdf,observed,243,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G1-P1PCA,2026-2027,primaria,1,P1PCA,CONALITEG:2026:primaria:P1PCA,no,cataloged,resolved,resolved_pdf,observed,275,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G1-P1PEA,2026-2027,primaria,1,P1PEA,CONALITEG:2026:primaria:P1PEA,no,cataloged,resolved,resolved_pdf,observed,275,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G1-P1SDA,2026-2027,primaria,1,P1SDA,CONALITEG:2026:primaria:P1SDA,no,cataloged,resolved,resolved_pdf,observed,251,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G1-P1TNA,2026-2027,primaria,1,P1TNA,CONALITEG:2026:primaria:P1TNA,no,cataloged,resolved,resolved_pdf,observed,131,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G1-P1TPA,2026-2027,primaria,1,P1TPA,CONALITEG:2026:primaria:P1TPA,no,cataloged,resolved,resolved_pdf,observed,131,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G2-P1LPM,2026-2027,primaria,2,P1LPM,CONALITEG:2026:primaria:P1LPM,yes,cataloged,resolved,resolved_pdf,observed,91,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G2-P2MLA,2026-2027,primaria,2,P2MLA,CONALITEG:2026:primaria:P2MLA,no,cataloged,resolved,resolved_pdf,observed,258,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
