source_object_id,viewer_key,source_cycle,cycle_label,level,catalog_entry_count,catalog_grades,cataloged_state,reader_shell_state,asset_resolution_state,page_count_state,page_count,source_admission_state,text_access_observation_state,embedded_text_sample_state,ocr_available_state,text_verified_state,semantic_ready_state
CONALITEG:2026:primaria:P0CMA,P0CMA,2026,2026-2027,primaria,1,4,cataloged,resolved,resolved_pdf,observed,191,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P0SHA,P0SHA,2026,2026-2027,primaria,1,4,cataloged,resolved,resolved_pdf,observed,355,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P1LPM,P1LPM,2026,2026-2027,primaria,2,1|2,cataloged,resolved,resolved_pdf,observed,91,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P1MLA,P1MLA,2026,2026-2027,primaria,1,1,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P1PAA,P1PAA,2026,2026-2027,primaria,1,1,cataloged,resolved,resolved_pdf,observed,243,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P1PCA,P1PCA,2026,2026-2027,primaria,1,1,cataloged,resolved,resolved_pdf,observed,275,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P1PEA,P1PEA,2026,2026-2027,primaria,1,1,cataloged,resolved,resolved_pdf,observed,275,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P1SDA,P1SDA,2026,2026-2027,primaria,1,1,cataloged,resolved,resolved_pdf,observed,251,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P1TNA,P1TNA,2026,2026-2027,primaria,1,1,cataloged,resolved,resolved_pdf,observed,131,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P1TPA,P1TPA,2026,2026-2027,primaria,1,1,cataloged,resolved,resolved_pdf,observed,131,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P2MLA,P2MLA,2026,2026-2027,primaria,1,2,cataloged,resolved,resolved_pdf,observed,258,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P2PAA,P2PAA,2026,2026-2027,primaria,1,2,cataloged,resolved,resolved_pdf,observed,267,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P2PCA,P2PCA,2026,2026-2027,primaria,1,2,cataloged,resolved,resolved_pdf,observed,283,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P2PEA,P2PEA,2026,2026-2027,primaria,1,2,cataloged,resolved,resolved_pdf,observed,275,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P2SDA,P2SDA,2026,2026-2027,primaria,1,2,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P2TNA,P2TNA,2026,2026-2027,primaria,1,2,cataloged,resolved,resolved_pdf,observed,147,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P2TPA,P2TPA,2026,2026-2027,primaria,1,2,cataloged,resolved,resolved_pdf,observed,115,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P3LPM,P3LPM,2026,2026-2027,primaria,2,3|4,cataloged,resolved,resolved_pdf,observed,99,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P3MLA,P3MLA,2026,2026-2027,primaria,1,3,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P3PAA,P3PAA,2026,2026-2027,primaria,1,3,cataloged,resolved,resolved_pdf,observed,363,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P3PCA,P3PCA,2026,2026-2027,primaria,1,3,cataloged,resolved,resolved_pdf,observed,363,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P3PEA,P3PEA,2026,2026-2027,primaria,1,3,cataloged,resolved,resolved_pdf,observed,363,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P3SDA,P3SDA,2026,2026-2027,primaria,1,3,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P4MLA,P4MLA,2026,2026-2027,primaria,1,4,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P4PAA,P4PAA,2026,2026-2027,primaria,1,4,cataloged,resolved,resolved_pdf,observed,363,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P4PCA,P4PCA,2026,2026-2027,primaria,1,4,cataloged,resolved,resolved_pdf,observed,347,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P4PEA,P4PEA,2026,2026-2027,primaria,1,4,cataloged,resolved,resolved_pdf,observed,363,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P4SDA,P4SDA,2026,2026-2027,primaria,1,4,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P5LPM,P5LPM,2026,2026-2027,primaria,2,5|6,cataloged,resolved,resolved_pdf,observed,99,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P5MLA,P5MLA,2026,2026-2027,primaria,1,5,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P5PAA,P5PAA,2026,2026-2027,primaria,1,5,cataloged,resolved,resolved_pdf,observed,371,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P5PCA,P5PCA,2026,2026-2027,primaria,1,5,cataloged,resolved,resolved_pdf,observed,347,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P5PEA,P5PEA,2026,2026-2027,primaria,1,5,cataloged,resolved,resolved_pdf,observed,347,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P5SDA,P5SDA,2026,2026-2027,primaria,1,5,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P6MLA,P6MLA,2026,2026-2027,primaria,1,6,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P6PAA,P6PAA,2026,2026-2027,primaria,1,6,cataloged,resolved,resolved_pdf,observed,371,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P6PCA,P6PCA,2026,2026-2027,primaria,1,6,cataloged,resolved,resolved_pdf,observed,347,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P6PEA,P6PEA,2026,2026-2027,primaria,1,6,cataloged,resolved,resolved_pdf,observed,371,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG:2026:primaria:P6SDA,P6SDA,2026,2026-2027,primaria,1,6,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
