inventory_version,viewer_key,catalog_generation,grade_code,title_core,viewer_title,audit_status,corpus_status
CN_FAMILY_INVENTORY_0.1,H1972P1CI058,1972,1,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 1° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H1972P2CI064,1972,2,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 2° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H1972P3CI070,1972,3,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 3° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H1972P4CI077,1972,4,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 4° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,pilot_or_expansion_audited
CN_FAMILY_INVENTORY_0.1,H1972P5CI084,1972,5,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 5° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,pilot_or_expansion_audited
CN_FAMILY_INVENTORY_0.1,H1972P6CI090,1972,6,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 6° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,pilot_or_expansion_audited
CN_FAMILY_INVENTORY_0.1,H1982P3CI103,1982,3,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 3° Generación 1982 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H1982P4CI383,1982,4,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 4° Generación 1982 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H1982P5CI389,1982,5,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 5° Generación 1982 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H1982P6CI395,1982,6,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 6° Generación 1982 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H1988P3CI129,1988,3,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 3° Generación 1988 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H1988P4CI119,1988,4,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 4° Generación 1988 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,pilot_or_expansion_audited
