manifest_version,book_id,viewer_key,catalog_generation,grade,viewer_positions,source_jpegs,terminal_synthetic,internal_missing,total_source_bytes,unique_source_hashes,corpus_ready_asset_layer
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN1-G1972,H1972P1CI058,1972,1,99,98,1,0,4630843,98,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN2-G1972,H1972P2CI064,1972,2,99,98,1,0,4217044,98,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN3-G1972,H1972P3CI070,1972,3,147,146,1,0,7268990,146,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN3-G1982,H1982P3CI103,1982,3,179,178,1,0,10022291,178,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN4-G1982,H1982P4CI383,1982,4,215,214,1,0,10317105,214,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN5-G1982,H1982P5CI389,1982,5,259,258,1,0,17881688,258,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN6-G1982,H1982P6CI395,1982,6,211,210,1,0,11438747,210,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN3-G1988,H1988P3CI129,1988,3,179,178,1,0,21738009,178,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN3-G1993,H1993P3CI153,1993,3,179,178,1,0,12841412,178,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN3-G2008,H2008P3CI263,2008,3,178,177,0,1,12761376,177,0
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN4-G2008,H2008P4CI268,2008,4,177,175,0,2,12878516,175,0
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN5-G2008,H2008P5CI277,2008,5,163,162,1,0,39517336,162,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN3-G2011,H2011P3CI307,2011,3,154,153,1,0,48595310,153,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN4-G2011,H2011P4CI314,2011,4,162,161,1,0,52065273,161,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN5-G2011,H2011P5CI325,2011,5,162,161,1,0,44016354,161,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN6-G2011,H2011P6CI335,2011,6,178,177,1,0,63779357,177,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN3-G2014,H2014P3CNA,2014,3,154,153,1,0,60391769,153,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN3-G2018,H2018P3CNA,2018,3,154,0,1,153,0,0,0
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN4-G2018,H2018P4CNA,2018,4,162,0,1,161,0,0,0
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN5-G2018,H2018P5CNA,2018,5,162,0,1,161,0,0,0
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN6-G2018,H2018P6CNA,2018,6,178,0,1,177,0,0,0
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN3-G2019,H2019P3CNA,2019,3,154,153,1,0,16438368,153,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN4-G2019,H2019P4CNA,2019,4,162,161,1,0,19178556,161,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN5-G2019,H2019P5CNA,2019,5,162,161,1,0,19538019,161,1
CN_PENDING_PAGE_MANIFEST_0.1,LTMD-CN6-G2019,H2019P6CNA,2019,6,178,177,1,0,20882976,177,1
