inventory_version,book_id,viewer_key,catalog_generation,grade,title_core,viewer_positions_declared,expected_source_assets_if_single_terminal,source_url,current_corpus_status,next_required_stage
CN_TECH_INVENTORY_0.1,LTMD-CN1-G1972,H1972P1CI058,1972,1,CIENCIAS NATURALES,99,98,https://historico.conaliteg.gob.mx/H1972P1CI058.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN2-G1972,H1972P2CI064,1972,2,CIENCIAS NATURALES,99,98,https://historico.conaliteg.gob.mx/H1972P2CI064.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN3-G1972,H1972P3CI070,1972,3,CIENCIAS NATURALES,147,146,https://historico.conaliteg.gob.mx/H1972P3CI070.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,CIENCIAS NATURALES,215,214,https://historico.conaliteg.gob.mx/H1972P4CI077.htm,audited_existing,reuse_existing_manifest
CN_TECH_INVENTORY_0.1,LTMD-CN5-G1972,H1972P5CI084,1972,5,CIENCIAS NATURALES,259,258,https://historico.conaliteg.gob.mx/H1972P5CI084.htm,audited_existing,reuse_existing_manifest
CN_TECH_INVENTORY_0.1,LTMD-CN6-G1972,H1972P6CI090,1972,6,CIENCIAS NATURALES,211,210,https://historico.conaliteg.gob.mx/H1972P6CI090.htm,audited_existing,reuse_existing_manifest
CN_TECH_INVENTORY_0.1,LTMD-CN3-G1982,H1982P3CI103,1982,3,CIENCIAS NATURALES,179,178,https://historico.conaliteg.gob.mx/H1982P3CI103.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN4-G1982,H1982P4CI383,1982,4,CIENCIAS NATURALES,215,214,https://historico.conaliteg.gob.mx/H1982P4CI383.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN5-G1982,H1982P5CI389,1982,5,CIENCIAS NATURALES,259,258,https://historico.conaliteg.gob.mx/H1982P5CI389.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN6-G1982,H1982P6CI395,1982,6,CIENCIAS NATURALES,211,210,https://historico.conaliteg.gob.mx/H1982P6CI395.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN3-G1988,H1988P3CI129,1988,3,CIENCIAS NATURALES,179,178,https://historico.conaliteg.gob.mx/H1988P3CI129.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN4-G1988,H1988P4CI119,1988,4,CIENCIAS NATURALES,215,214,https://historico.conaliteg.gob.mx/H1988P4CI119.htm,audited_existing,reuse_existing_manifest
CN_TECH_INVENTORY_0.1,LTMD-CN5-G1988,H1988P5CI123,1988,5,CIENCIAS NATURALES,163,162,https://historico.conaliteg.gob.mx/H1988P5CI123.htm,audited_existing,reuse_existing_manifest
CN_TECH_INVENTORY_0.1,LTMD-CN6-G1988,H1988P6CI128,1988,6,CIENCIAS NATURALES,243,242,https://historico.conaliteg.gob.mx/H1988P6CI128.htm,audited_existing,reuse_existing_manifest
CN_TECH_INVENTORY_0.1,LTMD-CN3-G1993,H1993P3CI153,1993,3,Ciencias Naturales,179,178,https://historico.conaliteg.gob.mx/H1993P3CI153.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN4-G1993,H1993P4CI191,1993,4,Ciencias Naturales,179,178,https://historico.conaliteg.gob.mx/H1993P4CI191.htm,audited_existing,reuse_existing_manifest
CN_TECH_INVENTORY_0.1,LTMD-CN5-G1993,H1993P5CI200,1993,5,Ciencias Naturales,179,178,https://historico.conaliteg.gob.mx/H1993P5CI200.htm,audited_existing,reuse_existing_manifest
CN_TECH_INVENTORY_0.1,LTMD-CN6-G1993-CN,H1993P6CI210,1993,6,Ciencias Naturales,243,242,https://historico.conaliteg.gob.mx/H1993P6CI210.htm,audited_existing,reuse_existing_manifest
CN_TECH_INVENTORY_0.1,LTMD-CN3-G2008,H2008P3CI263,2008,3,CIENCIAS NATURALES,178,177,https://historico.conaliteg.gob.mx/H2008P3CI263.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN4-G2008,H2008P4CI268,2008,4,CIENCIAS NATURALES,177,176,https://historico.conaliteg.gob.mx/H2008P4CI268.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN5-G2008,H2008P5CI277,2008,5,CIENCIAS NATURALES,163,162,https://historico.conaliteg.gob.mx/H2008P5CI277.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN3-G2011,H2011P3CI307,2011,3,CIENCIAS NATURALES,154,153,https://historico.conaliteg.gob.mx/H2011P3CI307.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN4-G2011,H2011P4CI314,2011,4,CIENCIAS NATURALES,162,161,https://historico.conaliteg.gob.mx/H2011P4CI314.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN5-G2011,H2011P5CI325,2011,5,CIENCIAS NATURALES,162,161,https://historico.conaliteg.gob.mx/H2011P5CI325.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN6-G2011,H2011P6CI335,2011,6,CIENCIAS NATURALES,178,177,https://historico.conaliteg.gob.mx/H2011P6CI335.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN3-G2014,H2014P3CNA,2014,3,Ciencias Naturales,154,153,https://historico.conaliteg.gob.mx/H2014P3CNA.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN4-G2014,H2014P4CNA,2014,4,Ciencias Naturales,162,161,https://historico.conaliteg.gob.mx/H2014P4CNA.htm,audited_existing,reuse_existing_manifest
CN_TECH_INVENTORY_0.1,LTMD-CN5-G2014,H2014P5CNA,2014,5,Ciencias Naturales,162,161,https://historico.conaliteg.gob.mx/H2014P5CNA.htm,audited_existing,reuse_existing_manifest
CN_TECH_INVENTORY_0.1,LTMD-CN6-G2014,H2014P6CNA,2014,6,Ciencias Naturales,178,177,https://historico.conaliteg.gob.mx/H2014P6CNA.htm,audited_existing,reuse_existing_manifest
CN_TECH_INVENTORY_0.1,LTMD-CN3-G2018,H2018P3CNA,2018,3,Ciencias Naturales,154,153,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN4-G2018,H2018P4CNA,2018,4,Ciencias Naturales,162,161,https://historico.conaliteg.gob.mx/H2018P4CNA.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN5-G2018,H2018P5CNA,2018,5,Ciencias Naturales,162,161,https://historico.conaliteg.gob.mx/H2018P5CNA.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN6-G2018,H2018P6CNA,2018,6,Ciencias Naturales,178,177,https://historico.conaliteg.gob.mx/H2018P6CNA.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN3-G2019,H2019P3CNA,2019,3,Ciencias Naturales,154,153,https://historico.conaliteg.gob.mx/H2019P3CNA.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN4-G2019,H2019P4CNA,2019,4,Ciencias Naturales,162,161,https://historico.conaliteg.gob.mx/H2019P4CNA.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN5-G2019,H2019P5CNA,2019,5,Ciencias Naturales,162,161,https://historico.conaliteg.gob.mx/H2019P5CNA.htm,catalog_only,source_asset_hash_audit
CN_TECH_INVENTORY_0.1,LTMD-CN6-G2019,H2019P6CNA,2019,6,Ciencias Naturales,178,177,https://historico.conaliteg.gob.mx/H2019P6CNA.htm,catalog_only,source_asset_hash_audit
