analysis_version,duplicate_title_group,viewer_title,viewer_key,catalog_generation,grade_code,tail_code,group_size
CONALITEG_DUPTITLE_0.1,DUPTITLE-001,Atlas de Geografía Universal Grado 5° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,H1993P5GE204,1993,5,GE204,2
CONALITEG_DUPTITLE_0.1,DUPTITLE-001,Atlas de Geografía Universal Grado 5° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,H1993P5GE205,1993,5,GE205,2
CONALITEG_DUPTITLE_0.1,DUPTITLE-002,Español Lecturas Grado 1° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,H1993P1ES138,1993,1,ES138,2
CONALITEG_DUPTITLE_0.1,DUPTITLE-002,Español lecturas Grado 1° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,H1993P1ES139,1993,1,ES139,2
CONALITEG_DUPTITLE_0.1,DUPTITLE-003,Español Lecturas Grado 2° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,H1993P2ES147,1993,2,ES147,2
CONALITEG_DUPTITLE_0.1,DUPTITLE-003,Español Lecturas Grado 2° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,H1993P2ES148,1993,2,ES148,2
CONALITEG_DUPTITLE_0.1,DUPTITLE-004,Español Lecturas Grado 3° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,H1993P3ES155,1993,3,ES155,2
CONALITEG_DUPTITLE_0.1,DUPTITLE-004,Español Lecturas Grado 3° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,H1993P3ES156,1993,3,ES156,2
CONALITEG_DUPTITLE_0.1,DUPTITLE-005,Español Lecturas Grado 4° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,H1993P4ES194,1993,4,ES194,2
CONALITEG_DUPTITLE_0.1,DUPTITLE-005,Español Lecturas Grado 4° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,H1993P4ES195,1993,4,ES195,2
CONALITEG_DUPTITLE_0.1,DUPTITLE-006,Español recortable Grado 1° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,H1993P1ES136,1993,1,ES136,2
CONALITEG_DUPTITLE_0.1,DUPTITLE-006,Español recortable Grado 1° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,H1993P1ES137,1993,1,ES137,2
CONALITEG_DUPTITLE_0.1,DUPTITLE-007,Matemáticas Grado 5° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,H1993P5MA207,1993,5,MA207,2
CONALITEG_DUPTITLE_0.1,DUPTITLE-007,Matemáticas Grado 5° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,H1993P5MA208,1993,5,MA208,2
CONALITEG_DUPTITLE_0.1,DUPTITLE-008,Matemáticas Grado 6° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,H1993P6MA247,1993,6,MA247,2
CONALITEG_DUPTITLE_0.1,DUPTITLE-008,Matemáticas Grado 6° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,H1993P6MA248,1993,6,MA248,2
