catalog_entry_id,cycle,level,grade,viewer_key,title,publisher,viewer_url,shared_viewer,public_repo_status,source_checked
CONALITEG-2026-PRIMARIA-G1-P1LPM,2026-2027,primaria,1,P1LPM,"Un libro sin recetas, para la maestra y el maestro. Fase 3",SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1LPM&nivel=primaria,yes,catalog_metadata_only,2026-08-31
CONALITEG-2026-PRIMARIA-G1-P1MLA,2026-2027,primaria,1,P1MLA,Múltiples lenguajes. Primer grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1MLA&nivel=primaria,no,catalog_metadata_only,2026-08-31
CONALITEG-2026-PRIMARIA-G1-P1PAA,2026-2027,primaria,1,P1PAA,Proyectos de Aula. Primer grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1PAA&nivel=primaria,no,catalog_metadata_only,2026-08-31
CONALITEG-2026-PRIMARIA-G1-P1PCA,2026-2027,primaria,1,P1PCA,Proyectos Comunitarios. Primer grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1PCA&nivel=primaria,no,catalog_metadata_only,2026-08-31
CONALITEG-2026-PRIMARIA-G1-P1PEA,2026-2027,primaria,1,P1PEA,Proyectos Escolares. Primer grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1PEA&nivel=primaria,no,catalog_metadata_only,2026-08-31
CONALITEG-2026-PRIMARIA-G1-P1SDA,2026-2027,primaria,1,P1SDA,"Nuestros saberes: Libro para alumnos, maestros y familia. Primer grado",SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1SDA&nivel=primaria,no,catalog_metadata_only,2026-08-31
CONALITEG-2026-PRIMARIA-G1-P1TNA,2026-2027,primaria,1,P1TNA,Múltiples lenguajes. Trazos y números. Primer grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1TNA&nivel=primaria,no,catalog_metadata_only,2026-08-31
CONALITEG-2026-PRIMARIA-G1-P1TPA,2026-2027,primaria,1,P1TPA,Múltiples lenguajes. Trazos y palabras. Primer grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1TPA&nivel=primaria,no,catalog_metadata_only,2026-08-31
CONALITEG-2026-PRIMARIA-G2-P1LPM,2026-2027,primaria,2,P1LPM,"Un libro sin recetas, para la maestra y el maestro. Fase 3",SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P1LPM&nivel=primaria,yes,catalog_metadata_only,2026-08-31
CONALITEG-2026-PRIMARIA-G2-P2MLA,2026-2027,primaria,2,P2MLA,Múltiples lenguajes. Segundo grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P2MLA&nivel=primaria,no,catalog_metadata_only,2026-08-31
