normalization_version,title_core,viewer_count,generation_count,generations
CONALITEG_TITLECORE_0.1,CIENCIAS NATURALES,21,5,1972;1982;1988;2008;2011
CONALITEG_TITLECORE_0.1,MATEMÁTICAS,19,5,1972;1982;1988;2008;2011
CONALITEG_TITLECORE_0.1,Español,17,4,1993;2014;2018;2019
CONALITEG_TITLECORE_0.1,ESPAÑOL LECTURAS,17,5,1972;1982;1988;2008;2011
CONALITEG_TITLECORE_0.1,Ciencias Naturales,16,4,1993;2014;2018;2019
CONALITEG_TITLECORE_0.1,Formación Cívica y Ética,16,3,2014;2018;2019
CONALITEG_TITLECORE_0.1,Desafíos matemáticos. Libro para el alumno,14,3,2014;2018;2019
CONALITEG_TITLECORE_0.1,ESPAÑOL,14,4,1972;1982;2008;2011
CONALITEG_TITLECORE_0.1,Español. Libro de lectura,14,3,2014;2018;2019
CONALITEG_TITLECORE_0.1,CIENCIAS SOCIALES,13,3,1972;1982;1988
CONALITEG_TITLECORE_0.1,Matemáticas,13,4,1993;2008;2018;2019
CONALITEG_TITLECORE_0.1,Educación Artística,12,3,2014;2018;2019
CONALITEG_TITLECORE_0.1,Geografía,12,4,1993;2014;2018;2019
CONALITEG_TITLECORE_0.1,Historia,12,4,1993;2014;2018;2019
CONALITEG_TITLECORE_0.1,ESPAÑOL EJERCICIOS,11,3,1972;1982;1988
CONALITEG_TITLECORE_0.1,FORMACIÓN CÍVICA Y ÉTICA,11,2,2008;2011
CONALITEG_TITLECORE_0.1,Español Lecturas,9,1,1993
CONALITEG_TITLECORE_0.1,EDUCACIÓN ARTÍSTICA,8,2,2008;2011
CONALITEG_TITLECORE_0.1,Desafíos matemáticos. Libro para el maestro,6,1,2014
CONALITEG_TITLECORE_0.1,EDUCACIÓN FÍSCIA,6,1,2011
CONALITEG_TITLECORE_0.1,GEOGRAFÍA,6,2,2008;2011
CONALITEG_TITLECORE_0.1,HISTORIA,6,2,2008;2011
CONALITEG_TITLECORE_0.1,MI LIBRO DE HISTORIA Y CIVISMO,6,2,1960;1966
CONALITEG_TITLECORE_0.1,MI LIBRO DE LENGUA NACIONAL,6,2,1960;1966
CONALITEG_TITLECORE_0.1,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,5,2,1960;1966
CONALITEG_TITLECORE_0.1,MI LIBRO DE GEOGRAFÍA,5,2,1960;1966
CONALITEG_TITLECORE_0.1,Atlas de México,4,4,1993;2014;2018;2019
CONALITEG_TITLECORE_0.1,Conocimiento del medio,4,2,2018;2019
CONALITEG_TITLECORE_0.1,Conocimiento del medio. Docente,4,2,2018;2019
CONALITEG_TITLECORE_0.1,Lengua materna. Español,4,2,2018;2019
CONALITEG_TITLECORE_0.1,Lengua materna. Español lecturas,4,2,2018;2019
CONALITEG_TITLECORE_0.1,Lengua materna. Español. Docente,4,2,2018;2019
CONALITEG_TITLECORE_0.1,MATEMATICAS,4,2,1972;1982
CONALITEG_TITLECORE_0.1,Matemáticas. Docente,4,2,2018;2019
CONALITEG_TITLECORE_0.1,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,4,1,1966
CONALITEG_TITLECORE_0.1,Atlas de geografía del mundo,3,3,2014;2018;2019
CONALITEG_TITLECORE_0.1,ESPAÑOL EJERCICIOS Y LECTURAS,3,2,1972;1982
CONALITEG_TITLECORE_0.1,ESPAÑOL LECTURA,3,2,1972;1988
CONALITEG_TITLECORE_0.1,Atlas de Geografía Universal,2,1,1993
CONALITEG_TITLECORE_0.1,ATLAS DE MÉXICO,2,2,2008;2011
CONALITEG_TITLECORE_0.1,Conoce nuestra Constitución,2,2,2014;2019
CONALITEG_TITLECORE_0.1,EDUCACION FISICA,2,1,2008
CONALITEG_TITLECORE_0.1,EDUCACIÓN FÍSICA,2,1,2008
CONALITEG_TITLECORE_0.1,Español Actividades,2,1,1993
CONALITEG_TITLECORE_0.1,ESPAÑOL ACTIVIDADES,2,1,2008
CONALITEG_TITLECORE_0.1,ESPAÑOL RECORTABLE,2,2,1972;2008
CONALITEG_TITLECORE_0.1,Español recortable,2,1,1993
CONALITEG_TITLECORE_0.1,Español. Libro para el alumno,2,1,2014
CONALITEG_TITLECORE_0.1,Español. Libro para el maestro,2,1,2014
CONALITEG_TITLECORE_0.1,EXPLORACIÓN DE LA NATURALEZA Y LA SOCIEDAD,2,1,2011
CONALITEG_TITLECORE_0.1,Exploración de la Naturaleza y la Sociedad,2,1,2014
CONALITEG_TITLECORE_0.1,Fichero didactico (incluye DVD),2,1,2014
