normalization_version,viewer_key,catalog_generation,grade_code,viewer_title,title_core,title_core_normalized
CONALITEG_TITLECORE_0.2,H1960P1ES001,1960,1,MI CUADERNO DE TRABAJO DE 1ER AÑO Grado 1° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE 1ER AÑO,mi cuaderno de trabajo de 1er ano
CONALITEG_TITLECORE_0.2,H1960P1ES002,1960,1,MI LIBRO DE 1ER AÑO Grado 1° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE 1ER AÑO,mi libro de 1er ano
CONALITEG_TITLECORE_0.2,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA Grado 2° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO Y ESCRITURA,mi cuaderno de trabajo y escritura
CONALITEG_TITLECORE_0.2,H1960P2ES004,1960,2,MI LIBRO DE 2° AÑO Grado 2° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE 2° AÑO,mi libro de 2 ano
CONALITEG_TITLECORE_0.2,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA Grado 2° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA","mi cuaderno de trabajo, aritmetica y geometria"
CONALITEG_TITLECORE_0.2,H1960P3ES006,1960,3,MI CUADERNO DE TRABAJO. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO. Grado 3° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO,mi cuaderno de trabajo. lengua nacional y escritura. historia y civismo
CONALITEG_TITLECORE_0.2,H1960P3ES007,1960,3,MI LIBRO DE LENGUA NACIONAL Grado 3° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE LENGUA NACIONAL,mi libro de lengua nacional
CONALITEG_TITLECORE_0.2,H1960P3GE008,1960,3,MI CUADERNO DE TRABAJO GEOGRAFÍA Grado 3° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO GEOGRAFÍA,mi cuaderno de trabajo geografia
CONALITEG_TITLECORE_0.2,H1960P3GE009,1960,3,MI LIBRO DE GEOGRAFÍA Grado 3° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE GEOGRAFÍA,mi libro de geografia
CONALITEG_TITLECORE_0.2,H1960P3HI010,1960,3,MI LIBRO DE HISTORIA Y CIVISMO Grado 3° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE HISTORIA Y CIVISMO,mi libro de historia y civismo
CONALITEG_TITLECORE_0.2,H1960P3MA011,1960,3,"MI LIBRO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA Grado 3° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI LIBRO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA","mi libro, segunda parte. aritmetica y geometria. estudio de la naturaleza"
CONALITEG_TITLECORE_0.2,H1960P3MA012,1960,3,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA Grado 3° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI CUADERNO DE TRABAJO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA","mi cuaderno de trabajo, segunda parte. aritmetica y geometria. estudio de la naturaleza"
CONALITEG_TITLECORE_0.2,H1960P4ES013,1960,4,MI LIBRO DE LENGUA NACIONAL Grado 4° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE LENGUA NACIONAL,mi libro de lengua nacional
CONALITEG_TITLECORE_0.2,H1960P4ES014,1960,4,"MI CUADERNO DE TRABAJO, PRIMERA PARTE. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO. Grado 4° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI CUADERNO DE TRABAJO, PRIMERA PARTE. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO","mi cuaderno de trabajo, primera parte. lengua nacional y escritura. historia y civismo"
CONALITEG_TITLECORE_0.2,H1960P4GE015,1960,4,MI CUADERNO DE TRABAJO DE GEOGRAFÍA Grado 4° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,mi cuaderno de trabajo de geografia
CONALITEG_TITLECORE_0.2,H1960P4GE016,1960,4,MI LIBRO DE GEOGRAFÍA Grado 4° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE GEOGRAFÍA,mi libro de geografia
CONALITEG_TITLECORE_0.2,H1960P4HI017,1960,4,MI LIBRO DE HISTORIA Y CIVISMO Grado 4° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE HISTORIA Y CIVISMO,mi libro de historia y civismo
CONALITEG_TITLECORE_0.2,H1960P4MA018,1960,4,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA. Grado 4° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,mi cuaderno de trabajo. aritmetica y geometria. estudio de la naturaleza
CONALITEG_TITLECORE_0.2,H1960P4MA019,1960,4,MI LIBRO. SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA. Grado 4° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO. SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,mi libro. segunda parte. aritmetica y geometria. estudio de la naturaleza
CONALITEG_TITLECORE_0.2,H1960P5MA020,1960,5,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE , ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA. Grado 5° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI CUADERNO DE TRABAJO, SEGUNDA PARTE , ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA","mi cuaderno de trabajo, segunda parte , aritmetica y geometria. estudio de la naturaleza"
CONALITEG_TITLECORE_0.2,H1960P5MA021,1960,5,"MI LIBRO, SEGUNDA PARTE ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA. Grado 5° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI LIBRO, SEGUNDA PARTE ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA","mi libro, segunda parte aritmetica y geometria. estudio de la naturaleza"
CONALITEG_TITLECORE_0.2,H1966P1ES345,1966,1,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL Grado 1° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,mi cuaderno de trabajo de lengua nacional
CONALITEG_TITLECORE_0.2,H1966P1ES346,1966,1,MI LIBRO DE 1er AÑO Grado 1° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE 1er AÑO,mi libro de 1er ano
CONALITEG_TITLECORE_0.2,H1966P2ES347,1966,2,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL Grado 2° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,mi cuaderno de trabajo de lengua nacional
CONALITEG_TITLECORE_0.2,H1966P2ES348,1966,2,MI LIBRO DE 2° AÑO Grado 2° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE 2° AÑO,mi libro de 2 ano
CONALITEG_TITLECORE_0.2,H1966P2MA349,1966,2,MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA Grado 2° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA,mi cuaderno de trabajo de aritmetica y geometria
CONALITEG_TITLECORE_0.2,H1966P3ES350,1966,3,MI LIBRO DE LENGUA NACIONAL Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE LENGUA NACIONAL,mi libro de lengua nacional
CONALITEG_TITLECORE_0.2,H1966P3ES351,1966,3,"MI CUADERNO DE TRABAJO DE LENGUA NACIONAL, HISTORIA Y CIVISMO Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI CUADERNO DE TRABAJO DE LENGUA NACIONAL, HISTORIA Y CIVISMO","mi cuaderno de trabajo de lengua nacional, historia y civismo"
CONALITEG_TITLECORE_0.2,H1966P3GE352,1966,3,MI CUADERNO DE TRABAJO DE GEOGRAFÍA Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,mi cuaderno de trabajo de geografia
CONALITEG_TITLECORE_0.2,H1966P3GE353,1966,3,MI LIBRO DE GEOGRAFÍA Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE GEOGRAFÍA,mi libro de geografia
CONALITEG_TITLECORE_0.2,H1966P3HI354,1966,3,MI LIBRO DE HISTORIA Y CIVISMO Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE HISTORIA Y CIVISMO,mi libro de historia y civismo
