candidate_version,viewer_key,catalog_generation,candidate_status,evidence_tier,school_cycle,candidate_bibliographic_year,candidate_statement_field,candidate_statement_value,statement_evidence_pages,cycle_evidence_pages,evidence_sha256,catalog_generation_excluded_from_rule,candidate_year_differs_from_catalog_generation,human_validated,historical_validation_status
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2008P1CI250,2008,candidate_joint_same_page_match,C_joint_same_page_only,2010-2011,2010,edition_history_statement,third_edition:2010,2,2,d8a2101362c6820c239765679fe45a54934e102e9cf49dcc475ec088fc9e8c00,1,1,0,technical_candidate_not_human_validated
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2008P1CI251,2008,no_candidate_no_school_cycle,,,,,,,,,1,,0,no_strict_candidate
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2008P2CI257,2008,candidate_joint_match_with_extra_page_corroboration,B_joint_plus_extra_page_corroboration,2008-2009,2008,edition_history_statement,first_edition:2008,2,2;6,1c00dc7ad9443038e26b53b9bab48411cc3908eff89e14d8d1683e311d2ab24a;ea29f485c8aa9cca4bd8f811645349fa4127a30e2b1983014fd92b91d0d8d633,1,0,0,technical_candidate_not_human_validated
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2008P2CI258,2008,no_candidate_no_school_cycle,,,,,,,,,1,,0,no_strict_candidate
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2008P3CI264,2008,no_candidate_no_school_cycle,,,,,,,,,1,,0,no_strict_candidate
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2008P4CI269,2008,no_candidate_no_school_cycle,,,,,,,,,1,,0,no_strict_candidate
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2008P5CI278,2008,no_candidate_no_statement_matches_cycle_start,,2008-2009,,,,,,,1,,0,no_strict_candidate
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2008P6CI286,2008,candidate_joint_match_with_extra_page_corroboration,B_joint_plus_extra_page_corroboration,2008-2009,2008,edition_history_statement,first_edition:2008,2,2;6,1b2bde4e4f5e1054bd03625323a01f2d16f0558288a8b93d09d5d00434d8f38d;5551ae326d47c83b14198bc399b7f5e7692bbccf5cfce991ee8abb9406cc3d5d,1,0,0,technical_candidate_not_human_validated
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2011P1CI294,2011,candidate_joint_same_page_match,C_joint_same_page_only,2013-2014,2013,edition_history_statement,fourth_edition:2013,2,2,d8f620446ec0ced45a4116d043b2a4ba38f910e1be159dc53f40a658a8aa129f,1,1,0,technical_candidate_not_human_validated
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2011P2CI301,2011,candidate_joint_same_page_match,C_joint_same_page_only,2013-2014,2013,edition_history_statement,fourth_edition:2013,2,2,79669bc7a09cb6e32c9f0169e97990a84c80306ced7ac24429f1b925a69f2f43,1,1,0,technical_candidate_not_human_validated
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2011P3CI308,2011,no_candidate_no_school_cycle,,,,,,,,,1,,0,no_strict_candidate
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2011P4CI315,2011,no_candidate_no_statement_matches_cycle_start,,2013-2014,,,,,,,1,,0,no_strict_candidate
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2011P5CI326,2011,candidate_joint_same_page_match,C_joint_same_page_only,2013-2014,2013,reprint_history_statement,third_reprint:2013,2,2,e67c796f1dd5be252d6ad047e609a860b54219658c14943d8290c9034ba630eb,1,1,0,technical_candidate_not_human_validated
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2011P6CI336,2011,no_candidate_no_statement_matches_cycle_start,,2013-2014,,,,,,,1,,0,no_strict_candidate
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2014P1FCA,2014,no_candidate_no_school_cycle,,,,,,,,,1,,0,no_strict_candidate
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2014P2FCA,2014,no_candidate_no_school_cycle,,,,,,,,,1,,0,no_strict_candidate
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2014P3FCA,2014,no_candidate_no_school_cycle,,,,,,,,,1,,0,no_strict_candidate
LTMD_BIBLIOGRAPHIC_INSTANCE_CANDIDATES_0.3,H2014P4FCA,2014,candidate_joint_same_page_match,C_joint_same_page_only,2017-2018,2017,reprint_history_statement,third_reprint:2017,2,2,2c388c68da843a2351e9843a7895b56d7fe795cb18cb17ecc04a298ab87f4024,1,1,0,technical_candidate_not_human_validated
