resolution_version,viewer_key,catalog_generation,resolution_status,school_cycle,school_cycle_start_year,resolved_statement_field,resolved_statement_value,effective_bibliographic_year,resolution_rule,supporting_observation_ids,evidence_viewer_pages,evidence_sha256,human_validated
LTMD_BIBLIOGRAPHIC_INSTANCE_RESOLUTION_0.1,H2008P1CI250,2008,resolved_cycle_start_exact_match,2010-2011,2010,edition_history_statement,third_edition:2010,2010,exact_statement_year_equals_school_cycle_start;catalog_generation_not_used,H2008P1CI250:edition_history_statement:third_edition:2010;H2008P1CI250:school_cycle_statement:2010-2011,2,d8a2101362c6820c239765679fe45a54934e102e9cf49dcc475ec088fc9e8c00,0
LTMD_BIBLIOGRAPHIC_INSTANCE_RESOLUTION_0.1,H2008P1CI251,2008,unresolved_no_school_cycle,,,,,,,,,,0
LTMD_BIBLIOGRAPHIC_INSTANCE_RESOLUTION_0.1,H2008P2CI257,2008,resolved_cycle_start_exact_match,2008-2009,2008,edition_history_statement,first_edition:2008,2008,exact_statement_year_equals_school_cycle_start;catalog_generation_not_used,H2008P2CI257:edition_history_statement:first_edition:2008;H2008P2CI257:school_cycle_statement:2008-2009,2;6,1c00dc7ad9443038e26b53b9bab48411cc3908eff89e14d8d1683e311d2ab24a;ea29f485c8aa9cca4bd8f811645349fa4127a30e2b1983014fd92b91d0d8d633,0
LTMD_BIBLIOGRAPHIC_INSTANCE_RESOLUTION_0.1,H2008P2CI258,2008,unresolved_no_school_cycle,,,,,,,,,,0
LTMD_BIBLIOGRAPHIC_INSTANCE_RESOLUTION_0.1,H2008P3CI264,2008,unresolved_no_school_cycle,,,,,,,,,,0
LTMD_BIBLIOGRAPHIC_INSTANCE_RESOLUTION_0.1,H2008P4CI269,2008,unresolved_no_school_cycle,,,,,,,,,,0
LTMD_BIBLIOGRAPHIC_INSTANCE_RESOLUTION_0.1,H2008P5CI278,2008,unresolved_no_statement_matches_cycle_start,2008-2009,2008,,,,,,,,0
LTMD_BIBLIOGRAPHIC_INSTANCE_RESOLUTION_0.1,H2008P6CI286,2008,resolved_cycle_start_exact_match,2008-2009,2008,edition_history_statement,first_edition:2008,2008,exact_statement_year_equals_school_cycle_start;catalog_generation_not_used,H2008P6CI286:edition_history_statement:first_edition:2008;H2008P6CI286:school_cycle_statement:2008-2009,2;6,1b2bde4e4f5e1054bd03625323a01f2d16f0558288a8b93d09d5d00434d8f38d;5551ae326d47c83b14198bc399b7f5e7692bbccf5cfce991ee8abb9406cc3d5d,0
LTMD_BIBLIOGRAPHIC_INSTANCE_RESOLUTION_0.1,H2011P1CI294,2011,resolved_cycle_start_exact_match,2013-2014,2013,edition_history_statement,fourth_edition:2013,2013,exact_statement_year_equals_school_cycle_start;catalog_generation_not_used,H2011P1CI294:edition_history_statement:fourth_edition:2013;H2011P1CI294:school_cycle_statement:2013-2014,2,d8f620446ec0ced45a4116d043b2a4ba38f910e1be159dc53f40a658a8aa129f,0
LTMD_BIBLIOGRAPHIC_INSTANCE_RESOLUTION_0.1,H2011P2CI301,2011,resolved_cycle_start_exact_match,2013-2014,2013,edition_history_statement,fourth_edition:2013,2013,exact_statement_year_equals_school_cycle_start;catalog_generation_not_used,H2011P2CI301:edition_history_statement:fourth_edition:2013;H2011P2CI301:school_cycle_statement:2013-2014,2,79669bc7a09cb6e32c9f0169e97990a84c80306ced7ac24429f1b925a69f2f43,0
