observation_version,observation_id,viewer_key,field,normalized_value,evidence_viewer_page,evidence_image_index,evidence_sha256,evidence_byte_size,support_class,psm_support_count,psm_modes,isbn13_checksum_valid,extraction_source_version
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P5FCA:first_edition_year:2014,H2014P5FCA,first_edition_year,2014,4,4,2289b5a4d1cde81324db7c43ab85c0ab6ce9b4824b7e085273d8fd15c3e333f1,217715,strong_custom_ensemble_rule,5,3;4;6;11;12,,LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.2
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P5FCA:reprint_statement:third,H2014P5FCA,reprint_statement,third_reprint,4,4,2289b5a4d1cde81324db7c43ab85c0ab6ce9b4824b7e085273d8fd15c3e333f1,217715,strong_custom_ensemble_rule,5,3;4;6;11;12,,LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.2
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P5FCA:reprint_year:2017,H2014P5FCA,reprint_year,2017,4,4,2289b5a4d1cde81324db7c43ab85c0ab6ce9b4824b7e085273d8fd15c3e333f1,217715,strong_custom_ensemble_rule,5,3;4;6;11;12,,LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.2
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P5FCA:school_cycle:2017-2018,H2014P5FCA,school_cycle,2017-2018,4,4,2289b5a4d1cde81324db7c43ab85c0ab6ce9b4824b7e085273d8fd15c3e333f1,217715,strong_custom_ensemble_rule,5,3;4;6;11;12,,LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.2
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P1CI250:edition_history_statement:first_edition:2008,H2008P1CI250,edition_history_statement,first_edition:2008,2,2,d8a2101362c6820c239765679fe45a54934e102e9cf49dcc475ec088fc9e8c00,525960,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P1CI250:edition_history_statement:third_edition:2010,H2008P1CI250,edition_history_statement,third_edition:2010,2,2,d8a2101362c6820c239765679fe45a54934e102e9cf49dcc475ec088fc9e8c00,525960,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P1CI250:isbn_statement:978-607-469-230-3,H2008P1CI250,isbn_statement,978-607-469-230-3,2,2,d8a2101362c6820c239765679fe45a54934e102e9cf49dcc475ec088fc9e8c00,525960,strong_multipsm,5,3;4;6;11;12,1,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P1CI250:school_cycle_statement:2010-2011,H2008P1CI250,school_cycle_statement,2010-2011,2,2,d8a2101362c6820c239765679fe45a54934e102e9cf49dcc475ec088fc9e8c00,525960,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P1CI251:edition_history_statement:first_edition:2008,H2008P1CI251,edition_history_statement,first_edition:2008,4,4,e8e7cc5a6093ec6054d0f2415997d32457c4dcec4dc48f587bfa8e1552afdc38,54789,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P1CI251:edition_history_statement:second_edition:2009,H2008P1CI251,edition_history_statement,second_edition:2009,4,4,e8e7cc5a6093ec6054d0f2415997d32457c4dcec4dc48f587bfa8e1552afdc38,54789,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
