observation_version,observation_id,viewer_key,catalog_generation,field,normalized_value,display_value,evidence_class,evidence_viewer_page,evidence_image_index,evidence_sha256,evidence_byte_size,extraction_source_version,human_validated,admissibility_note,support_class,support_evidence_count
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2014P5FCA:first_edition_year:2014,H2014P5FCA,2014,first_edition_year,2014,"Primera edición, 2014",primary_source_page_ocr_ensemble,4,4,2289b5a4d1cde81324db7c43ab85c0ab6ce9b4824b7e085273d8fd15c3e333f1,217715,LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.2,0,primary institutional page; OCR statement redundantly observed; catalog_generation not used to infer bibliographic value,strong_custom_ensemble_rule,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2014P5FCA:reprint_statement:third,H2014P5FCA,2014,reprint_statement,third_reprint,Tercera reimpresión,primary_source_page_ocr_ensemble,4,4,2289b5a4d1cde81324db7c43ab85c0ab6ce9b4824b7e085273d8fd15c3e333f1,217715,LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.2,0,primary institutional page; OCR statement redundantly observed; catalog_generation not used to infer bibliographic value,strong_custom_ensemble_rule,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2014P5FCA:reprint_year:2017,H2014P5FCA,2014,reprint_year,2017,"Tercera reimpresión, 2017",primary_source_page_ocr_ensemble,4,4,2289b5a4d1cde81324db7c43ab85c0ab6ce9b4824b7e085273d8fd15c3e333f1,217715,LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.2,0,primary institutional page; OCR statement redundantly observed; catalog_generation not used to infer bibliographic value,strong_custom_ensemble_rule,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2014P5FCA:school_cycle:2017-2018,H2014P5FCA,2014,school_cycle,2017-2018,ciclo escolar 2017-2018,primary_source_page_ocr_ensemble,4,4,2289b5a4d1cde81324db7c43ab85c0ab6ce9b4824b7e085273d8fd15c3e333f1,217715,LTMD_U1_W7_H2014P5_BIBLIOGRAPHIC_FINGERPRINT_0.2,0,primary institutional page; OCR statement redundantly observed; catalog_generation not used to infer bibliographic value,strong_custom_ensemble_rule,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P1CI250:edition_history_statement:first_edition:2008,H2008P1CI250,2008,edition_history_statement,first_edition:2008,"Primera edición, 2008",primary_source_page_ocr_multipsm,2,2,d8a2101362c6820c239765679fe45a54934e102e9cf49dcc475ec088fc9e8c00,525960,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P1CI250:edition_history_statement:third_edition:2010,H2008P1CI250,2008,edition_history_statement,third_edition:2010,"Tercera edición, 2010",primary_source_page_ocr_multipsm,2,2,d8a2101362c6820c239765679fe45a54934e102e9cf49dcc475ec088fc9e8c00,525960,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P1CI250:isbn_statement:978-607-469-230-3,H2008P1CI250,2008,isbn_statement,978-607-469-230-3,ISBN 978-607-469-230-3,primary_source_page_ocr_multipsm,2,2,d8a2101362c6820c239765679fe45a54934e102e9cf49dcc475ec088fc9e8c00,525960,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P1CI250:school_cycle_statement:2010-2011,H2008P1CI250,2008,school_cycle_statement,2010-2011,ciclo escolar 2010-2011,primary_source_page_ocr_multipsm,2,2,d8a2101362c6820c239765679fe45a54934e102e9cf49dcc475ec088fc9e8c00,525960,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P1CI251:edition_history_statement:first_edition:2008,H2008P1CI251,2008,edition_history_statement,first_edition:2008,"Primera edición, 2008",primary_source_page_ocr_multipsm,4,4,e8e7cc5a6093ec6054d0f2415997d32457c4dcec4dc48f587bfa8e1552afdc38,54789,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P1CI251:edition_history_statement:second_edition:2009,H2008P1CI251,2008,edition_history_statement,second_edition:2009,"Segunda edición, 2009",primary_source_page_ocr_multipsm,4,4,e8e7cc5a6093ec6054d0f2415997d32457c4dcec4dc48f587bfa8e1552afdc38,54789,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
