coverage_version,viewer_key,catalog_generation,grade_code,tail_code,source_url,viewer_title,title_core,title_core_normalized,operational_domain,domain_signals,book_id,cataloged,title_normalized,asset_status,asset_resolved_full,asset_resolved_partial,page_manifest_ready,ocr_ready,pagestruct_ready,fragseg_materialized,effective_fragseg_coverage,coverage_inherited_from_viewer,fragment_count_materialized,dependence_audited,semantic_ready,wave_priority,wave_label,queue_status
LTMD_U1_COVERAGE_0.1,H1960P1ES001,1960,1,ES001,https://historico.conaliteg.gob.mx/H1960P1ES001.htm,MI CUADERNO DE TRABAJO DE 1ER AÑO Grado 1° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE 1ER AÑO,mi cuaderno de trabajo de 1er ano,otros_no_clasificados,,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,10,U1-W10-otros_revision,queued
LTMD_U1_COVERAGE_0.1,H1960P1ES002,1960,1,ES002,https://historico.conaliteg.gob.mx/H1960P1ES002.htm,MI LIBRO DE 1ER AÑO Grado 1° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE 1ER AÑO,mi libro de 1er ano,otros_no_clasificados,,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,10,U1-W10-otros_revision,queued
LTMD_U1_COVERAGE_0.1,H1960P2ES003,1960,2,ES003,https://historico.conaliteg.gob.mx/H1960P2ES003.htm,MI CUADERNO DE TRABAJO Y ESCRITURA Grado 2° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO Y ESCRITURA,mi cuaderno de trabajo y escritura,espanol_lengua,espanol_lengua,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,3,U1-W3-espanol_lengua,queued
LTMD_U1_COVERAGE_0.1,H1960P2ES004,1960,2,ES004,https://historico.conaliteg.gob.mx/H1960P2ES004.htm,MI LIBRO DE 2° AÑO Grado 2° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE 2° AÑO,mi libro de 2 ano,otros_no_clasificados,,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,10,U1-W10-otros_revision,queued
LTMD_U1_COVERAGE_0.1,H1960P2MA005,1960,2,MA005,https://historico.conaliteg.gob.mx/H1960P2MA005.htm,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA Grado 2° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA","mi cuaderno de trabajo, aritmetica y geometria",integrados_multiarea,matematicas;civica_etica,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,9,U1-W9-integrados_multiarea,queued
LTMD_U1_COVERAGE_0.1,H1960P3ES006,1960,3,ES006,https://historico.conaliteg.gob.mx/H1960P3ES006.htm,MI CUADERNO DE TRABAJO. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO. Grado 3° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO,mi cuaderno de trabajo. lengua nacional y escritura. historia y civismo,integrados_multiarea,espanol_lengua;historia;civica_etica,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,9,U1-W9-integrados_multiarea,queued
LTMD_U1_COVERAGE_0.1,H1960P3ES007,1960,3,ES007,https://historico.conaliteg.gob.mx/H1960P3ES007.htm,MI LIBRO DE LENGUA NACIONAL Grado 3° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE LENGUA NACIONAL,mi libro de lengua nacional,espanol_lengua,espanol_lengua,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,3,U1-W3-espanol_lengua,queued
LTMD_U1_COVERAGE_0.1,H1960P3GE008,1960,3,GE008,https://historico.conaliteg.gob.mx/H1960P3GE008.htm,MI CUADERNO DE TRABAJO GEOGRAFÍA Grado 3° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO GEOGRAFÍA,mi cuaderno de trabajo geografia,geografia_atlas,geografia_atlas,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,5,U1-W5-geografia_atlas,queued
LTMD_U1_COVERAGE_0.1,H1960P3GE009,1960,3,GE009,https://historico.conaliteg.gob.mx/H1960P3GE009.htm,MI LIBRO DE GEOGRAFÍA Grado 3° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE GEOGRAFÍA,mi libro de geografia,geografia_atlas,geografia_atlas,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,5,U1-W5-geografia_atlas,queued
LTMD_U1_COVERAGE_0.1,H1960P3HI010,1960,3,HI010,https://historico.conaliteg.gob.mx/H1960P3HI010.htm,MI LIBRO DE HISTORIA Y CIVISMO Grado 3° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE HISTORIA Y CIVISMO,mi libro de historia y civismo,integrados_multiarea,historia;civica_etica,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,9,U1-W9-integrados_multiarea,queued
LTMD_U1_COVERAGE_0.1,H1960P3MA011,1960,3,MA011,https://historico.conaliteg.gob.mx/H1960P3MA011.htm,"MI LIBRO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA Grado 3° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI LIBRO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA","mi libro, segunda parte. aritmetica y geometria. estudio de la naturaleza",integrados_multiarea,ciencias_naturales;matematicas;civica_etica,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,9,U1-W9-integrados_multiarea,queued
LTMD_U1_COVERAGE_0.1,H1960P3MA012,1960,3,MA012,https://historico.conaliteg.gob.mx/H1960P3MA012.htm,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA Grado 3° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI CUADERNO DE TRABAJO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA","mi cuaderno de trabajo, segunda parte. aritmetica y geometria. estudio de la naturaleza",integrados_multiarea,ciencias_naturales;matematicas;civica_etica,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,9,U1-W9-integrados_multiarea,queued
LTMD_U1_COVERAGE_0.1,H1960P4ES013,1960,4,ES013,https://historico.conaliteg.gob.mx/H1960P4ES013.htm,MI LIBRO DE LENGUA NACIONAL Grado 4° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE LENGUA NACIONAL,mi libro de lengua nacional,espanol_lengua,espanol_lengua,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,3,U1-W3-espanol_lengua,queued
LTMD_U1_COVERAGE_0.1,H1960P4ES014,1960,4,ES014,https://historico.conaliteg.gob.mx/H1960P4ES014.htm,"MI CUADERNO DE TRABAJO, PRIMERA PARTE. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO. Grado 4° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI CUADERNO DE TRABAJO, PRIMERA PARTE. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO","mi cuaderno de trabajo, primera parte. lengua nacional y escritura. historia y civismo",integrados_multiarea,espanol_lengua;historia;civica_etica,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,9,U1-W9-integrados_multiarea,queued
