coverage_version,operational_domain,viewer_count,percent_of_u1,asset_resolved_full,fragseg_materialized_direct,effective_fragseg_coverage,remaining_effective,next_wave_priority,next_wave_label
LTMD_U1_COVERAGE_0.3,ciencias_naturales,40,7.38,38,32,36,4,1,U1-W1-ciencias_naturales
LTMD_U1_COVERAGE_0.3,matematicas,64,11.81,0,0,0,64,2,U1-W2-matematicas
LTMD_U1_COVERAGE_0.3,espanol_lengua,130,23.99,0,0,0,130,3,U1-W3-espanol_lengua
LTMD_U1_COVERAGE_0.3,ciencias_sociales,14,2.58,0,0,0,14,4,U1-W4-ciencias_sociales
LTMD_U1_COVERAGE_0.3,historia,18,3.32,0,0,0,18,5,U1-W5-historia
LTMD_U1_COVERAGE_0.3,geografia_atlas,42,7.75,0,0,0,42,6,U1-W6-geografia_atlas
LTMD_U1_COVERAGE_0.3,civica_etica,30,5.54,0,0,0,30,7,U1-W7-civica_etica
LTMD_U1_COVERAGE_0.3,artes,20,3.69,0,0,0,20,8,U1-W8-artes
LTMD_U1_COVERAGE_0.3,educacion_fisica,4,0.74,0,0,0,4,9,U1-W9-educacion_fisica
LTMD_U1_COVERAGE_0.3,integrados_multiarea,69,12.73,0,0,0,69,10,U1-W10-integrados_multiarea
LTMD_U1_COVERAGE_0.3,otros_no_clasificados,111,20.48,0,0,0,111,11,U1-W11-otros_revision
