wave,viewer_key,viewer_page,official_code,entry_url,resource_role,requested_url,final_url,http_status,content_type,byte_size,sha256,discovered_from,error
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,entry_html,https://libros.conaliteg.gob.mx/P3COL.htm,https://libros.conaliteg.gob.mx/P3COL.htm,200,text/html,420,4468ef39b70d1af3e894da2f4856ebe2b48b4d248b97f3b307cd99825552a24c,,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,linked_text,https://libros.conaliteg.gob.mx/2022/P3COL.htm,https://libros.conaliteg.gob.mx/2022/P3COL.htm,200,text/html,6074,1d1c5468b3856a467d9af472d482bd206dc74f4ceac91729d42692bd06516193,https://libros.conaliteg.gob.mx/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,http://libros.conaliteg.gob.mx/,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,http://libros.conaliteg.gob.mx/2022/P3COL.htm,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,http://libros.conaliteg.gob.mx/tw.jpg,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,https://libros.conaliteg.gob.mx/2022/hash.js,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,https://libros.conaliteg.gob.mx/2022/jquery-3.7.1.min.js,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,https://libros.conaliteg.gob.mx/2022/js.js,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,https://libros.conaliteg.gob.mx/2022/modernizr.2.5.3.min.js,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,https://libros.conaliteg.gob.mx/2022/pics/der.png,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,https://libros.conaliteg.gob.mx/2022/pics/go.png,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,https://libros.conaliteg.gob.mx/2022/pics/h.png,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,https://libros.conaliteg.gob.mx/2022/pics/izq.png,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,https://libros.conaliteg.gob.mx/2022/x.js,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,https://libros.conaliteg.gob.mx/atom.xml,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,https://libros.conaliteg.gob.mx/css/style_book.css,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,https://libros.conaliteg.gob.mx/favicon.ico,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,https://libros.conaliteg.gob.mx/rss.xml,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,https://www.googletagmanager.com/gtag/js?id=G-KMS7DK4BLS,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,nested_reference,https://www.googletagmanager.com/gtag/js?id=UA-44669558-3,,,,,,https://libros.conaliteg.gob.mx/2022/P3COL.htm,
W11,H2014P3COL,130,P3COL,https://libros.conaliteg.gob.mx/P3COL.htm,linked_binary,https://libros.conaliteg.gob.mx/css/style_book.css,,,,,,https://libros.conaliteg.gob.mx/P3COL.htm,
W11,H2014P3MOR,15,P3MOR,https://libros.conaliteg.gob.mx/P3MOR.htm,entry_html,https://libros.conaliteg.gob.mx/P3MOR.htm,https://libros.conaliteg.gob.mx/P3MOR.htm,200,text/html,5792,cff90701808424d37abae1b8b75bf16a153e261abc85f34f6fbfa80a7d0876a4,,
W11,H2014P3MOR,15,P3MOR,https://libros.conaliteg.gob.mx/P3MOR.htm,linked_binary,http://libros.conaliteg.gob.mx/,,,,,,https://libros.conaliteg.gob.mx/P3MOR.htm,
W11,H2014P3MOR,15,P3MOR,https://libros.conaliteg.gob.mx/P3MOR.htm,linked_text,http://libros.conaliteg.gob.mx/P3MOR.htm,https://libros.conaliteg.gob.mx/P3MOR.htm,200,text/html,5792,cff90701808424d37abae1b8b75bf16a153e261abc85f34f6fbfa80a7d0876a4,https://libros.conaliteg.gob.mx/P3MOR.htm,
