audit_version,viewer_key,catalog_generation,grade_code,title_core,ag_clave,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,source_bytes,unique_source_hashes,direct_asset_ready
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",H1960P2MA005,115,114,1,0,0,6462760,114,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1960P3ES006,1960,3,MI CUADERNO DE TRABAJO. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO,H1960P3ES006,211,210,1,0,0,11425716,210,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1960P3HI010,1960,3,MI LIBRO DE HISTORIA Y CIVISMO,H1960P3HI010,131,130,1,0,0,7541443,130,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1960P3MA011,1960,3,"MI LIBRO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",H1960P3MA011,195,194,1,0,0,9547086,194,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1960P3MA012,1960,3,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",H1960P3MA012,219,218,1,0,0,11923001,218,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1960P4ES014,1960,4,"MI CUADERNO DE TRABAJO, PRIMERA PARTE. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO",H1960P4ES014,235,234,1,0,0,13068955,234,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1960P4HI017,1960,4,MI LIBRO DE HISTORIA Y CIVISMO,H1960P4HI017,195,194,1,0,0,13482195,194,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1960P4MA018,1960,4,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,H1960P4MA018,155,154,1,0,0,9233489,154,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1960P4MA019,1960,4,MI LIBRO. SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,H1960P4MA019,211,210,1,0,0,12108447,210,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1960P5MA020,1960,5,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE , ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",H1960P5MA020,259,258,1,0,0,13823943,258,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1960P5MA021,1960,5,"MI LIBRO, SEGUNDA PARTE ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",H1960P5MA021,211,210,1,0,0,11958700,210,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P2MA349,1966,2,MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA,H1966P2MA349,115,114,1,0,0,6746971,114,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P3ES351,1966,3,"MI CUADERNO DE TRABAJO DE LENGUA NACIONAL, HISTORIA Y CIVISMO",H1966P3ES351,211,210,1,0,0,10441572,210,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P3HI354,1966,3,MI LIBRO DE HISTORIA Y CIVISMO,H1966P3HI354,131,130,1,0,0,7250902,130,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P3MA355,1966,3,"MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA",H1966P3MA355,219,218,1,0,0,11682276,218,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P3MA356,1966,3,"MI LIBRO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA",H1966P3MA356,211,210,1,0,0,11640181,210,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P3MA357,1966,3,"MI LIBRO, SEGUNDA PARTE, ARITMÉTICA Y GEOMETRIA, ESTUDIO DE LA NATURALEZA",H1966P3MA357,195,194,1,0,0,9857069,194,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P4ES359,1966,4,"MI CUADERNO DE TRABAJO DE LENGUA NACIONAL, HISTORIA Y CIVISMO",H1966P4ES359,235,234,1,0,0,12503266,234,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P4HI361,1966,4,MI LIBRO DE HISTORIA Y CIVISMO,H1966P4HI361,193,192,1,0,0,13844247,192,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P4MA362,1966,4,"MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA",H1966P4MA362,163,162,1,0,0,9318990,162,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P4MA363,1966,4,"MI LIBRO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA",H1966P4MA363,227,226,1,0,0,12071721,226,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P5HI369,1966,5,MI CUADERNO DE TRABAJO DE HISTORIA Y CIVISMO,H1966P5HI369,131,130,1,0,0,7633655,130,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P5HI370,1966,5,MI LIBRO DE HISTORIA Y CIVISMO,H1966P5HI370,227,226,1,0,0,16725719,226,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P5MA371,1966,5,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,H1966P5MA371,259,258,1,0,0,13271608,258,1
LTMD_U1_W10_INTEGRADOS_ASSET_AUDIT_0.1,H1966P5MA372,1966,5,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,H1966P5MA372,227,226,1,0,0,14000160,226,1
