inventory_version,viewer_key,catalog_generation,grade_code,title_core,ag_clave,declared_positions,standard_dynamic_architecture,config_present,config_ag_clave_exact,direct_asset_probe_ready,source_url
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",H1960P2MA005,115,1,1,1,1,https://historico.conaliteg.gob.mx/H1960P2MA005.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1960P3ES006,1960,3,MI CUADERNO DE TRABAJO. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO,H1960P3ES006,211,1,1,1,1,https://historico.conaliteg.gob.mx/H1960P3ES006.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1960P3HI010,1960,3,MI LIBRO DE HISTORIA Y CIVISMO,H1960P3HI010,131,1,1,1,1,https://historico.conaliteg.gob.mx/H1960P3HI010.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1960P3MA011,1960,3,"MI LIBRO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",H1960P3MA011,195,1,1,1,1,https://historico.conaliteg.gob.mx/H1960P3MA011.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1960P3MA012,1960,3,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",H1960P3MA012,219,1,1,1,1,https://historico.conaliteg.gob.mx/H1960P3MA012.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1960P4ES014,1960,4,"MI CUADERNO DE TRABAJO, PRIMERA PARTE. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO",H1960P4ES014,235,1,1,1,1,https://historico.conaliteg.gob.mx/H1960P4ES014.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1960P4HI017,1960,4,MI LIBRO DE HISTORIA Y CIVISMO,H1960P4HI017,195,1,1,1,1,https://historico.conaliteg.gob.mx/H1960P4HI017.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1960P4MA018,1960,4,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,H1960P4MA018,155,1,1,1,1,https://historico.conaliteg.gob.mx/H1960P4MA018.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1960P4MA019,1960,4,MI LIBRO. SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,H1960P4MA019,211,1,1,1,1,https://historico.conaliteg.gob.mx/H1960P4MA019.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1960P5MA020,1960,5,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE , ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",H1960P5MA020,259,1,1,1,1,https://historico.conaliteg.gob.mx/H1960P5MA020.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1960P5MA021,1960,5,"MI LIBRO, SEGUNDA PARTE ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",H1960P5MA021,211,1,1,1,1,https://historico.conaliteg.gob.mx/H1960P5MA021.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P2MA349,1966,2,MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA,H1966P2MA349,115,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P2MA349.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P3ES351,1966,3,"MI CUADERNO DE TRABAJO DE LENGUA NACIONAL, HISTORIA Y CIVISMO",H1966P3ES351,211,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P3ES351.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P3HI354,1966,3,MI LIBRO DE HISTORIA Y CIVISMO,H1966P3HI354,131,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P3HI354.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P3MA355,1966,3,"MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA",H1966P3MA355,219,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P3MA355.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P3MA356,1966,3,"MI LIBRO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA",H1966P3MA356,211,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P3MA356.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P3MA357,1966,3,"MI LIBRO, SEGUNDA PARTE, ARITMÉTICA Y GEOMETRIA, ESTUDIO DE LA NATURALEZA",H1966P3MA357,195,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P3MA357.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P4ES359,1966,4,"MI CUADERNO DE TRABAJO DE LENGUA NACIONAL, HISTORIA Y CIVISMO",H1966P4ES359,235,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P4ES359.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P4HI361,1966,4,MI LIBRO DE HISTORIA Y CIVISMO,H1966P4HI361,193,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P4HI361.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P4MA362,1966,4,"MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA",H1966P4MA362,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P4MA362.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P4MA363,1966,4,"MI LIBRO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA",H1966P4MA363,227,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P4MA363.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P5HI369,1966,5,MI CUADERNO DE TRABAJO DE HISTORIA Y CIVISMO,H1966P5HI369,131,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P5HI369.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P5HI370,1966,5,MI LIBRO DE HISTORIA Y CIVISMO,H1966P5HI370,227,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P5HI370.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P5MA371,1966,5,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,H1966P5MA371,259,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P5MA371.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P5MA372,1966,5,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,H1966P5MA372,227,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P5MA372.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P5MA373,1966,5,"MI LIBRO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",H1966P5MA373,211,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P5MA373.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P6HI379,1966,6,MI CUADERNO DE TRABAJO DE HISTORIA Y CIVISMO,H1966P6HI379,131,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P6HI379.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P6HI380,1966,6,MI LIBRO DE HISTORIA Y CIVISMO,H1966P6HI380,259,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P6HI380.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P6MA381,1966,6,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA,H1966P6MA381,131,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P6MA381.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1966P6MA382,1966,6,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA,H1966P6MA382,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1966P6MA382.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1972P1CI059,1972,1,"CIENCIAS NATURALES, CIENCIAS SOCIALES",H1972P1CI059,131,1,1,1,1,https://historico.conaliteg.gob.mx/H1972P1CI059.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1972P3CI071,1972,3,CIENCIAS NATURALES-CIENCIAS SOCIALES,H1972P3CI071,227,1,1,1,1,https://historico.conaliteg.gob.mx/H1972P3CI071.htm
