analysis_version,viewer_a,viewer_b,generation_a,generation_b,grade_a,grade_b,same_generation,same_grade,unique_units_a,unique_units_b,shared_unique_units,jaccard,containment_a_in_b,containment_b_in_a
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4ES014,H1966P4ES359,1960,1966,4,4,0,1,2898,2954,1211,0.260935,0.417874,0.409953
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P3MA012,H1966P3MA355,1960,1966,3,3,0,1,2218,2287,861,0.236279,0.388188,0.376476
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4MA019,H1966P4MA363,1960,1966,4,4,0,1,2413,2632,839,0.199477,0.347700,0.318769
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P3HI010,H1966P3HI354,1960,1966,3,3,0,1,1363,1414,604,0.277957,0.443140,0.427157
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4HI017,H1966P4HI361,1960,1966,4,4,0,1,1993,2067,577,0.165662,0.289513,0.279149
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P5MA020,H1966P5MA371,1960,1966,5,5,0,1,3058,3313,532,0.091111,0.173970,0.160580
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P3ES006,H1966P3ES351,1960,1966,3,3,0,1,2440,2421,524,0.120821,0.214754,0.216439
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P3MA011,H1966P3MA357,1960,1966,3,3,0,1,1716,1895,470,0.149634,0.273893,0.248021
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P5MA021,H1966P5MA372,1960,1966,5,5,0,1,2501,2648,453,0.096465,0.181128,0.171073
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H2011P2CI300,H2014P2ENA,2011,2014,2,2,0,1,1270,1450,418,0.181581,0.329134,0.288276
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P3MA356,H1966P3MA357,1966,1966,3,3,1,1,1923,1895,393,0.114745,0.204368,0.207388
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P3MA011,H1966P3MA356,1960,1966,3,3,0,1,1716,1923,377,0.115573,0.219697,0.196048
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P5MA021,H1966P5MA373,1960,1966,5,5,0,1,2501,2596,366,0.077362,0.146341,0.140986
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P5MA372,H1966P5MA373,1966,1966,5,5,1,1,2648,2596,365,0.074810,0.137840,0.140601
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P2MA005,H1966P2MA349,1960,1966,2,2,0,1,1122,1073,330,0.176944,0.294118,0.307549
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4MA018,H1966P4MA362,1960,1966,4,4,0,1,1587,1474,263,0.093996,0.165721,0.178426
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4MA363,H1966P5MA372,1966,1966,4,5,1,0,2632,2648,162,0.031653,0.061550,0.061178
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4MA363,H1966P6HI380,1966,1966,4,6,1,0,2632,2438,157,0.031956,0.059650,0.064397
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4HI361,H1966P4MA363,1966,1966,4,4,1,1,2067,2632,145,0.031840,0.070150,0.055091
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4HI361,H1966P6HI380,1966,1966,4,6,1,0,2067,2438,138,0.031601,0.066763,0.056604
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4MA363,H1966P5MA373,1966,1966,4,5,1,0,2632,2596,134,0.026305,0.050912,0.051618
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI175,H1993P3HI181,1993,1993,3,3,1,1,1725,1438,131,0.043206,0.075942,0.091099
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P5MA372,H1966P6HI380,1966,1966,5,6,1,0,2648,2438,130,0.026231,0.049094,0.053322
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI181,H1993P3HI182,1993,1993,3,3,1,1,1438,1567,128,0.044491,0.089013,0.081685
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI180,H1993P3HI181,1993,1993,3,3,1,1,2039,1438,128,0.038220,0.062776,0.089013
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4HI017,H1966P4MA363,1960,1966,4,4,0,1,1993,2632,127,0.028235,0.063723,0.048252
