segmenter_version,viewer_key,fragment_count,segmented_page_count,activity_candidate,assessment_candidate,experiment_candidate,expository_candidate,instruction_candidate,project_candidate,question_candidate,short_residual_candidate
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1960P2MA005,1162,98,0,0,0,108,188,0,82,784
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1960P3ES006,2784,167,10,0,1,212,366,0,164,2031
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1960P3HI010,1458,120,1,0,0,319,109,2,74,953
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1960P3MA011,1802,164,4,0,2,372,213,0,114,1097
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1960P3MA012,2661,191,0,0,2,254,339,1,362,1703
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1960P4ES014,3453,192,6,0,4,228,424,0,308,2483
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1960P4HI017,2347,183,4,0,5,653,238,1,52,1394
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1960P4MA018,1705,128,0,0,12,199,263,0,167,1064
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1960P4MA019,2520,192,1,0,5,468,269,0,294,1483
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1960P5MA020,3741,208,4,0,24,382,406,3,537,2385
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1960P5MA021,2634,189,5,0,24,618,337,0,229,1421
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1966P2MA349,1114,97,0,0,0,111,184,0,76,743
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1966P3ES351,2759,171,10,0,1,232,378,0,158,1980
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1966P3HI354,1507,119,1,0,0,314,116,2,70,1004
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1966P3MA355,2794,188,0,0,1,285,351,1,393,1763
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1966P3MA356,1990,190,4,0,1,411,220,0,123,1231
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1966P3MA357,1969,170,4,0,1,373,211,0,121,1259
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1966P4ES359,3497,193,6,0,4,237,429,0,308,2513
FRAGSEG_LTMD_U1_W10_INTEGRADOS_0.1,H1966P4HI361,2437,183,4,0,6,686,253,2,57,1429
