viewer_key,page_id,observed_fragment_count,max_sequence,missing_sequence_slots,missing_slot_count
H1960P2MA005,U1-H1960P2MA005-P011,14,15,13,1
H1960P2MA005,U1-H1960P2MA005-P012,6,7,4,1
H1960P2MA005,U1-H1960P2MA005-P031,11,12,8,1
H1960P2MA005,U1-H1960P2MA005-P056,24,25,24,1
H1960P2MA005,U1-H1960P2MA005-P062,13,14,10,1
H1960P2MA005,U1-H1960P2MA005-P075,27,28,26,1
H1960P2MA005,U1-H1960P2MA005-P079,4,5,1,1
H1960P2MA005,U1-H1960P2MA005-P080,7,8,6,1
H1960P2MA005,U1-H1960P2MA005-P089,16,18,6 9,2
H1960P2MA005,U1-H1960P2MA005-P094,11,12,2,1
H1960P2MA005,U1-H1960P2MA005-P107,8,9,1,1
H1960P3ES006,U1-H1960P3ES006-P013,32,33,27,1
H1960P3ES006,U1-H1960P3ES006-P051,17,18,17,1
H1960P3ES006,U1-H1960P3ES006-P114,16,18,9 10,2
H1960P3ES006,U1-H1960P3ES006-P123,12,13,3,1
H1960P3ES006,U1-H1960P3ES006-P133,22,23,11,1
H1960P3ES006,U1-H1960P3ES006-P135,19,20,1,1
H1960P3ES006,U1-H1960P3ES006-P139,17,20,3 10 12,3
H1960P3ES006,U1-H1960P3ES006-P140,30,33,22 25 28,3
H1960P3ES006,U1-H1960P3ES006-P143,27,28,16,1
H1960P3ES006,U1-H1960P3ES006-P159,28,29,16,1
H1960P3ES006,U1-H1960P3ES006-P175,10,13,3 5 8,3
H1960P3ES006,U1-H1960P3ES006-P178,27,28,7,1
H1960P3ES006,U1-H1960P3ES006-P197,16,17,5,1
H1960P3ES006,U1-H1960P3ES006-P206,9,10,1,1
H1960P3HI010,U1-H1960P3HI010-P045,17,18,1,1
H1960P3HI010,U1-H1960P3HI010-P103,13,14,8,1
H1960P3MA011,U1-H1960P3MA011-P022,10,11,1,1
H1960P3MA011,U1-H1960P3MA011-P049,9,11,8 9,2
H1960P3MA011,U1-H1960P3MA011-P058,8,9,2,1
H1960P3MA011,U1-H1960P3MA011-P107,11,12,5,1
H1960P3MA011,U1-H1960P3MA011-P115,8,9,4,1
H1960P3MA011,U1-H1960P3MA011-P118,11,13,1 8,2
H1960P3MA011,U1-H1960P3MA011-P157,10,11,2,1
H1960P3MA011,U1-H1960P3MA011-P165,4,5,3,1
H1960P3MA011,U1-H1960P3MA011-P169,11,12,1,1
H1960P3MA011,U1-H1960P3MA011-P181,9,10,1,1
H1960P3MA011,U1-H1960P3MA011-P182,16,17,14,1
H1960P3MA012,U1-H1960P3MA012-P002,11,12,8,1
H1960P3MA012,U1-H1960P3MA012-P018,7,8,1,1
H1960P3MA012,U1-H1960P3MA012-P029,44,46,16 31,2
H1960P3MA012,U1-H1960P3MA012-P033,17,18,11,1
H1960P3MA012,U1-H1960P3MA012-P041,12,13,6,1
H1960P3MA012,U1-H1960P3MA012-P051,14,17,9 12 15,3
H1960P3MA012,U1-H1960P3MA012-P071,12,13,5,1
H1960P3MA012,U1-H1960P3MA012-P110,11,12,3,1
H1960P3MA012,U1-H1960P3MA012-P131,14,15,2,1
H1960P3MA012,U1-H1960P3MA012-P142,13,14,8,1
H1960P3MA012,U1-H1960P3MA012-P169,16,17,9,1
H1960P3MA012,U1-H1960P3MA012-P192,9,10,7,1
H1960P3MA012,U1-H1960P3MA012-P214,6,7,1,1
H1960P4ES014,U1-H1960P4ES014-P005,10,11,4,1
H1960P4ES014,U1-H1960P4ES014-P012,44,45,24,1
H1960P4ES014,U1-H1960P4ES014-P027,24,25,11,1
H1960P4ES014,U1-H1960P4ES014-P031,32,33,9,1
H1960P4ES014,U1-H1960P4ES014-P034,6,7,6,1
H1960P4ES014,U1-H1960P4ES014-P043,20,21,1,1
H1960P4ES014,U1-H1960P4ES014-P101,25,26,1,1
H1960P4ES014,U1-H1960P4ES014-P158,30,31,7,1
H1960P4ES014,U1-H1960P4ES014-P166,19,22,9 12 15,3
H1960P4ES014,U1-H1960P4ES014-P185,10,12,6 7,2
H1960P4ES014,U1-H1960P4ES014-P191,14,15,11,1
H1960P4ES014,U1-H1960P4ES014-P197,36,37,2,1
H1960P4ES014,U1-H1960P4ES014-P201,18,19,8,1
H1960P4ES014,U1-H1960P4ES014-P203,28,30,20 21,2
H1960P4ES014,U1-H1960P4ES014-P226,24,25,18,1
H1960P4ES014,U1-H1960P4ES014-P229,91,92,24,1
H1960P4HI017,U1-H1960P4HI017-P014,14,15,7,1
H1960P4HI017,U1-H1960P4HI017-P023,21,22,1,1
H1960P4HI017,U1-H1960P4HI017-P025,22,23,17,1
H1960P4HI017,U1-H1960P4HI017-P027,21,22,9,1
H1960P4HI017,U1-H1960P4HI017-P031,33,34,18,1
H1960P4HI017,U1-H1960P4HI017-P036,24,25,17,1
H1960P4HI017,U1-H1960P4HI017-P037,21,22,21,1
H1960P4HI017,U1-H1960P4HI017-P051,24,25,17,1
H1960P4HI017,U1-H1960P4HI017-P056,12,13,7,1
H1960P4HI017,U1-H1960P4HI017-P086,10,11,1,1
H1960P4HI017,U1-H1960P4HI017-P094,10,11,8,1
H1960P4HI017,U1-H1960P4HI017-P101,25,26,10,1
