ocr_version,viewer_key,catalog_generation,grade_code,title_core,processing_mode,pages,sha_verified,text_detected,no_text_detected,unresolved,recognized_words,ocr_chars
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",direct_canonical,114,114,114,0,0,10594,58748
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1960P3ES006,1960,3,MI CUADERNO DE TRABAJO. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO,direct_canonical,210,210,210,0,0,20969,165346
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1960P3HI010,1960,3,MI LIBRO DE HISTORIA Y CIVISMO,direct_canonical,130,130,129,1,0,18200,105839
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1960P3MA011,1960,3,"MI LIBRO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",direct_canonical,194,194,194,0,0,26336,167760
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1960P3MA012,1960,3,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",direct_canonical,218,218,218,0,0,24322,133135
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1960P4ES014,1960,4,"MI CUADERNO DE TRABAJO, PRIMERA PARTE. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO",direct_canonical,234,234,234,0,0,26443,150904
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1960P4HI017,1960,4,MI LIBRO DE HISTORIA Y CIVISMO,direct_canonical,194,194,194,0,0,43887,307422
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1960P4MA018,1960,4,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,direct_canonical,154,154,153,1,0,17630,100135
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1960P4MA019,1960,4,MI LIBRO. SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,direct_canonical,210,210,210,0,0,35059,168923
LTMD_U1_W10_INTEGRADOS_OCR_0.1,H1960P5MA020,1960,5,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE , ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",direct_canonical,258,258,258,0,0,35624,283978
