scanner_version,page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,selected_psm,source_sha256_verified,front_zone,end_zone,front_matter_score,toc_navigation_score,bibliography_credits_score,matched_category_count,error
LTMD_U1_W10_INTEGRADOS_STRUCTKW_0.1,U1-H1960P2MA005-P001,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",1,6,1,1,0,0,0,0,0,
LTMD_U1_W10_INTEGRADOS_STRUCTKW_0.1,U1-H1960P2MA005-P002,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",2,3,1,1,0,0,0,0,0,
LTMD_U1_W10_INTEGRADOS_STRUCTKW_0.1,U1-H1960P2MA005-P003,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",3,3,1,1,0,0,0,0,0,
LTMD_U1_W10_INTEGRADOS_STRUCTKW_0.1,U1-H1960P2MA005-P004,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",4,6,1,1,0,0,0,0,0,
LTMD_U1_W10_INTEGRADOS_STRUCTKW_0.1,U1-H1960P2MA005-P005,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",5,3,1,1,0,0,0,0,0,
LTMD_U1_W10_INTEGRADOS_STRUCTKW_0.1,U1-H1960P2MA005-P006,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",6,3,1,1,0,0,0,2,1,
LTMD_U1_W10_INTEGRADOS_STRUCTKW_0.1,U1-H1960P2MA005-P007,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",7,11,1,1,0,0,0,0,0,
LTMD_U1_W10_INTEGRADOS_STRUCTKW_0.1,U1-H1960P2MA005-P008,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",8,3,1,1,0,0,0,0,0,
LTMD_U1_W10_INTEGRADOS_STRUCTKW_0.1,U1-H1960P2MA005-P009,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",9,3,1,1,0,0,1,0,1,
LTMD_U1_W10_INTEGRADOS_STRUCTKW_0.1,U1-H1960P2MA005-P010,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",10,3,1,1,0,0,0,0,0,
LTMD_U1_W10_INTEGRADOS_STRUCTKW_0.1,U1-H1960P2MA005-P011,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",11,3,1,1,0,0,0,0,0,
LTMD_U1_W10_INTEGRADOS_STRUCTKW_0.1,U1-H1960P2MA005-P012,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",12,3,1,1,0,0,0,0,0,
LTMD_U1_W10_INTEGRADOS_STRUCTKW_0.1,U1-H1960P2MA005-P013,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",13,3,1,1,0,0,1,0,1,
LTMD_U1_W10_INTEGRADOS_STRUCTKW_0.1,U1-H1960P2MA005-P014,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",14,3,1,1,0,0,0,0,0,
LTMD_U1_W10_INTEGRADOS_STRUCTKW_0.1,U1-H1960P2MA005-P015,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",15,3,1,1,0,0,0,0,0,
