topology_version,viewer_key,catalog_generation,grade_code,title_core,source_admitted,is_canonical_processing_object,processing_mode,canonical_viewer_key,source_sequence_sha256,source_pages,terminal_synthetic_candidates,source_state
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",1,1,direct_canonical,H1960P2MA005,7300c20ba493f618cf0d6da0df64e0dfc5c08e1724b5c1195f5a20e7fcdb4631,114,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1960P3ES006,1960,3,MI CUADERNO DE TRABAJO. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO,1,1,direct_canonical,H1960P3ES006,b5bbbe2ef7ab5ce1e8a530ef91c52e384fe9b95b66bab6bf4215e510c22ad237,210,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1960P3HI010,1960,3,MI LIBRO DE HISTORIA Y CIVISMO,1,1,direct_canonical,H1960P3HI010,38533380af7d13a26bb50fdf1f9f7eec7ae39ba76dc51916b212a8cd73876fff,130,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1960P3MA011,1960,3,"MI LIBRO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",1,1,direct_canonical,H1960P3MA011,39dab6d538e79e71b00deb932ccd5c42fac05a54aac2b5f087c289805ecdb942,194,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1960P3MA012,1960,3,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",1,1,direct_canonical,H1960P3MA012,86102a6104285429482dcb86fb93190d8dd38e3e6230ae847360510a25dcebed,218,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1960P4ES014,1960,4,"MI CUADERNO DE TRABAJO, PRIMERA PARTE. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO",1,1,direct_canonical,H1960P4ES014,e3c7ef6f69e87e4415944f28861645858c054c389291b9efd65f5cacc70dda9a,234,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1960P4HI017,1960,4,MI LIBRO DE HISTORIA Y CIVISMO,1,1,direct_canonical,H1960P4HI017,0f3955fd4857ed8de9174876aaf0f137ca1847b87e2e010d2a1e6fd89cbf924a,194,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1960P4MA018,1960,4,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,1,1,direct_canonical,H1960P4MA018,e6abea67ca51c6532507e491f6675b395d25b5176bf965428fa80fe91bb3b423,154,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1960P4MA019,1960,4,MI LIBRO. SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,1,1,direct_canonical,H1960P4MA019,88640738969ded3630b9d5422491af49bff9ee1c079250ed3f596bc136be4113,210,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1960P5MA020,1960,5,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE , ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",1,1,direct_canonical,H1960P5MA020,a3ad142ad150edacacda3b98deaeb8e8035e1194329e11a38fff762c3f732772,258,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1960P5MA021,1960,5,"MI LIBRO, SEGUNDA PARTE ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",1,1,direct_canonical,H1960P5MA021,886d8aa4aaef2d941bf62783948633927eeae49b1606b50a6844dca1d55f6408,210,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1966P2MA349,1966,2,MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA,1,1,direct_canonical,H1966P2MA349,5ac422b1fa21506e0117ec74fb6d0b51dda57e6a9bc93c33a1af214243a2e4f5,114,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1966P3ES351,1966,3,"MI CUADERNO DE TRABAJO DE LENGUA NACIONAL, HISTORIA Y CIVISMO",1,1,direct_canonical,H1966P3ES351,3ee6731ddecedeab60657db2117e2ab21b5f299d54d9dd3e76b7f4450a2505ff,210,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1966P3HI354,1966,3,MI LIBRO DE HISTORIA Y CIVISMO,1,1,direct_canonical,H1966P3HI354,67078c6d2ffbb54f19c52a5c9979858d8b774b4b9847f65d7f98c807314f1eb4,130,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1966P3MA355,1966,3,"MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA",1,1,direct_canonical,H1966P3MA355,9bebd43623a88689a77b6a38fc5838c5aeae44a2fc1937ddbb7193addebeaff3,218,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1966P3MA356,1966,3,"MI LIBRO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA",1,1,direct_canonical,H1966P3MA356,82509161c846cde61f58298d3d08bb0cf127022bb19b12a45b96e7d3b133f708,210,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1966P3MA357,1966,3,"MI LIBRO, SEGUNDA PARTE, ARITMÉTICA Y GEOMETRIA, ESTUDIO DE LA NATURALEZA",1,1,direct_canonical,H1966P3MA357,289e9844e3d2dbb14d5ea81c6e46b4ee5bbb215d733c5ed72dcad30108989b2e,194,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1966P4ES359,1966,4,"MI CUADERNO DE TRABAJO DE LENGUA NACIONAL, HISTORIA Y CIVISMO",1,1,direct_canonical,H1966P4ES359,0e0bff4ef1502bd128f031c87c48c9d1499129950a463ab67ff48ff5163092e6,234,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1966P4HI361,1966,4,MI LIBRO DE HISTORIA Y CIVISMO,1,1,direct_canonical,H1966P4HI361,8ea8f09102bfa0f81552a574c0ceba2449b4f3bd7eb5d4b650a78030cbcc7f31,192,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1966P4MA362,1966,4,"MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA",1,1,direct_canonical,H1966P4MA362,400cd61cacf2291c11cb728876f8875a8e222d0e6647d1e346a9a7e9ad6c307a,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1966P4MA363,1966,4,"MI LIBRO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA",1,1,direct_canonical,H1966P4MA363,0038654f9b8b75fbf0ae26e532f8d67ec8d6a14537ebaf4a1daaf16ccb3c06fb,226,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1966P5HI369,1966,5,MI CUADERNO DE TRABAJO DE HISTORIA Y CIVISMO,1,1,direct_canonical,H1966P5HI369,70189435d6fd8d045a5c74b732b190dff224ad4d36c4111881d6fd084e000ff3,130,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1966P5HI370,1966,5,MI LIBRO DE HISTORIA Y CIVISMO,1,1,direct_canonical,H1966P5HI370,c6f6c1c0985d42a9008adcdc90b74ad783923110fb46419fc6e2f660bb585e9f,226,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1966P5MA371,1966,5,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,1,1,direct_canonical,H1966P5MA371,370395e769295beac3314decbe92534e126c2f40edf8f6ed515f44fd72ee8bf3,258,1,admitted_direct
