anomaly_version,viewer_key,catalog_generation,grade_code,title_core,viewer_page,declared_positions,source_image_index,source_asset_url,probe_state,http_status,asset_status,is_final_declared_position,attempts,error
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",115,115,115,https://historico.conaliteg.gob.mx/c/H1960P2MA005/115.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1960P3ES006,1960,3,MI CUADERNO DE TRABAJO. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO,211,211,211,https://historico.conaliteg.gob.mx/c/H1960P3ES006/211.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1960P3HI010,1960,3,MI LIBRO DE HISTORIA Y CIVISMO,131,131,131,https://historico.conaliteg.gob.mx/c/H1960P3HI010/131.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1960P3MA011,1960,3,"MI LIBRO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",195,195,195,https://historico.conaliteg.gob.mx/c/H1960P3MA011/195.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1960P3MA012,1960,3,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",219,219,219,https://historico.conaliteg.gob.mx/c/H1960P3MA012/219.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1960P4ES014,1960,4,"MI CUADERNO DE TRABAJO, PRIMERA PARTE. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO",235,235,235,https://historico.conaliteg.gob.mx/c/H1960P4ES014/235.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1960P4HI017,1960,4,MI LIBRO DE HISTORIA Y CIVISMO,195,195,195,https://historico.conaliteg.gob.mx/c/H1960P4HI017/195.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1960P4MA018,1960,4,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,155,155,155,https://historico.conaliteg.gob.mx/c/H1960P4MA018/155.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1960P4MA019,1960,4,MI LIBRO. SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,211,211,211,https://historico.conaliteg.gob.mx/c/H1960P4MA019/211.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1960P5MA020,1960,5,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE , ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",259,259,259,https://historico.conaliteg.gob.mx/c/H1960P5MA020/259.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
