analysis_version,viewer_a,viewer_b,generation_a,generation_b,grade_a,grade_b,same_generation,same_grade,unique_units_a,unique_units_b,shared_unique_units,jaccard,containment_a_in_b,containment_b_in_a
LTMD_U1_W11_EXACT_REUSE_0.1,H2018P2COM,H2019P2COM,2018,2019,2,2,0,1,3533,3463,2157,0.445753,0.610529,0.622870
LTMD_U1_W11_EXACT_REUSE_0.1,H2018P1COM,H2019P1COM,2018,2019,1,1,0,1,3214,3160,2124,0.499765,0.660859,0.672152
LTMD_U1_W11_EXACT_REUSE_0.1,H1982P2ES101,H1988P2CI112,1982,1988,2,2,0,1,2292,2318,1036,0.289871,0.452007,0.446937
LTMD_U1_W11_EXACT_REUSE_0.1,H1960P1ES002,H1966P1ES346,1960,1966,1,1,0,1,1447,1542,930,0.451676,0.642709,0.603113
LTMD_U1_W11_EXACT_REUSE_0.1,H1982P1ES098,H1988P1ES109,1982,1988,1,1,0,1,988,981,862,0.778681,0.872470,0.878695
LTMD_U1_W11_EXACT_REUSE_0.1,H1960P2ES004,H1966P2ES348,1960,1966,2,2,0,1,1721,1813,836,0.309859,0.485764,0.461114
LTMD_U1_W11_EXACT_REUSE_0.1,H2018P1COA,H2019P1COA,2018,2019,1,1,0,1,1239,1227,715,0.408338,0.577078,0.582722
LTMD_U1_W11_EXACT_REUSE_0.1,H2018P2COA,H2019P2COA,2018,2019,2,2,0,1,1147,1152,689,0.427950,0.600697,0.598090
LTMD_U1_W11_EXACT_REUSE_0.1,H2019P1CAM,H2019P1COM,2019,2019,1,1,1,1,768,3160,671,0.206018,0.873698,0.212342
LTMD_U1_W11_EXACT_REUSE_0.1,H1982P1ES099,H1988P1ES108,1982,1988,1,1,0,1,645,672,484,0.581032,0.750388,0.720238
LTMD_U1_W11_EXACT_REUSE_0.1,H2018P1COM,H2019P1CAM,2018,2019,1,1,0,1,3214,768,444,0.125495,0.138146,0.578125
LTMD_U1_W11_EXACT_REUSE_0.1,H2018P1COM,H2018P2COM,2018,2018,1,2,1,0,3214,3533,268,0.041364,0.083385,0.075856
LTMD_U1_W11_EXACT_REUSE_0.1,H2018P1COM,H2019P2COM,2018,2019,1,2,0,0,3214,3463,266,0.041491,0.082763,0.076812
LTMD_U1_W11_EXACT_REUSE_0.1,H2018P2COM,H2019P1COM,2018,2019,2,1,0,0,3533,3160,260,0.040417,0.073592,0.082278
