segmenter_version,viewer_key,fragment_count,segmented_page_count,activity_candidate,assessment_candidate,experiment_candidate,expository_candidate,instruction_candidate,other_candidate,project_candidate,question_candidate,short_residual_candidate
FRAGSEG_LTMD_U1_W11_0.1,H1960P1ES001,764,111,0,0,0,13,34,0,0,33,684
FRAGSEG_LTMD_U1_W11_0.1,H1960P1ES002,1455,168,0,0,0,58,41,0,0,95,1261
FRAGSEG_LTMD_U1_W11_0.1,H1960P2ES004,1783,184,1,1,4,344,123,0,0,116,1194
FRAGSEG_LTMD_U1_W11_0.1,H1966P1ES346,1558,166,0,0,0,47,40,0,0,91,1380
FRAGSEG_LTMD_U1_W11_0.1,H1966P2ES348,1887,184,1,1,4,347,124,0,0,121,1289
FRAGSEG_LTMD_U1_W11_0.1,H1982P1ES096,103,33,0,0,0,3,25,0,0,4,71
FRAGSEG_LTMD_U1_W11_0.1,H1982P1ES097,110,23,0,0,0,2,21,0,0,13,74
FRAGSEG_LTMD_U1_W11_0.1,H1982P1ES098,1017,190,3,0,1,41,77,0,0,125,770
FRAGSEG_LTMD_U1_W11_0.1,H1982P1ES099,669,151,0,0,0,32,22,0,0,97,518
FRAGSEG_LTMD_U1_W11_0.1,H1982P2ES101,2418,298,49,0,4,201,333,0,0,387,1444
FRAGSEG_LTMD_U1_W11_0.1,H1982P2ES102,502,68,5,0,0,28,37,0,0,104,328
FRAGSEG_LTMD_U1_W11_0.1,H1988P1ES108,701,161,0,0,0,29,27,0,0,106,539
FRAGSEG_LTMD_U1_W11_0.1,H1988P1ES109,1018,189,3,0,1,42,74,0,0,117,781
FRAGSEG_LTMD_U1_W11_0.1,H1988P1ES110,103,36,0,0,0,3,30,0,0,3,67
FRAGSEG_LTMD_U1_W11_0.1,H1988P1ES111,117,28,0,0,0,3,27,0,0,13,74
FRAGSEG_LTMD_U1_W11_0.1,H1988P2CI112,2466,297,49,0,4,186,328,0,0,390,1509
FRAGSEG_LTMD_U1_W11_0.1,H1988P2CI113,2199,291,30,0,1,125,231,0,0,395,1417
FRAGSEG_LTMD_U1_W11_0.1,H1993P1LI140,473,114,1,0,2,41,41,0,0,53,335
FRAGSEG_LTMD_U1_W11_0.1,H1993P1LI141,49,22,0,0,0,2,17,0,0,1,29
FRAGSEG_LTMD_U1_W11_0.1,H1993P2LI149,939,141,30,0,4,130,137,0,0,142,496
FRAGSEG_LTMD_U1_W11_0.1,H1993P2LI150,80,18,5,0,1,8,18,0,0,1,47
FRAGSEG_LTMD_U1_W11_0.1,H1993P4CI192,494,50,3,0,1,65,37,0,1,39,348
FRAGSEG_LTMD_U1_W11_0.1,H1993P6HI215,1787,152,17,0,4,547,241,0,2,48,928
FRAGSEG_LTMD_U1_W11_0.1,H1993P6HI216,1964,187,38,0,9,629,316,0,14,38,920
FRAGSEG_LTMD_U1_W11_0.1,H1993P6HI217,2417,216,39,0,4,653,288,0,0,58,1375
FRAGSEG_LTMD_U1_W11_0.1,H1993P6HI218,2211,219,39,0,8,671,358,0,9,62,1064
FRAGSEG_LTMD_U1_W11_0.1,H1993P6HI219,2486,266,43,0,14,782,360,0,3,66,1218
FRAGSEG_LTMD_U1_W11_0.1,H1993P6HI220,2120,207,38,0,8,684,273,0,3,48,1066
FRAGSEG_LTMD_U1_W11_0.1,H1993P6HI221,2306,209,25,0,2,714,340,0,2,89,1134
FRAGSEG_LTMD_U1_W11_0.1,H1993P6HI222,2228,219,26,0,9,676,274,0,7,49,1187
FRAGSEG_LTMD_U1_W11_0.1,H1993P6HI223,2990,255,28,1,1,878,355,0,3,43,1681
FRAGSEG_LTMD_U1_W11_0.1,H1993P6HI224,2724,237,60,0,5,788,401,0,7,59,1404
FRAGSEG_LTMD_U1_W11_0.1,H1993P6HI225,2281,252,31,0,6,658,305,0,1,68,1212
FRAGSEG_LTMD_U1_W11_0.1,H1993P6HI226,2439,221,28,0,13,658,343,0,10,52,1335
FRAGSEG_LTMD_U1_W11_0.1,H1993P6HI227,2773,253,29,0,9,795,327,0,4,63,1546
FRAGSEG_LTMD_U1_W11_0.1,H1993P6HI228,2969,266,12,0,7,910,356,0,9,130,1545
