audit_version,viewer_key,catalog_generation,grade_code,title_core,ag_clave,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,source_bytes,unique_source_hashes,direct_asset_ready
LTMD_U1_W11_NONSTANDARD_ASSET_AUDIT_0.1,H1993P4CI192,1993,4,Conoce nuestra constitución,H1993P4CI192,67,66,1,0,0,18316588,66,1
LTMD_U1_W11_NONSTANDARD_ASSET_AUDIT_0.1,H2008P4CI270,2008,4,CONOCE NUESTRA CONSTITUCIÓN,H2008P4CI270,67,66,1,0,0,18316588,66,1
LTMD_U1_W11_NONSTANDARD_ASSET_AUDIT_0.1,H2011P4CI316,2011,4,CONOCE NUESTRA CONSTITICIÓN,H2011P4CI316,66,65,1,0,0,21855050,65,1
LTMD_U1_W11_NONSTANDARD_ASSET_AUDIT_0.1,H2014P1CAM,2014,1,"Material de apoyo a la alfabetización inicial, Tiras recortables y cartel con el alfabeto",H2014P1CAM,115,114,1,0,0,25612012,114,1
LTMD_U1_W11_NONSTANDARD_ASSET_AUDIT_0.1,H2014P1EAM,2014,1,Fichero didactico (incluye DVD),H2014P1EAM,49,48,0,1,0,76415624,48,0
LTMD_U1_W11_NONSTANDARD_ASSET_AUDIT_0.1,H2014P2EAM,2014,2,Fichero didactico (incluye DVD),H2014P2EAM,19,17,0,2,0,31020222,17,0
LTMD_U1_W11_NONSTANDARD_ASSET_AUDIT_0.1,H2014P4CCA,2014,4,Conoce nuestra Constitución,H2014P4CCA,66,65,1,0,0,39457383,65,1
LTMD_U1_W11_NONSTANDARD_ASSET_AUDIT_0.1,H2018P1CAM,2018,1,Material de apoyo a la alfabetización Inicial. Tiras recortables,H2018P1CAM,114,113,1,0,0,16931170,112,1
LTMD_U1_W11_NONSTANDARD_ASSET_AUDIT_0.1,H2018P4CCA,2018,4,Conoce Nuestra Constitución,H2018P4CCA,66,65,1,0,0,19815366,65,1
LTMD_U1_W11_NONSTANDARD_ASSET_AUDIT_0.1,H2019P1CAM,2019,1,Material de apoyo a la alfabetización Inicial. Tiras recortables. PrImer grado,H2019P1CAM,154,153,1,0,0,13346711,153,1
LTMD_U1_W11_NONSTANDARD_ASSET_AUDIT_0.1,H2019P4CCA,2019,4,Conoce nuestra Constitución,H2019P4CCA,66,65,1,0,0,27342239,65,1
