diagnostic_version,viewer_key,catalog_generation,grade_code,discovery_method,tag,attribute,resource_type,candidate_role,resource_url
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H1993P4CI192,1993,4,inline_literal,inline,literal,jpg,shared_site_chrome,http://historico.conaliteg.gob.mx/tw.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H1993P4CI192,1993,4,inline_literal,inline,literal,jpg,shared_site_chrome,http://www.conaliteg.gob.mx/images/tw_conaliteg.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H1993P4CI192,1993,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/der.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H1993P4CI192,1993,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/go.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H1993P4CI192,1993,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/h.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H1993P4CI192,1993,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/izq.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2008P4CI270,2008,4,inline_literal,inline,literal,jpg,shared_site_chrome,http://historico.conaliteg.gob.mx/tw.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2008P4CI270,2008,4,inline_literal,inline,literal,jpg,shared_site_chrome,http://www.conaliteg.gob.mx/images/tw_conaliteg.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2008P4CI270,2008,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/der.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2008P4CI270,2008,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/go.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2008P4CI270,2008,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/h.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2008P4CI270,2008,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/izq.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2011P4CI316,2011,4,inline_literal,inline,literal,jpg,shared_site_chrome,http://historico.conaliteg.gob.mx/tw.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2011P4CI316,2011,4,inline_literal,inline,literal,jpg,shared_site_chrome,http://www.conaliteg.gob.mx/images/tw_conaliteg.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2011P4CI316,2011,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/der.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2011P4CI316,2011,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/go.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2011P4CI316,2011,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/h.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2011P4CI316,2011,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/izq.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P1CAM,2014,1,inline_literal,inline,literal,jpg,shared_site_chrome,http://historico.conaliteg.gob.mx/tw.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P1CAM,2014,1,inline_literal,inline,literal,jpg,shared_site_chrome,http://www.conaliteg.gob.mx/images/tw_conaliteg.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P1CAM,2014,1,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/der.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P1CAM,2014,1,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/go.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P1CAM,2014,1,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/h.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P1CAM,2014,1,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/izq.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P1EAM,2014,1,inline_literal,inline,literal,jpg,shared_site_chrome,http://historico.conaliteg.gob.mx/tw.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P1EAM,2014,1,inline_literal,inline,literal,jpg,shared_site_chrome,http://www.conaliteg.gob.mx/images/tw_conaliteg.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P1EAM,2014,1,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/der.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P1EAM,2014,1,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/go.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P1EAM,2014,1,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/h.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P1EAM,2014,1,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/izq.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P2EAM,2014,2,inline_literal,inline,literal,jpg,shared_site_chrome,http://historico.conaliteg.gob.mx/tw.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P2EAM,2014,2,inline_literal,inline,literal,jpg,shared_site_chrome,http://www.conaliteg.gob.mx/images/tw_conaliteg.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P2EAM,2014,2,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/der.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P2EAM,2014,2,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/go.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P2EAM,2014,2,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/h.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P2EAM,2014,2,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/izq.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P4CCA,2014,4,inline_literal,inline,literal,jpg,shared_site_chrome,http://historico.conaliteg.gob.mx/tw.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P4CCA,2014,4,inline_literal,inline,literal,jpg,shared_site_chrome,http://www.conaliteg.gob.mx/images/tw_conaliteg.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P4CCA,2014,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/der.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P4CCA,2014,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/go.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P4CCA,2014,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/h.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2014P4CCA,2014,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/izq.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2018P1CAM,2018,1,inline_literal,inline,literal,jpg,shared_site_chrome,http://historico.conaliteg.gob.mx/tw.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2018P1CAM,2018,1,inline_literal,inline,literal,jpg,shared_site_chrome,http://www.conaliteg.gob.mx/images/tw_conaliteg.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2018P1CAM,2018,1,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/der.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2018P1CAM,2018,1,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/go.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2018P1CAM,2018,1,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/h.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2018P1CAM,2018,1,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/izq.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2018P4CCA,2018,4,inline_literal,inline,literal,jpg,shared_site_chrome,http://historico.conaliteg.gob.mx/tw.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2018P4CCA,2018,4,inline_literal,inline,literal,jpg,shared_site_chrome,http://www.conaliteg.gob.mx/images/tw_conaliteg.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2018P4CCA,2018,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/der.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2018P4CCA,2018,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/go.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2018P4CCA,2018,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/h.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2018P4CCA,2018,4,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/izq.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2019P1CAM,2019,1,inline_literal,inline,literal,jpg,shared_site_chrome,http://historico.conaliteg.gob.mx/tw.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2019P1CAM,2019,1,inline_literal,inline,literal,jpg,shared_site_chrome,http://www.conaliteg.gob.mx/images/tw_conaliteg.jpg
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2019P1CAM,2019,1,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/der.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2019P1CAM,2019,1,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/go.png
LTMD_U1_W11_NONSTANDARD_HTML_0.3,H2019P1CAM,2019,1,attribute,img,src,png,shared_ui_control,https://historico.conaliteg.gob.mx/pics/h.png
