classifier_version,viewer_key,n_pages,textual,mixed_text_image,visual_only,front_matter,toc_or_navigation,bibliography_or_credits,unknown
PAGESTRUCT_LTMD_U1_W11_0.1,H1960P1ES001,218,1,110,51,0,0,3,53
PAGESTRUCT_LTMD_U1_W11_0.1,H1960P1ES002,194,5,163,14,0,0,0,12
PAGESTRUCT_LTMD_U1_W11_0.1,H1960P2ES004,194,61,123,6,0,0,2,2
PAGESTRUCT_LTMD_U1_W11_0.1,H1966P1ES346,194,4,162,19,0,0,2,7
PAGESTRUCT_LTMD_U1_W11_0.1,H1966P2ES348,194,65,119,4,0,0,2,4
PAGESTRUCT_LTMD_U1_W11_0.1,H1982P1ES096,130,1,32,62,0,0,2,33
PAGESTRUCT_LTMD_U1_W11_0.1,H1982P1ES097,114,1,22,59,0,0,4,28
PAGESTRUCT_LTMD_U1_W11_0.1,H1982P1ES098,240,1,189,23,0,1,3,23
PAGESTRUCT_LTMD_U1_W11_0.1,H1982P1ES099,242,1,150,34,0,1,5,51
PAGESTRUCT_LTMD_U1_W11_0.1,H1982P2ES101,322,28,270,9,0,1,4,10
PAGESTRUCT_LTMD_U1_W11_0.1,H1982P2ES102,82,3,65,4,0,2,1,7
PAGESTRUCT_LTMD_U1_W11_0.1,H1988P1ES108,242,1,160,31,0,1,2,47
PAGESTRUCT_LTMD_U1_W11_0.1,H1988P1ES109,242,1,188,21,0,1,3,28
PAGESTRUCT_LTMD_U1_W11_0.1,H1988P1ES110,130,1,35,62,0,0,2,30
PAGESTRUCT_LTMD_U1_W11_0.1,H1988P1ES111,114,1,27,58,0,0,2,26
PAGESTRUCT_LTMD_U1_W11_0.1,H1988P2CI112,322,27,270,13,0,1,2,9
PAGESTRUCT_LTMD_U1_W11_0.1,H1988P2CI113,320,11,280,18,0,1,3,7
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P1LI140,178,2,112,38,0,1,2,23
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P1LI141,50,0,22,14,0,2,2,10
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P2LI149,178,4,137,20,0,2,2,13
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P2LI150,50,0,18,25,0,0,1,6
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P4CI192,66,5,45,3,0,3,3,7
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI215,170,138,14,11,0,3,2,2
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI216,210,162,25,13,0,4,4,2
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI217,250,196,20,13,0,4,6,11
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI218,258,184,35,22,0,4,3,10
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI219,290,237,29,12,0,3,5,4
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI220,262,180,27,30,0,2,6,17
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI221,266,175,34,35,0,2,6,14
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI222,254,175,44,17,0,5,5,8
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI223,282,240,15,9,0,3,5,10
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI224,266,217,20,10,0,4,5,10
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI225,282,221,31,19,0,3,4,4
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI226,250,191,30,16,0,2,5,6
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI227,282,225,28,19,0,3,5,2
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI228,290,233,33,12,0,3,4,5
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI229,282,231,21,16,0,5,4,5
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI230,274,202,28,25,0,3,8,8
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI231,290,218,32,14,0,3,4,19
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI232,212,150,27,25,0,2,5,3
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI233,224,182,24,7,0,2,4,5
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI234,290,200,33,46,0,2,5,4
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI235,274,230,20,14,0,3,5,2
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI236,260,221,20,11,0,4,4,0
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI237,288,248,20,10,0,2,5,3
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI238,218,158,30,17,0,4,5,4
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI239,198,160,21,8,0,2,4,3
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI240,258,187,45,13,0,3,7,3
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI241,274,206,47,12,0,3,4,2
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI242,218,158,22,23,0,3,4,8
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI243,218,149,24,22,0,6,9,8
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI244,290,231,18,25,0,4,6,6
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI245,278,197,25,33,0,4,6,13
PAGESTRUCT_LTMD_U1_W11_0.1,H1993P6HI246,258,209,20,13,0,3,7,6
PAGESTRUCT_LTMD_U1_W11_0.1,H2008P5MA285,194,61,106,12,0,5,4,6
PAGESTRUCT_LTMD_U1_W11_0.1,H2011P1ED296,105,19,66,9,1,3,3,4
PAGESTRUCT_LTMD_U1_W11_0.1,H2011P2ED303,89,24,47,7,1,4,4,2
PAGESTRUCT_LTMD_U1_W11_0.1,H2011P3ED310,113,31,67,6,1,2,3,3
PAGESTRUCT_LTMD_U1_W11_0.1,H2011P4CI316,65,14,38,7,0,2,3,1
PAGESTRUCT_LTMD_U1_W11_0.1,H2011P4ED318,113,57,40,6,1,2,3,4
