topology_version,viewer_key,catalog_generation,grade_code,title_core,technical_route,source_admitted,is_canonical_processing_object,processing_mode,canonical_viewer_key,source_sequence_sha256,source_pages,terminal_synthetic_candidates,source_state
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1960P1ES001,1960,1,MI CUADERNO DE TRABAJO DE 1ER AÑO,standard_dynamic_claves,1,1,direct_canonical,H1960P1ES001,d30d497442b53049aacb9d938812715c88a0de0b37a96d6acb2bdabc5041f6f3,218,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1960P1ES002,1960,1,MI LIBRO DE 1ER AÑO,standard_dynamic_claves,1,1,direct_canonical,H1960P1ES002,60bb59a12608a53e9b82ecbac35a1f889fea8857faadc5b3783c99e9fbe11c31,194,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1960P2ES004,1960,2,MI LIBRO DE 2° AÑO,standard_dynamic_claves,1,1,direct_canonical,H1960P2ES004,0cdd41bd9d603f29f5f0518485efc65a530607a8faa386ae033eaea2d2e710e4,194,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1966P1ES346,1966,1,MI LIBRO DE 1er AÑO,standard_dynamic_claves,1,1,direct_canonical,H1966P1ES346,9b6ba1105a43a0e1bd36dc456c079e8c761b8958b7f29a89ed8ad95d9e58d4c8,194,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1966P2ES348,1966,2,MI LIBRO DE 2° AÑO,standard_dynamic_claves,1,1,direct_canonical,H1966P2ES348,b759ffd6e9ee5fae56aa2303b7c4f8edff5aec3f93104d83b431f6ebc4653411,194,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1982P1ES096,1982,1,MI LIBRO RECORTABLE PARTE 1,standard_dynamic_claves,1,1,direct_canonical,H1982P1ES096,25fe384d38e19417cded30853cf7da4687bb75723942bcbe91e4d124e57f2e1a,130,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1982P1ES097,1982,1,MI LIBRO RECORTABLE PARTE 2,standard_dynamic_claves,1,1,direct_canonical,H1982P1ES097,39bbd38bfc4c2bd3e69530d57e18c85b30d195720bc469c1c131b5fc862fb63e,114,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1982P1ES098,1982,1,MI LIBRO PARTE 2,standard_dynamic_claves,1,1,direct_canonical,H1982P1ES098,b40d731d28ca558b1a83196deec77be76e6364c972855800e1d869c069ebb3eb,240,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1982P1ES099,1982,1,MI LIBRO PARTE 1,standard_dynamic_claves,1,1,direct_canonical,H1982P1ES099,4869695c68fab7b0b132b9e27148ba7c3dfb3668b03bf4a61ccda19830bc9853,242,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1982P2ES101,1982,2,MI LIBRO PARTE 2,standard_dynamic_claves,1,1,direct_canonical,H1982P2ES101,17604f3352209f6f0ee12dbd960c6d4bdbc450bf371887c9c4fbbce99eae33ef,322,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1982P2ES102,1982,2,MI LIBRO DE SEGUNDO,standard_dynamic_claves,1,1,direct_canonical,H1982P2ES102,9c0e266ab3dfb59cfd329a43ee028f61021a0a81e3eab23fac8e80783935d8ed,82,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1988P1ES108,1988,1,"MI LIBRO DE 1°, PARTE 1",standard_dynamic_claves,1,1,direct_canonical,H1988P1ES108,83c01dc40ff3f121f110531ca1daa935f0ab54070095c94e306594deadf16a7c,242,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1988P1ES109,1988,1,"MI LIBRO DE 1°, PARTE 2",standard_dynamic_claves,1,1,direct_canonical,H1988P1ES109,b50d5369693f2e85d8f0f45eb8dc7aefa3b3ef5c4bd512c60b22717be5b1373c,242,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1988P1ES110,1988,1,"MI LIBRO DE 1° RECORTABLE, PARTE 1",standard_dynamic_claves,1,1,direct_canonical,H1988P1ES110,1b3243533bf96c70f8569e742a0b31cfcd066e2ae9706aabdfa70fba9d544912,130,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1988P1ES111,1988,1,"MI LIBRO DE 1°, RECORTABLE PARTE 2",standard_dynamic_claves,1,1,direct_canonical,H1988P1ES111,e474a73261fa31575a07cd72fda6289444247d3b52bf1e16973ab1cf5779a255,114,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1988P2CI112,1988,2,"MI LIBRO DE 2°, PARTE 2",standard_dynamic_claves,1,1,direct_canonical,H1988P2CI112,2e87ae6cc866af2409e3843605e801edf4eb8e3c2a4df25b5c3784dfcd57dbee,322,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1988P2CI113,1988,2,MI LIBRO DE 2° PARTE 1,standard_dynamic_claves,1,1,direct_canonical,H1988P2CI113,0602b47cedd261efa9cac977caa174b86c99c99876f0f9edf1728572865750a6,320,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P1LI140,1993,1,Libro Integrado,standard_dynamic_claves,1,1,direct_canonical,H1993P1LI140,0c7eba1abbc00c820b88f9dda28c6f8d33cd19bbb7ef996a3d22074ae390fdf4,178,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P1LI141,1993,1,Libro Integrado recortable,standard_dynamic_claves,1,1,direct_canonical,H1993P1LI141,ea1d74870589409e3e19cdd2caf18a6c172ef75a3c5871f3b70d1445489cf2d4,50,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P2LI149,1993,2,Libro Integrado,standard_dynamic_claves,1,1,direct_canonical,H1993P2LI149,8004ad3ec06db0614013f0cd969a7315d8d79d68b46c5e0b05945a80850070d5,178,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P2LI150,1993,2,Libro Integrado Recortable,standard_dynamic_claves,1,1,direct_canonical,H1993P2LI150,5ddb99a501868ca165410839469d350a222b2ccabdd4abd422f4c22650653b05,50,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P4CI192,1993,4,Conoce nuestra constitución,nonstandard_html_diagnostics,1,1,direct_canonical,H1993P4CI192,a8911e0b77185cf7c842e37f4b2c1b219ab0a64adc073ee71dd20f2ed30ba38e,66,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI215,1993,6,MONOGRAFÍA ESTATAL AGUASCALIENTES,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI215,1b7d7ed512c66380d4e5012244f6a4d81fcafac10880f22ae2925679034f59fb,170,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI216,1993,6,MONOGRAFÍA ESTATAL BAJA CALIFORNIA,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI216,b76db6a6fea094e2c7ff602f7637e5c8d616d0f8961ae759b825597985d22d91,210,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI217,1993,6,MONOGRAFÍA ESTATAL BAJA CALIFORNIA SUR,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI217,54a506773cd656b012b58daeb3e5eb61ad7c86b82c7bd2e6906490f556057783,250,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI218,1993,6,MONOGRAFÍA ESTATAL COAHUILA,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI218,0e034ee58d98b11fb72c5bb17d8d24460f16408b8e87b28c06a094a36945681c,258,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI219,1993,6,MONOGRAFÍA ESTATAL COLIMA,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI219,c3ce902c1bb6247bcf92527a4463af65beedb78c18c425d13dab2ece01604884,290,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI220,1993,6,MONOGRAFÍA ESTATAL CAMPECHE,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI220,3ceb1ded7b95069cf7a0265f75c67c44c6bfebc2ab42b66a3c607e3a4014dfbe,262,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI221,1993,6,MONOGRAFÍA ESTATAL CHIAPAS,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI221,72f792ad82c7c9021a3eaea8b0e585812a540549292de90133badeefddcc3f60,266,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI222,1993,6,MONOGRAFÍA ESTATAL CHIHUAHUA,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI222,c0e41987bc5b61364df85febfc886cbb1d4d731484442766492c44312d96fc19,254,1,admitted_direct
