audit_version,viewer_key,catalog_generation,grade_code,title_core,ag_clave,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,source_bytes,unique_source_hashes,direct_asset_ready
LTMD_U1_W11_STANDARD_ASSET_AUDIT_0.1,H1960P1ES001,1960,1,MI CUADERNO DE TRABAJO DE 1ER AÑO,H1960P1ES001,219,218,1,0,0,12075150,218,1
LTMD_U1_W11_STANDARD_ASSET_AUDIT_0.1,H1960P1ES002,1960,1,MI LIBRO DE 1ER AÑO,H1960P1ES002,195,194,1,0,0,8850269,194,1
LTMD_U1_W11_STANDARD_ASSET_AUDIT_0.1,H1960P2ES004,1960,2,MI LIBRO DE 2° AÑO,H1960P2ES004,195,194,1,0,0,10790189,194,1
LTMD_U1_W11_STANDARD_ASSET_AUDIT_0.1,H1966P1ES346,1966,1,MI LIBRO DE 1er AÑO,H1966P1ES346,195,194,1,0,0,8360529,194,1
LTMD_U1_W11_STANDARD_ASSET_AUDIT_0.1,H1966P2ES348,1966,2,MI LIBRO DE 2° AÑO,H1966P2ES348,195,194,1,0,0,9907410,194,1
LTMD_U1_W11_STANDARD_ASSET_AUDIT_0.1,H1982P1ES096,1982,1,MI LIBRO RECORTABLE PARTE 1,H1982P1ES096,131,130,1,0,0,4788488,77,1
LTMD_U1_W11_STANDARD_ASSET_AUDIT_0.1,H1982P1ES097,1982,1,MI LIBRO RECORTABLE PARTE 2,H1982P1ES097,115,114,1,0,0,4439965,64,1
LTMD_U1_W11_STANDARD_ASSET_AUDIT_0.1,H1982P1ES098,1982,1,MI LIBRO PARTE 2,H1982P1ES098,241,240,1,0,0,12071625,240,1
LTMD_U1_W11_STANDARD_ASSET_AUDIT_0.1,H1982P1ES099,1982,1,MI LIBRO PARTE 1,H1982P1ES099,243,242,1,0,0,10818171,242,1
LTMD_U1_W11_STANDARD_ASSET_AUDIT_0.1,H1982P2ES101,1982,2,MI LIBRO PARTE 2,H1982P2ES101,323,322,1,0,0,17153026,322,1
LTMD_U1_W11_STANDARD_ASSET_AUDIT_0.1,H1982P2ES102,1982,2,MI LIBRO DE SEGUNDO,H1982P2ES102,83,82,1,0,0,4460514,82,1
LTMD_U1_W11_STANDARD_ASSET_AUDIT_0.1,H1988P1ES108,1988,1,"MI LIBRO DE 1°, PARTE 1",H1988P1ES108,243,242,1,0,0,10896833,242,1
LTMD_U1_W11_STANDARD_ASSET_AUDIT_0.1,H1988P1ES109,1988,1,"MI LIBRO DE 1°, PARTE 2",H1988P1ES109,243,242,1,0,0,12167495,242,1
LTMD_U1_W11_STANDARD_ASSET_AUDIT_0.1,H1988P1ES110,1988,1,"MI LIBRO DE 1° RECORTABLE, PARTE 1",H1988P1ES110,131,130,1,0,0,4777426,81,1
LTMD_U1_W11_STANDARD_ASSET_AUDIT_0.1,H1988P1ES111,1988,1,"MI LIBRO DE 1°, RECORTABLE PARTE 2",H1988P1ES111,115,114,1,0,0,4422123,63,1
