architecture_version,scope_version,viewer_key,catalog_generation,grade_code,title_core,html_status,x_js_discovered,x_js_url,x_js_status,ag_pages_signal,ag_clave_signal,claves_json_signal,magazine_js_signal,standard_dynamic_architecture,architecture_signature,source_url
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1960P1ES001,1960,1,MI CUADERNO DE TRABAJO DE 1ER AÑO,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1960P1ES001.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1960P1ES002,1960,1,MI LIBRO DE 1ER AÑO,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1960P1ES002.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1960P2ES004,1960,2,MI LIBRO DE 2° AÑO,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1960P2ES004.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1966P1ES346,1966,1,MI LIBRO DE 1er AÑO,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1966P1ES346.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1966P2ES348,1966,2,MI LIBRO DE 2° AÑO,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1966P2ES348.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1982P1ES096,1982,1,MI LIBRO RECORTABLE PARTE 1,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1982P1ES096.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1982P1ES097,1982,1,MI LIBRO RECORTABLE PARTE 2,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1982P1ES097.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1982P1ES098,1982,1,MI LIBRO PARTE 2,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1982P1ES098.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1982P1ES099,1982,1,MI LIBRO PARTE 1,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1982P1ES099.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1982P2ES101,1982,2,MI LIBRO PARTE 2,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1982P2ES101.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1982P2ES102,1982,2,MI LIBRO DE SEGUNDO,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1982P2ES102.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1988P1ES108,1988,1,"MI LIBRO DE 1°, PARTE 1",200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1988P1ES108.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1988P1ES109,1988,1,"MI LIBRO DE 1°, PARTE 2",200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1988P1ES109.htm
