book_id,page_id,observed_fragment_count,max_sequence,missing_sequence_slots,missing_slot_count
U1-H1966P6CI374,U1-H1966P6CI374-VP010,19,20,6,1
U1-H1966P6CI374,U1-H1966P6CI374-VP011,32,33,30,1
U1-H1966P6CI374,U1-H1966P6CI374-VP021,13,14,6,1
U1-H1966P6CI374,U1-H1966P6CI374-VP023,5,6,1,1
U1-H1966P6CI374,U1-H1966P6CI374-VP031,14,15,3,1
U1-H1966P6CI374,U1-H1966P6CI374-VP037,27,28,23,1
U1-H1966P6CI374,U1-H1966P6CI374-VP041,23,24,18,1
U1-H1966P6CI374,U1-H1966P6CI374-VP069,13,14,6,1
U1-H1966P6CI374,U1-H1966P6CI374-VP072,20,21,1,1
U1-H1966P6CI374,U1-H1966P6CI374-VP084,18,19,16,1
U1-H1966P6CI374,U1-H1966P6CI374-VP088,21,22,21,1
U1-H1966P6CI374,U1-H1966P6CI374-VP101,11,12,11,1
U1-H1966P6CI374,U1-H1966P6CI374-VP105,11,13,1 12,2
U1-H1966P6CI374,U1-H1966P6CI374-VP109,14,15,1,1
U1-H1966P6CI374,U1-H1966P6CI374-VP112,19,20,17,1
U1-H1966P6CI374,U1-H1966P6CI374-VP115,16,17,4,1
U1-H1966P6CI374,U1-H1966P6CI374-VP124,16,17,7,1
U1-H1966P6CI374,U1-H1966P6CI374-VP125,11,12,7,1
U1-H1966P6CI374,U1-H1966P6CI374-VP128,9,10,1,1
U1-H1966P6CI374,U1-H1966P6CI374-VP133,9,10,1,1
U1-H1966P6CI374,U1-H1966P6CI374-VP143,19,20,9,1
U1-H1966P6CI374,U1-H1966P6CI374-VP154,10,11,7,1
U1-H1966P6CI374,U1-H1966P6CI374-VP157,15,16,12,1
U1-H1966P6CI374,U1-H1966P6CI374-VP159,17,18,1,1
U1-H1966P6CI374,U1-H1966P6CI374-VP167,13,14,13,1
U1-H1966P6CI375,U1-H1966P6CI375-VP011,19,20,11,1
U1-H1966P6CI375,U1-H1966P6CI375-VP012,10,11,6,1
U1-H1966P6CI375,U1-H1966P6CI375-VP026,12,13,3,1
U1-H1966P6CI375,U1-H1966P6CI375-VP029,20,21,16,1
U1-H1966P6CI375,U1-H1966P6CI375-VP035,8,9,4,1
U1-H1966P6CI375,U1-H1966P6CI375-VP044,11,12,1,1
U1-H1966P6CI375,U1-H1966P6CI375-VP048,16,17,1,1
U1-H1966P6CI375,U1-H1966P6CI375-VP058,16,17,2,1
U1-H1966P6CI375,U1-H1966P6CI375-VP074,8,9,1,1
U1-H1966P6CI375,U1-H1966P6CI375-VP107,21,23,2 20,2
U1-H1966P6CI375,U1-H1966P6CI375-VP108,13,14,7,1
U1-H1966P6CI375,U1-H1966P6CI375-VP142,10,11,1,1
