ocr_version,page_id,book_id,catalog_generation,grade,viewer_page,asset_status,source_bytes,source_sha256_verified,attempts,selected_psm,recognized_words,ocr_chars,mean_word_confidence,median_word_confidence,low_confidence_word_rate,ocr_class,ocr_status,error
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP001,U1-H1966P6CI374,1966,6,1,source_jpeg,319462,1,psm3:ok:0;psm11:ok:4;psm6:ok:2,,4,15,36.96,43.74,0.7500,no_text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP002,U1-H1966P6CI374,1966,6,2,source_jpeg,29151,1,psm3:ok:25,3,25,105,82.17,95.72,0.1600,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP003,U1-H1966P6CI374,1966,6,3,source_jpeg,28093,1,psm3:ok:11,3,11,50,96.39,96.34,0.0000,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP004,U1-H1966P6CI374,1966,6,4,source_jpeg,77480,1,psm3:ok:409,3,409,2092,90.65,95.94,0.0489,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP005,U1-H1966P6CI374,1966,6,5,source_jpeg,64755,1,psm3:ok:326,3,326,1709,92.08,95.60,0.0245,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP006,U1-H1966P6CI374,1966,6,6,source_jpeg,40098,1,psm3:ok:98,3,98,559,63.38,74.26,0.4184,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP007,U1-H1966P6CI374,1966,6,7,source_jpeg,66662,1,psm3:ok:113,3,113,581,70.73,89.41,0.3097,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP008,U1-H1966P6CI374,1966,6,8,source_jpeg,27207,1,psm3:ok:38,3,38,181,89.12,95.71,0.0526,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP009,U1-H1966P6CI374,1966,6,9,source_jpeg,67196,1,psm3:ok:229,3,229,1003,92.50,96.02,0.0262,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP010,U1-H1966P6CI374,1966,6,10,source_jpeg,49913,1,psm3:ok:141,3,141,705,89.59,95.77,0.0426,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP011,U1-H1966P6CI374,1966,6,11,source_jpeg,58260,1,psm3:ok:355,3,355,1546,88.61,95.39,0.0592,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP012,U1-H1966P6CI374,1966,6,12,source_jpeg,61982,1,psm3:ok:249,3,249,1220,91.09,95.85,0.0402,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP013,U1-H1966P6CI374,1966,6,13,source_jpeg,53528,1,psm3:ok:144,3,144,764,86.26,95.73,0.1319,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP014,U1-H1966P6CI374,1966,6,14,source_jpeg,54648,1,psm3:ok:177,3,177,775,93.75,96.37,0.0226,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP015,U1-H1966P6CI374,1966,6,15,source_jpeg,53780,1,psm3:ok:217,3,217,1030,92.98,96.41,0.0369,text_detected,ok,
