viewer_key,page_id,observed_fragment_count,max_sequence,missing_sequence_slots,missing_slot_count
H1972P1MA063,U1-H1972P1MA063-P021,4,5,1,1
H1972P1MA063,U1-H1972P1MA063-P062,4,5,3,1
H1972P1MA063,U1-H1972P1MA063-P064,11,12,11,1
H1972P1MA063,U1-H1972P1MA063-P072,6,7,4,1
H1972P1MA063,U1-H1972P1MA063-P086,11,12,9,1
H1972P1MA063,U1-H1972P1MA063-P106,2,3,2,1
H1972P1MA063,U1-H1972P1MA063-P108,3,4,1,1
H1972P1MA063,U1-H1972P1MA063-P111,14,15,6,1
H1972P2MA069,U1-H1972P2MA069-P054,26,27,3,1
H1972P2MA069,U1-H1972P2MA069-P096,14,15,1,1
H1972P2MA069,U1-H1972P2MA069-P109,7,8,2,1
H1972P3MA076,U1-H1972P3MA076-P039,21,24,12 13 16,3
H1972P3MA076,U1-H1972P3MA076-P051,10,11,3,1
H1972P3MA076,U1-H1972P3MA076-P052,15,16,12,1
H1972P3MA076,U1-H1972P3MA076-P060,15,16,1,1
H1972P3MA076,U1-H1972P3MA076-P080,8,9,4,1
H1972P3MA076,U1-H1972P3MA076-P095,21,22,18,1
H1972P3MA076,U1-H1972P3MA076-P097,30,31,12,1
H1972P3MA076,U1-H1972P3MA076-P133,8,9,8,1
H1972P3MA076,U1-H1972P3MA076-P151,12,13,12,1
H1972P3MA076,U1-H1972P3MA076-P154,12,13,6,1
H1972P3MA076,U1-H1972P3MA076-P180,22,23,19,1
H1972P3MA076,U1-H1972P3MA076-P184,14,15,6,1
H1972P3MA076,U1-H1972P3MA076-P213,24,28,6 7 12 23,4
H1972P3MA076,U1-H1972P3MA076-P215,10,11,7,1
H1972P3MA076,U1-H1972P3MA076-P283,18,19,11,1
H1972P4MA083,U1-H1972P4MA083-P013,20,21,20,1
H1972P4MA083,U1-H1972P4MA083-P023,13,14,13,1
H1972P4MA083,U1-H1972P4MA083-P041,17,18,3,1
H1972P4MA083,U1-H1972P4MA083-P046,15,16,13,1
H1972P4MA083,U1-H1972P4MA083-P047,22,24,3 18,2
H1972P4MA083,U1-H1972P4MA083-P051,17,18,1,1
H1972P4MA083,U1-H1972P4MA083-P052,19,20,11,1
H1972P4MA083,U1-H1972P4MA083-P054,18,19,7,1
H1972P4MA083,U1-H1972P4MA083-P061,16,17,1,1
H1972P4MA083,U1-H1972P4MA083-P067,16,17,7,1
H1972P4MA083,U1-H1972P4MA083-P075,12,13,7,1
H1972P4MA083,U1-H1972P4MA083-P085,10,11,1,1
H1972P4MA083,U1-H1972P4MA083-P086,12,13,8,1
H1972P4MA083,U1-H1972P4MA083-P093,23,24,6,1
H1972P4MA083,U1-H1972P4MA083-P095,10,11,3,1
H1972P4MA083,U1-H1972P4MA083-P096,20,21,13,1
H1972P4MA083,U1-H1972P4MA083-P101,10,11,5,1
H1972P4MA083,U1-H1972P4MA083-P110,19,22,11 15 17,3
H1972P4MA083,U1-H1972P4MA083-P111,16,17,14,1
H1972P4MA083,U1-H1972P4MA083-P123,22,23,20,1
H1972P4MA083,U1-H1972P4MA083-P138,29,30,3,1
H1972P4MA083,U1-H1972P4MA083-P195,4,5,4,1
H1972P4MA083,U1-H1972P4MA083-P199,14,15,5,1
H1972P5MA089,U1-H1972P5MA089-P035,17,18,17,1
H1972P5MA089,U1-H1972P5MA089-P067,13,14,13,1
H1972P5MA089,U1-H1972P5MA089-P076,15,16,15,1
H1972P5MA089,U1-H1972P5MA089-P080,20,21,6,1
H1972P5MA089,U1-H1972P5MA089-P087,15,16,1,1
H1972P5MA089,U1-H1972P5MA089-P133,7,8,1,1
H1972P5MA089,U1-H1972P5MA089-P150,17,18,5,1
H1972P5MA089,U1-H1972P5MA089-P157,14,15,7,1
H1972P5MA089,U1-H1972P5MA089-P168,8,9,5,1
H1972P5MA089,U1-H1972P5MA089-P174,8,9,6,1
H1972P5MA089,U1-H1972P5MA089-P175,69,82,16 18 25 26 27 36 42 52 57 67 70 78 81,13
H1972P5MA089,U1-H1972P5MA089-P186,10,11,8,1
H1972P6MA094,U1-H1972P6MA094-P020,19,20,7,1
H1972P6MA094,U1-H1972P6MA094-P073,18,19,18,1
H1972P6MA094,U1-H1972P6MA094-P084,14,15,8,1
H1972P6MA094,U1-H1972P6MA094-P098,12,13,8,1
H1972P6MA094,U1-H1972P6MA094-P124,14,15,2,1
H1972P6MA094,U1-H1972P6MA094-P143,22,23,13,1
H1972P6MA094,U1-H1972P6MA094-P145,16,17,1,1
H1972P6MA094,U1-H1972P6MA094-P149,13,14,12,1
H1972P6MA094,U1-H1972P6MA094-P151,17,19,15 18,2
H1972P6MA094,U1-H1972P6MA094-P188,15,16,10,1
H1982P3MA106,U1-H1982P3MA106-P013,12,13,4,1
H1982P3MA106,U1-H1982P3MA106-P019,13,14,7,1
H1982P3MA106,U1-H1982P3MA106-P023,14,15,1,1
H1982P3MA106,U1-H1982P3MA106-P024,12,14,7 12,2
H1982P3MA106,U1-H1982P3MA106-P025,21,23,1 21,2
H1982P3MA106,U1-H1982P3MA106-P053,8,9,8,1
H1982P3MA106,U1-H1982P3MA106-P085,16,18,6 14,2
H1982P3MA106,U1-H1982P3MA106-P087,4,5,1,1
H1982P3MA106,U1-H1982P3MA106-P088,7,8,4,1
H1982P3MA106,U1-H1982P3MA106-P093,8,9,4,1
H1982P3MA106,U1-H1982P3MA106-P114,19,20,4,1
H1982P3MA106,U1-H1982P3MA106-P129,15,16,15,1
H1982P3MA106,U1-H1982P3MA106-P231,16,17,5,1
H1988P3MA118,U1-H1988P3MA118-P007,22,23,21,1
H1988P3MA118,U1-H1988P3MA118-P021,10,11,3,1
H1988P3MA118,U1-H1988P3MA118-P025,14,15,1,1
H1988P3MA118,U1-H1988P3MA118-P032,13,14,13,1
H1988P3MA118,U1-H1988P3MA118-P087,11,12,6,1
H1988P3MA118,U1-H1988P3MA118-P089,4,5,1,1
H1988P3MA118,U1-H1988P3MA118-P090,7,8,4,1
