ocr_version,viewer_key,book_id,catalog_generation,grade_code,pages,sha_verified,text_detected,no_text_detected,unresolved,recognized_words,ocr_chars
LTMD_U1_W2_MATH_OCR_0.2,H1972P1MA063,U1-H1972P1MA063,1972,1,146,146,146,0,0,3598,18961
LTMD_U1_W2_MATH_OCR_0.2,H1972P2MA069,U1-H1972P2MA069,1972,2,138,138,135,3,0,7101,48355
LTMD_U1_W2_MATH_OCR_0.2,H1972P3MA076,U1-H1972P3MA076,1972,3,304,304,294,10,0,27224,145834
LTMD_U1_W2_MATH_OCR_0.2,H1972P4MA083,U1-H1972P4MA083,1972,4,258,258,256,2,0,27832,170040
LTMD_U1_W2_MATH_OCR_0.2,H1972P5MA089,U1-H1972P5MA089,1972,5,304,304,287,17,0,23334,140109
LTMD_U1_W2_MATH_OCR_0.2,H1972P6MA094,U1-H1972P6MA094,1972,6,194,194,193,1,0,33174,217321
LTMD_U1_W2_MATH_OCR_0.2,H1982P3MA106,U1-H1982P3MA106,1982,3,272,272,270,2,0,17181,105817
LTMD_U1_W2_MATH_OCR_0.2,H1988P3MA118,U1-H1988P3MA118,1988,3,274,274,269,5,0,17816,112424
LTMD_U1_W2_MATH_OCR_0.2,H1988P4MA122,U1-H1988P4MA122,1988,4,258,258,253,5,0,27991,164294
LTMD_U1_W2_MATH_OCR_0.2,H1988P5MA127,U1-H1988P5MA127,1988,5,288,288,284,4,0,23837,129362
LTMD_U1_W2_MATH_OCR_0.2,H1988P6MA134,U1-H1988P6MA134,1988,6,194,194,194,0,0,33706,161118
LTMD_U1_W2_MATH_OCR_0.2,H1993P1MA142,U1-H1993P1MA142,1993,1,66,66,57,9,0,3470,58406
LTMD_U1_W2_MATH_OCR_0.2,H1993P1MA143,U1-H1993P1MA143,1993,1,146,146,144,2,0,4792,23089
LTMD_U1_W2_MATH_OCR_0.2,H1993P2MA151,U1-H1993P2MA151,1993,2,176,176,176,0,0,17679,95236
LTMD_U1_W2_MATH_OCR_0.2,H1993P2MA152,U1-H1993P2MA152,1993,2,66,66,60,6,0,2583,30725
LTMD_U1_W2_MATH_OCR_0.2,H1993P3MA189,U1-H1993P3MA189,1993,3,210,210,210,0,0,26848,146384
LTMD_U1_W2_MATH_OCR_0.2,H1993P4MA199,U1-H1993P4MA199,1993,4,210,210,209,1,0,27819,163068
LTMD_U1_W2_MATH_OCR_0.2,H1993P5MA207,U1-H1993P5MA207,1993,5,210,210,208,2,0,31333,155317
LTMD_U1_W2_MATH_OCR_0.2,H1993P5MA208,U1-H1993P5MA208,1993,5,210,210,209,1,0,28952,159326
LTMD_U1_W2_MATH_OCR_0.2,H1993P6MA247,U1-H1993P6MA247,1993,6,210,210,207,3,0,36042,273102
LTMD_U1_W2_MATH_OCR_0.2,H1993P6MA248,U1-H1993P6MA248,1993,6,210,210,210,0,0,29839,208813
LTMD_U1_W2_MATH_OCR_0.2,H2008P1MA255,U1-H2008P1MA255,2008,1,242,242,240,2,0,17873,117669
LTMD_U1_W2_MATH_OCR_0.2,H2008P2MA262,U1-H2008P2MA262,2008,2,170,170,168,2,0,13472,93373
LTMD_U1_W2_MATH_OCR_0.2,H2008P3MA267,U1-H2008P3MA267,2008,3,226,226,224,2,0,30113,185269
LTMD_U1_W2_MATH_OCR_0.2,H2008P4MA276,U1-H2008P4MA276,2008,4,209,209,208,1,0,27773,162867
LTMD_U1_W2_MATH_OCR_0.2,H2008P6MA291,U1-H2008P6MA291,2008,6,194,194,193,1,0,28467,144098
LTMD_U1_W2_MATH_OCR_0.2,H2008P6MA292,U1-H2008P6MA292,2008,6,178,178,176,2,0,17486,118345
LTMD_U1_W2_MATH_OCR_0.2,H2011P1MA299,U1-H2011P1MA299,2011,1,185,185,183,2,0,12370,72569
LTMD_U1_W2_MATH_OCR_0.2,H2011P2MA306,U1-H2011P2MA306,2011,2,177,177,169,8,0,14736,108650
LTMD_U1_W2_MATH_OCR_0.2,H2011P3MA313,U1-H2011P3MA313,2011,3,185,185,185,0,0,23694,146556
LTMD_U1_W2_MATH_OCR_0.2,H2011P4MA324,U1-H2011P4MA324,2011,4,201,201,194,7,0,24462,189017
LTMD_U1_W2_MATH_OCR_0.2,H2011P5MA334,U1-H2011P5MA334,2011,5,193,193,192,1,0,25355,136625
LTMD_U1_W2_MATH_OCR_0.2,H2011P6MA343,U1-H2011P6MA343,2011,6,193,193,192,1,0,27214,170046
LTMD_U1_W2_MATH_OCR_0.2,H2014P1DMA,U1-H2014P1DMA,2014,1,145,145,144,1,0,13901,73542
LTMD_U1_W2_MATH_OCR_0.2,H2014P1DMM,U1-H2014P1DMM,2014,1,169,169,165,4,0,29974,156145
LTMD_U1_W2_MATH_OCR_0.2,H2014P2DMA,U1-H2014P2DMA,2014,2,201,201,200,1,0,20515,114087
LTMD_U1_W2_MATH_OCR_0.2,H2014P2DMM,U1-H2014P2DMM,2014,2,193,193,191,2,0,31192,158257
LTMD_U1_W2_MATH_OCR_0.2,H2014P3DMA,U1-H2014P3DMA,2014,3,225,225,223,2,0,20974,118188
LTMD_U1_W2_MATH_OCR_0.2,H2014P3DMM,U1-H2014P3DMM,2014,3,257,257,255,2,0,43495,230565
LTMD_U1_W2_MATH_OCR_0.2,H2014P4DMA,U1-H2014P4DMA,2014,4,257,257,256,1,0,23789,134979
LTMD_U1_W2_MATH_OCR_0.2,H2014P4DMM,U1-H2014P4DMM,2014,4,337,337,337,0,0,61197,320284
LTMD_U1_W2_MATH_OCR_0.2,H2014P5DMA,U1-H2014P5DMA,2014,5,225,225,225,0,0,21258,116935
LTMD_U1_W2_MATH_OCR_0.2,H2014P5DMM,U1-H2014P5DMM,2014,5,297,297,297,0,0,53901,268176
LTMD_U1_W2_MATH_OCR_0.2,H2014P6DMA,U1-H2014P6DMA,2014,6,185,185,184,1,0,17493,109743
LTMD_U1_W2_MATH_OCR_0.2,H2014P6DMM,U1-H2014P6DMM,2014,6,257,257,256,1,0,46076,267863
LTMD_U1_W2_MATH_OCR_0.2,H2018P1MAA,U1-H2018P1MAA,2018,1,225,225,225,0,0,17804,99964
LTMD_U1_W2_MATH_OCR_0.2,H2018P1MAM,U1-H2018P1MAM,2018,1,177,177,177,0,0,72686,423031
LTMD_U1_W2_MATH_OCR_0.2,H2018P2MAA,U1-H2018P2MAA,2018,2,225,225,219,6,0,22457,107577
LTMD_U1_W2_MATH_OCR_0.2,H2018P2MAM,U1-H2018P2MAM,2018,2,177,177,177,0,0,77248,414593
LTMD_U1_W2_MATH_OCR_0.2,H2019P1MAA,U1-H2019P1MAA,2019,1,225,225,224,1,0,17804,95508
LTMD_U1_W2_MATH_OCR_0.2,H2019P1MAM,U1-H2019P1MAM,2019,1,177,177,177,0,0,72606,407792
