architecture_version,book_id,catalog_generation,viewer_url,probe_status,html_200,x_js_present,x_js_ag_pages_signal,same_origin_script_count,standard_dynamic_architecture
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1972P1MA063,1972,https://historico.conaliteg.gob.mx/H1972P1MA063.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1972P2MA069,1972,https://historico.conaliteg.gob.mx/H1972P2MA069.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1972P3MA076,1972,https://historico.conaliteg.gob.mx/H1972P3MA076.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1972P4MA083,1972,https://historico.conaliteg.gob.mx/H1972P4MA083.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1972P5MA089,1972,https://historico.conaliteg.gob.mx/H1972P5MA089.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1972P6MA094,1972,https://historico.conaliteg.gob.mx/H1972P6MA094.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1982P3MA106,1982,https://historico.conaliteg.gob.mx/H1982P3MA106.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1982P4MA388,1982,https://historico.conaliteg.gob.mx/H1982P4MA388.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1982P5MA394,1982,https://historico.conaliteg.gob.mx/H1982P5MA394.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1982P6MA399,1982,https://historico.conaliteg.gob.mx/H1982P6MA399.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1988P3MA118,1988,https://historico.conaliteg.gob.mx/H1988P3MA118.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1988P4MA122,1988,https://historico.conaliteg.gob.mx/H1988P4MA122.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1988P5MA127,1988,https://historico.conaliteg.gob.mx/H1988P5MA127.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1988P6MA134,1988,https://historico.conaliteg.gob.mx/H1988P6MA134.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1993P1MA142,1993,https://historico.conaliteg.gob.mx/H1993P1MA142.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1993P1MA143,1993,https://historico.conaliteg.gob.mx/H1993P1MA143.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1993P2MA151,1993,https://historico.conaliteg.gob.mx/H1993P2MA151.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1993P2MA152,1993,https://historico.conaliteg.gob.mx/H1993P2MA152.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1993P3MA189,1993,https://historico.conaliteg.gob.mx/H1993P3MA189.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1993P4MA199,1993,https://historico.conaliteg.gob.mx/H1993P4MA199.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1993P5MA207,1993,https://historico.conaliteg.gob.mx/H1993P5MA207.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1993P5MA208,1993,https://historico.conaliteg.gob.mx/H1993P5MA208.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1993P6MA247,1993,https://historico.conaliteg.gob.mx/H1993P6MA247.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H1993P6MA248,1993,https://historico.conaliteg.gob.mx/H1993P6MA248.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2008P1MA255,2008,https://historico.conaliteg.gob.mx/H2008P1MA255.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2008P2MA262,2008,https://historico.conaliteg.gob.mx/H2008P2MA262.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2008P3MA267,2008,https://historico.conaliteg.gob.mx/H2008P3MA267.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2008P4MA276,2008,https://historico.conaliteg.gob.mx/H2008P4MA276.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2008P6MA291,2008,https://historico.conaliteg.gob.mx/H2008P6MA291.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2008P6MA292,2008,https://historico.conaliteg.gob.mx/H2008P6MA292.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2011P1MA299,2011,https://historico.conaliteg.gob.mx/H2011P1MA299.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2011P2MA306,2011,https://historico.conaliteg.gob.mx/H2011P2MA306.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2011P3MA313,2011,https://historico.conaliteg.gob.mx/H2011P3MA313.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2011P4MA324,2011,https://historico.conaliteg.gob.mx/H2011P4MA324.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2011P5MA334,2011,https://historico.conaliteg.gob.mx/H2011P5MA334.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2011P6MA343,2011,https://historico.conaliteg.gob.mx/H2011P6MA343.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2014P1DMA,2014,https://historico.conaliteg.gob.mx/H2014P1DMA.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2014P1DMM,2014,https://historico.conaliteg.gob.mx/H2014P1DMM.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2014P2DMA,2014,https://historico.conaliteg.gob.mx/H2014P2DMA.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2014P2DMM,2014,https://historico.conaliteg.gob.mx/H2014P2DMM.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2014P3DMA,2014,https://historico.conaliteg.gob.mx/H2014P3DMA.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2014P3DMM,2014,https://historico.conaliteg.gob.mx/H2014P3DMM.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2014P4DMA,2014,https://historico.conaliteg.gob.mx/H2014P4DMA.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2014P4DMM,2014,https://historico.conaliteg.gob.mx/H2014P4DMM.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2014P5DMA,2014,https://historico.conaliteg.gob.mx/H2014P5DMA.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2014P5DMM,2014,https://historico.conaliteg.gob.mx/H2014P5DMM.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2014P6DMA,2014,https://historico.conaliteg.gob.mx/H2014P6DMA.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2014P6DMM,2014,https://historico.conaliteg.gob.mx/H2014P6DMM.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2018P1MAA,2018,https://historico.conaliteg.gob.mx/H2018P1MAA.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2018P1MAM,2018,https://historico.conaliteg.gob.mx/H2018P1MAM.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2018P2MAA,2018,https://historico.conaliteg.gob.mx/H2018P2MAA.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2018P2MAM,2018,https://historico.conaliteg.gob.mx/H2018P2MAM.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2018P3DMA,2018,https://historico.conaliteg.gob.mx/H2018P3DMA.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2018P4DMA,2018,https://historico.conaliteg.gob.mx/H2018P4DMA.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2018P5DMA,2018,https://historico.conaliteg.gob.mx/H2018P5DMA.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2018P6DMA,2018,https://historico.conaliteg.gob.mx/H2018P6DMA.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2019P1MAA,2019,https://historico.conaliteg.gob.mx/H2019P1MAA.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2019P1MAM,2019,https://historico.conaliteg.gob.mx/H2019P1MAM.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2019P2MAA,2019,https://historico.conaliteg.gob.mx/H2019P2MAA.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2019P2MAM,2019,https://historico.conaliteg.gob.mx/H2019P2MAM.htm,ok,1,1,1,5,1
LTMD_U1_W2_ARCHITECTURE_0.1,U1-H2019P3DMA,2019,https://historico.conaliteg.gob.mx/H2019P3DMA.htm,ok,1,1,1,5,1
