batch_plan_version,batch_id,batch_global_order,catalog_generation,batch_sequence,viewer_key,grade_code,title_core,declared_positions,batch_declared_positions,source_url
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1960-B01,1,1960,1,H1960P2ES003,2,MI CUADERNO DE TRABAJO Y ESCRITURA,219,479,https://historico.conaliteg.gob.mx/H1960P2ES003.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1960-B01,1,1960,2,H1960P3ES007,3,MI LIBRO DE LENGUA NACIONAL,131,479,https://historico.conaliteg.gob.mx/H1960P3ES007.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1960-B01,1,1960,3,H1960P4ES013,4,MI LIBRO DE LENGUA NACIONAL,129,479,https://historico.conaliteg.gob.mx/H1960P4ES013.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1966-B01,2,1966,1,H1966P1ES345,1,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,219,1542,https://historico.conaliteg.gob.mx/H1966P1ES345.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1966-B01,2,1966,2,H1966P2ES347,2,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,217,1542,https://historico.conaliteg.gob.mx/H1966P2ES347.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1966-B01,2,1966,3,H1966P3ES350,3,MI LIBRO DE LENGUA NACIONAL,131,1542,https://historico.conaliteg.gob.mx/H1966P3ES350.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1966-B01,2,1966,4,H1966P4ES358,4,MI LIBRO DE LENGUA NACIONAL,131,1542,https://historico.conaliteg.gob.mx/H1966P4ES358.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1966-B01,2,1966,5,H1966P5ES365,5,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,195,1542,https://historico.conaliteg.gob.mx/H1966P5ES365.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1966-B01,2,1966,6,H1966P5ES366,5,MI LIBRO DE LENGUA NACIONAL,211,1542,https://historico.conaliteg.gob.mx/H1966P5ES366.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1966-B01,2,1966,7,H1966P6ES376,6,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,195,1542,https://historico.conaliteg.gob.mx/H1966P6ES376.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1966-B01,2,1966,8,H1966P6ES377,6,MI LIBRO DE LENGUA NACIONAL,243,1542,https://historico.conaliteg.gob.mx/H1966P6ES377.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1972-B01,3,1972,1,H1972P1ES061,1,ESPAÑOL,225,2263,https://historico.conaliteg.gob.mx/H1972P1ES061.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1972-B01,3,1972,2,H1972P1ES062,1,ESPAÑOL RECORTABLE,195,2263,https://historico.conaliteg.gob.mx/H1972P1ES062.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1972-B01,3,1972,3,H1972P2ES066,2,ESPAÑOL,243,2263,https://historico.conaliteg.gob.mx/H1972P2ES066.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1972-B01,3,1972,4,H1972P2ES067,2,ESPAÑOL EJERCICIOS,147,2263,https://historico.conaliteg.gob.mx/H1972P2ES067.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1972-B01,3,1972,5,H1972P2ES068,2,ESPAÑOL LECTURA,169,2263,https://historico.conaliteg.gob.mx/H1972P2ES068.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1972-B01,3,1972,6,H1972P3ES073,3,ESPAÑOL,201,2263,https://historico.conaliteg.gob.mx/H1972P3ES073.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1972-B01,3,1972,7,H1972P3ES074,3,ESPAÑOL LECTURAS,111,2263,https://historico.conaliteg.gob.mx/H1972P3ES074.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1972-B01,3,1972,8,H1972P3ES075,3,ESPAÑOL EJERCICIOS Y LECTURAS,291,2263,https://historico.conaliteg.gob.mx/H1972P3ES075.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1972-B01,3,1972,9,H1972P4ES080,4,ESPAÑOL EJERCICIOS,227,2263,https://historico.conaliteg.gob.mx/H1972P4ES080.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1972-B01,3,1972,10,H1972P4ES081,4,ESPAÑOL LECTURAS,131,2263,https://historico.conaliteg.gob.mx/H1972P4ES081.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1972-B01,3,1972,11,H1972P4ES082,4,ESPAÑOL EJERCICIOS Y LECTURAS,323,2263,https://historico.conaliteg.gob.mx/H1972P4ES082.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1972-B02,4,1972,1,H1972P5ES086,5,ESPAÑOL EJERCICIOS,291,995,https://historico.conaliteg.gob.mx/H1972P5ES086.htm
