inventory_version,catalog_generation,viewer_count,declared_positions
LTMD_U1_W3_DECLARED_INVENTORY_0.1,1960,3,479
LTMD_U1_W3_DECLARED_INVENTORY_0.1,1966,8,1542
LTMD_U1_W3_DECLARED_INVENTORY_0.1,1972,16,3258
LTMD_U1_W3_DECLARED_INVENTORY_0.1,1982,11,2149
LTMD_U1_W3_DECLARED_INVENTORY_0.1,1988,8,1472
LTMD_U1_W3_DECLARED_INVENTORY_0.1,1993,21,3756
LTMD_U1_W3_DECLARED_INVENTORY_0.1,2008,9,1659
LTMD_U1_W3_DECLARED_INVENTORY_0.1,2011,12,2016
LTMD_U1_W3_DECLARED_INVENTORY_0.1,2014,14,2723
LTMD_U1_W3_DECLARED_INVENTORY_0.1,2018,14,2420
LTMD_U1_W3_DECLARED_INVENTORY_0.1,2019,14,2420
LTMD_U1_W3_DECLARED_INVENTORY_0.1,ALL,130,23894
