state_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,asset_state,next_action
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,standard_x_js,H1960P2ES003,219,218,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1960P3ES007,1960,3,MI LIBRO DE LENGUA NACIONAL,standard_x_js,H1960P3ES007,131,130,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1960P4ES013,1960,4,MI LIBRO DE LENGUA NACIONAL,standard_x_js,H1960P4ES013,129,128,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1966P1ES345,1966,1,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,standard_x_js,H1966P1ES345,219,218,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1966P2ES347,1966,2,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,standard_x_js,H1966P2ES347,217,216,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1966P3ES350,1966,3,MI LIBRO DE LENGUA NACIONAL,standard_x_js,H1966P3ES350,131,130,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1966P4ES358,1966,4,MI LIBRO DE LENGUA NACIONAL,standard_x_js,H1966P4ES358,131,130,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1966P5ES365,1966,5,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,standard_x_js,H1966P5ES365,195,194,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1966P5ES366,1966,5,MI LIBRO DE LENGUA NACIONAL,standard_x_js,H1966P5ES366,211,210,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1966P6ES376,1966,6,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,standard_x_js,H1966P6ES376,195,194,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1966P6ES377,1966,6,MI LIBRO DE LENGUA NACIONAL,standard_x_js,H1966P6ES377,243,242,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1972P1ES061,1972,1,ESPAÑOL,standard_x_js,H1972P1ES061,225,224,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1972P1ES062,1972,1,ESPAÑOL RECORTABLE,standard_x_js,H1972P1ES062,195,194,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1972P2ES066,1972,2,ESPAÑOL,standard_x_js,H1972P2ES066,243,242,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1972P2ES067,1972,2,ESPAÑOL EJERCICIOS,standard_x_js,H1972P2ES067,147,146,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1972P2ES068,1972,2,ESPAÑOL LECTURA,standard_x_js,H1972P2ES068,169,168,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1972P3ES073,1972,3,ESPAÑOL,standard_x_js,H1972P3ES073,201,200,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1972P3ES074,1972,3,ESPAÑOL LECTURAS,standard_x_js,H1972P3ES074,111,110,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1972P3ES075,1972,3,ESPAÑOL EJERCICIOS Y LECTURAS,standard_x_js,H1972P3ES075,291,290,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1972P4ES080,1972,4,ESPAÑOL EJERCICIOS,standard_x_js,H1972P4ES080,227,226,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
