analysis_version,viewer_a,viewer_b,generation_a,generation_b,grade_a,grade_b,same_generation,same_grade,unique_units_a,unique_units_b,shared_unique_units,jaccard,containment_a_in_b,containment_b_in_a
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P1ESM,H2019P1ESM,2018,2019,1,1,0,1,4315,4285,3227,0.600596,0.747856,0.753092
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P2ESM,H2019P2ESM,2018,2019,2,2,0,1,3753,3723,2839,0.612249,0.756461,0.762557
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P4ES193,H2008P4ES271,1993,2008,4,4,0,1,2670,2670,2650,0.985130,0.992509,0.992509
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P5ES086,H1972P5ES087,1972,1972,5,5,1,1,3121,3120,2491,0.664267,0.798142,0.798397
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P3ES154,H2008P3ES265,1993,2008,3,3,0,1,2336,2319,2319,0.992723,0.992723,1.000000
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P4ES195,H2008P4ES272,1993,2008,4,4,0,1,2059,2059,2059,1.000000,1.000000,1.000000
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P6ESA,H2019P6ESA,2014,2019,6,6,0,1,2562,2520,1598,0.458668,0.623731,0.634127
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P4ES082,H1988P4ES121,1972,1988,4,4,0,1,3617,3719,1568,0.271845,0.433508,0.421619
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1982P3ES104,H1988P3ES116,1982,1988,3,3,0,1,1537,1541,1526,0.983247,0.992843,0.990266
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P5ESA,H2019P5ESA,2014,2019,5,5,0,1,2307,2213,1462,0.478090,0.633723,0.660642
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P2ESA,H2019P2ESA,2018,2019,2,2,0,1,2176,2133,1339,0.450842,0.615349,0.627754
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P3ES156,H2008P3ES266,1993,2008,3,3,0,1,1329,1321,1321,0.993980,0.993980,1.000000
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P3ESA,H2019P3ESA,2014,2019,3,3,0,1,1992,2035,1309,0.481604,0.657129,0.643243
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P4ES080,H1988P4ES121,1972,1988,4,4,0,1,2580,3719,1159,0.225486,0.449225,0.311643
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P3ES073,H1972P3ES075,1972,1972,3,3,1,1,2194,3146,1090,0.256471,0.496809,0.346472
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P4ES080,H1972P4ES082,1972,1972,4,4,1,1,2580,3617,1090,0.213433,0.422481,0.301355
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P4ESA,H2019P4ESA,2014,2019,4,4,0,1,1695,1650,1084,0.479434,0.639528,0.656970
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P1ESA,H2019P1ESA,2018,2019,1,1,0,1,1984,1940,1072,0.375877,0.540323,0.552577
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P6LEA,H2019P6LEA,2014,2019,6,6,0,1,1759,1731,998,0.400482,0.567368,0.576545
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1982P3ES105,H1988P3ES117,1982,1988,3,3,0,1,1052,1041,940,0.815265,0.893536,0.902978
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P5LEA,H2019P5LEA,2014,2019,5,5,0,1,1851,1862,909,0.324180,0.491086,0.488185
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2014P4LEA,H2019P4LEA,2014,2019,4,4,0,1,1378,1357,858,0.457112,0.622642,0.632277
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P5ES087,H1988P5ES125,1972,1988,5,5,0,1,3120,2159,755,0.166888,0.241987,0.349699
