segmenter_version,viewer_key,fragment_count,segmented_page_count,activity_candidate,assessment_candidate,experiment_candidate,expository_candidate,instruction_candidate,project_candidate,question_candidate,short_residual_candidate
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1960P2ES003,1925,166,5,0,1,197,247,0,125,1350
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1960P3ES007,1514,112,4,0,4,306,184,2,127,887
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1960P4ES013,1151,113,5,0,4,302,133,0,117,590
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1966P1ES345,793,110,0,0,0,17,36,0,27,713
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1966P2ES347,1872,166,5,0,1,198,243,0,121,1304
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1966P3ES350,1563,114,4,0,5,319,189,2,123,921
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1966P4ES358,1277,117,6,0,4,308,133,0,118,708
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1966P5ES365,2731,160,7,0,0,416,462,0,129,1717
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1966P5ES366,2152,194,11,0,6,660,205,0,118,1152
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1966P6ES376,2420,170,2,0,0,253,379,0,323,1463
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1966P6ES377,2415,219,23,0,7,631,257,2,236,1259
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1972P1ES061,863,100,0,0,0,70,20,0,61,712
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1972P1ES062,138,24,0,0,0,2,2,0,10,124
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1972P2ES066,1966,202,0,0,4,152,142,0,173,1495
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1972P2ES067,1299,127,3,0,1,88,115,0,149,943
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H1972P2ES068,2033,161,0,0,0,301,64,0,192,1476
