viewer_key,page_id,observed_fragment_count,max_sequence,missing_sequence_slots,missing_slot_count
H1960P2ES003,U1-H1960P2ES003-P009,16,18,10 14,2
H1960P2ES003,U1-H1960P2ES003-P014,21,22,21,1
H1960P2ES003,U1-H1960P2ES003-P028,13,14,10,1
H1960P2ES003,U1-H1960P2ES003-P040,20,24,1 3 8 17,4
H1960P2ES003,U1-H1960P2ES003-P042,18,19,10,1
H1960P2ES003,U1-H1960P2ES003-P090,43,44,43,1
H1960P2ES003,U1-H1960P2ES003-P105,18,19,8,1
H1960P2ES003,U1-H1960P2ES003-P119,42,43,7,1
H1960P2ES003,U1-H1960P2ES003-P131,4,5,3,1
H1960P2ES003,U1-H1960P2ES003-P164,8,9,5,1
H1960P2ES003,U1-H1960P2ES003-P180,3,4,1,1
H1960P2ES003,U1-H1960P2ES003-P185,9,10,4,1
H1960P2ES003,U1-H1960P2ES003-P187,13,14,1,1
H1960P2ES003,U1-H1960P2ES003-P211,14,15,2,1
H1960P3ES007,U1-H1960P3ES007-P013,7,8,1,1
H1960P3ES007,U1-H1960P3ES007-P063,10,11,10,1
H1960P4ES013,U1-H1960P4ES013-P052,10,11,8,1
H1960P4ES013,U1-H1960P4ES013-P112,15,16,8,1
H1960P4ES013,U1-H1960P4ES013-P114,18,19,1,1
H1960P4ES013,U1-H1960P4ES013-P124,12,13,1,1
H1966P1ES345,U1-H1966P1ES345-P105,26,27,18,1
H1966P1ES345,U1-H1966P1ES345-P146,5,6,3,1
H1966P2ES347,U1-H1966P2ES347-P007,19,20,19,1
H1966P2ES347,U1-H1966P2ES347-P012,18,19,17,1
H1966P2ES347,U1-H1966P2ES347-P013,19,20,18,1
H1966P2ES347,U1-H1966P2ES347-P018,21,22,20,1
H1966P2ES347,U1-H1966P2ES347-P026,9,10,7,1
H1966P2ES347,U1-H1966P2ES347-P034,22,23,1,1
H1966P2ES347,U1-H1966P2ES347-P038,19,20,16,1
H1966P2ES347,U1-H1966P2ES347-P042,18,19,17,1
H1966P2ES347,U1-H1966P2ES347-P094,9,10,5,1
H1966P2ES347,U1-H1966P2ES347-P104,18,19,17,1
H1966P2ES347,U1-H1966P2ES347-P150,13,14,13,1
H1966P2ES347,U1-H1966P2ES347-P187,3,4,1,1
H1966P3ES350,U1-H1966P3ES350-P019,17,18,1,1
H1966P3ES350,U1-H1966P3ES350-P076,16,17,2,1
H1966P4ES358,U1-H1966P4ES358-P020,5,6,1,1
H1966P4ES358,U1-H1966P4ES358-P030,9,10,1,1
H1966P4ES358,U1-H1966P4ES358-P069,15,16,2,1
H1966P4ES358,U1-H1966P4ES358-P092,11,12,1,1
H1966P5ES365,U1-H1966P5ES365-P021,19,20,14,1
H1966P5ES365,U1-H1966P5ES365-P039,72,73,71,1
H1966P5ES365,U1-H1966P5ES365-P059,14,15,2,1
H1966P5ES365,U1-H1966P5ES365-P063,14,15,11,1
