analysis_version,viewer_key,catalog_generation,grade_code,title_core,processing_mode,canonical_processing_viewer_key,inherited_from_canonical,canonical_fragment_occurrences,canonical_unique_text_units,persistent_internal_source_gaps
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,direct_canonical,H1960P2ES003,0,1925,1700,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1960P3ES007,1960,3,MI LIBRO DE LENGUA NACIONAL,direct_canonical,H1960P3ES007,0,1514,1449,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1960P4ES013,1960,4,MI LIBRO DE LENGUA NACIONAL,direct_canonical,H1960P4ES013,0,1151,1097,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P1ES345,1966,1,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,direct_canonical,H1966P1ES345,0,793,711,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P2ES347,1966,2,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,direct_canonical,H1966P2ES347,0,1872,1653,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P3ES350,1966,3,MI LIBRO DE LENGUA NACIONAL,direct_canonical,H1966P3ES350,0,1563,1496,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P4ES358,1966,4,MI LIBRO DE LENGUA NACIONAL,direct_canonical,H1966P4ES358,0,1277,1221,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P5ES365,1966,5,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,direct_canonical,H1966P5ES365,0,2731,2486,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P5ES366,1966,5,MI LIBRO DE LENGUA NACIONAL,direct_canonical,H1966P5ES366,0,2152,2059,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P6ES376,1966,6,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,direct_canonical,H1966P6ES376,0,2420,2181,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P6ES377,1966,6,MI LIBRO DE LENGUA NACIONAL,direct_canonical,H1966P6ES377,0,2415,2296,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P1ES061,1972,1,ESPAÑOL,direct_canonical,H1972P1ES061,0,863,810,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P1ES062,1972,1,ESPAÑOL RECORTABLE,direct_canonical,H1972P1ES062,0,138,134,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P2ES066,1972,2,ESPAÑOL,direct_canonical,H1972P2ES066,0,1966,1750,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P2ES067,1972,2,ESPAÑOL EJERCICIOS,direct_canonical,H1972P2ES067,0,1299,1216,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P2ES068,1972,2,ESPAÑOL LECTURA,direct_canonical,H1972P2ES068,0,2033,1934,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P3ES073,1972,3,ESPAÑOL,direct_canonical,H1972P3ES073,0,2361,2194,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P3ES074,1972,3,ESPAÑOL LECTURAS,direct_canonical,H1972P3ES074,0,1079,1060,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P3ES075,1972,3,ESPAÑOL EJERCICIOS Y LECTURAS,direct_canonical,H1972P3ES075,0,3371,3146,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P4ES080,1972,4,ESPAÑOL EJERCICIOS,direct_canonical,H1972P4ES080,0,2768,2580,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P4ES081,1972,4,ESPAÑOL LECTURAS,direct_canonical,H1972P4ES081,0,1246,1211,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P4ES082,1972,4,ESPAÑOL EJERCICIOS Y LECTURAS,direct_canonical,H1972P4ES082,0,3837,3617,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P5ES086,1972,5,ESPAÑOL EJERCICIOS,direct_canonical,H1972P5ES086,0,3314,3121,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P5ES087,1972,5,ESPAÑOL,direct_canonical,H1972P5ES087,0,3309,3120,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P5ES088,1972,5,ESPAÑOL LECTURAS,direct_canonical,H1972P5ES088,0,1298,1264,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P6ES092,1972,6,ESPAÑOL EJERCICIOS,direct_canonical,H1972P6ES092,0,2047,1948,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P6ES093,1972,6,ESPAÑOL LECTURAS,direct_canonical,H1972P6ES093,0,1254,1192,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1982P2ES100,1982,2,MI LIBRO LECTURAS,direct_canonical,H1982P2ES100,0,994,949,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1982P3ES104,1982,3,ESPAÑOL EJERCICIOS,direct_canonical,H1982P3ES104,0,1569,1537,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1982P3ES105,1982,3,ESPAÑOL LECTURAS,direct_canonical,H1982P3ES105,0,1088,1052,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1982P4ES385,1982,4,ESPAÑOL EJERCICIOS,exact_byte_alias,H1972P4ES080,1,2768,2580,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1982P4ES386,1982,4,ESPAÑOL LECTURAS,exact_byte_alias,H1972P4ES081,1,1246,1211,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1982P4ES387,1982,4,ESPAÑOL EJERCICIOS Y LECTURAS,exact_byte_alias,H1972P4ES082,1,3837,3617,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1982P5ES391,1982,5,ESPAÑOL EJERCICIOS,exact_byte_alias,H1972P5ES086,1,3314,3121,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1982P5ES392,1982,5,ESPAÑOL,exact_byte_alias,H1972P5ES087,1,3309,3120,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1982P5ES393,1982,5,ESPAÑOL LECTURAS,exact_byte_alias,H1972P5ES088,1,1298,1264,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1982P6ES397,1982,6,ESPAÑOL EJERCICIOS,exact_byte_alias,H1972P6ES092,1,2047,1948,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1982P6ES398,1982,6,ESPAÑOL LECTURAS,exact_byte_alias,H1972P6ES093,1,1254,1192,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1988P2ES114,1988,2,ESPAÑOL LECTURAS,direct_canonical,H1988P2ES114,0,959,918,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1988P3ES116,1988,3,ESPAÑOL EJERCICIOS,direct_canonical,H1988P3ES116,0,1573,1541,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1988P3ES117,1988,3,ESPAÑOL LECTURA,direct_canonical,H1988P3ES117,0,1076,1041,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1988P4ES121,1988,4,"ESPAÑOL, EJERCICIOS Y LECTURAS",direct_canonical,H1988P4ES121,0,3973,3719,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1988P5ES125,1988,5,ESPAÑOL EJERCICIOS,direct_canonical,H1988P5ES125,0,2296,2159,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1988P5ES126,1988,5,ESPAÑOL LECTURA,direct_canonical,H1988P5ES126,0,1177,1145,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1988P6ES131,1988,6,ESPAÑOL EJERCICIOS,direct_canonical,H1988P6ES131,0,2831,2644,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1988P6ES132,1988,6,ESPAN?OL LECTURAS,direct_canonical,H1988P6ES132,0,1370,1287,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P1ES135,1993,1,Español actividades,direct_canonical,H1993P1ES135,0,1735,1623,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P1ES136,1993,1,Español recortable,direct_canonical,H1993P1ES136,0,138,121,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P1ES137,1993,1,Español recortable,direct_canonical,H1993P1ES137,0,79,72,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P1ES138,1993,1,Español Lecturas,direct_canonical,H1993P1ES138,0,439,427,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P1ES139,1993,1,Español lecturas,direct_canonical,H1993P1ES139,0,1108,1059,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P2ES144,1993,2,Español Actividades,direct_canonical,H1993P2ES144,0,1782,1672,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P2ES145,1993,2,Español Recortable,direct_canonical,H1993P2ES145,0,203,153,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P2ES146,1993,2,Español,direct_canonical,H1993P2ES146,0,1802,1714,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P2ES147,1993,2,Español Lecturas,direct_canonical,H1993P2ES147,0,2121,2100,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P2ES148,1993,2,Español Lecturas,direct_canonical,H1993P2ES148,0,1044,989,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P3ES154,1993,3,Español Actividades,direct_canonical,H1993P3ES154,0,2707,2336,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P3ES155,1993,3,Español Lecturas,direct_canonical,H1993P3ES155,0,908,869,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P3ES156,1993,3,Español Lecturas,direct_canonical,H1993P3ES156,0,1437,1329,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P3ES400,1993,3,Español,direct_canonical,H1993P3ES400,0,1684,1644,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P4ES193,1993,4,Español,partial_canonical_explicit_gap,H1993P4ES193,0,2828,2670,1
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P4ES194,1993,4,Español Lecturas,direct_canonical,H1993P4ES194,0,1120,1088,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P4ES195,1993,4,Español Lecturas,direct_canonical,H1993P4ES195,0,2129,2059,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P5ES201,1993,5,Español,direct_canonical,H1993P5ES201,0,3483,3341,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P5ES202,1993,5,Español Lecturas,direct_canonical,H1993P5ES202,0,1191,1159,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P6ES211,1993,6,Español,direct_canonical,H1993P6ES211,0,3852,3686,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P6ES212,1993,6,Español Lecturas,direct_canonical,H1993P6ES212,0,1364,1297,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2008P1ES253,2008,1,ESPAÑOL 1er GRADO,direct_canonical,H2008P1ES253,0,1437,1256,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2008P1ES254,2008,1,ESPAÑOL RECORTABLE,direct_canonical,H2008P1ES254,0,39,39,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2008P2ES261,2008,2,ESPAÑOL,direct_canonical,H2008P2ES261,0,2376,2146,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2008P3ES265,2008,3,ESPAÑOL ACTIVIDADES,partial_canonical_explicit_gap,H2008P3ES265,0,2687,2319,1
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2008P3ES266,2008,3,ESPAÑOL LECTURAS,partial_canonical_explicit_gap,H2008P3ES266,0,1427,1321,1
