ocr_version,viewer_key,catalog_generation,grade_code,title_core,processing_mode,persistent_internal_source_gaps,pages,sha_verified,text_detected,no_text_detected,unresolved,recognized_words,ocr_chars
LTMD_U1_W3_SPANISH_OCR_0.1,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,direct_canonical,0,218,218,218,0,0,17003,105406
LTMD_U1_W3_SPANISH_OCR_0.1,H1960P3ES007,1960,3,MI LIBRO DE LENGUA NACIONAL,direct_canonical,0,130,130,129,1,0,21737,138845
LTMD_U1_W3_SPANISH_OCR_0.1,H1960P4ES013,1960,4,MI LIBRO DE LENGUA NACIONAL,direct_canonical,0,128,128,128,0,0,21940,151610
LTMD_U1_W3_SPANISH_OCR_0.1,H1966P1ES345,1966,1,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,direct_canonical,0,218,218,215,3,0,5598,22411
LTMD_U1_W3_SPANISH_OCR_0.1,H1966P2ES347,1966,2,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,direct_canonical,0,216,216,216,0,0,16734,100713
LTMD_U1_W3_SPANISH_OCR_0.1,H1966P3ES350,1966,3,MI LIBRO DE LENGUA NACIONAL,direct_canonical,0,130,130,129,1,0,22358,136922
LTMD_U1_W3_SPANISH_OCR_0.1,H1966P4ES358,1966,4,MI LIBRO DE LENGUA NACIONAL,direct_canonical,0,130,130,130,0,0,22899,119737
LTMD_U1_W3_SPANISH_OCR_0.1,H1966P5ES365,1966,5,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,direct_canonical,0,194,194,194,0,0,34037,255404
LTMD_U1_W3_SPANISH_OCR_0.1,H1966P5ES366,1966,5,MI LIBRO DE LENGUA NACIONAL,direct_canonical,0,210,210,210,0,0,45521,355156
LTMD_U1_W3_SPANISH_OCR_0.1,H1966P6ES376,1966,6,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,direct_canonical,0,194,194,194,0,0,22881,131642
LTMD_U1_W3_SPANISH_OCR_0.1,H1966P6ES377,1966,6,MI LIBRO DE LENGUA NACIONAL,direct_canonical,0,242,242,242,0,0,50948,310343
LTMD_U1_W3_SPANISH_OCR_0.1,H1972P1ES061,1972,1,ESPAÑOL,direct_canonical,0,224,224,208,16,0,7904,38984
LTMD_U1_W3_SPANISH_OCR_0.1,H1972P1ES062,1972,1,ESPAÑOL RECORTABLE,direct_canonical,0,194,194,191,3,0,10734,21157
LTMD_U1_W3_SPANISH_OCR_0.1,H1972P2ES066,1972,2,ESPAÑOL,direct_canonical,0,242,242,240,2,0,13237,62128
LTMD_U1_W3_SPANISH_OCR_0.1,H1972P2ES067,1972,2,ESPAÑOL EJERCICIOS,direct_canonical,0,146,146,145,1,0,9099,40480
LTMD_U1_W3_SPANISH_OCR_0.1,H1972P2ES068,1972,2,ESPAÑOL LECTURA,direct_canonical,0,168,168,165,3,0,18929,83777
LTMD_U1_W3_SPANISH_OCR_0.1,H1972P3ES073,1972,3,ESPAÑOL,direct_canonical,0,200,200,200,0,0,18701,122800
LTMD_U1_W3_SPANISH_OCR_0.1,H1972P3ES074,1972,3,ESPAÑOL LECTURAS,direct_canonical,0,110,110,109,1,0,11813,62164
LTMD_U1_W3_SPANISH_OCR_0.1,H1972P3ES075,1972,3,ESPAÑOL EJERCICIOS Y LECTURAS,direct_canonical,0,290,290,288,2,0,29309,157470
LTMD_U1_W3_SPANISH_OCR_0.1,H1972P4ES080,1972,4,ESPAÑOL EJERCICIOS,direct_canonical,0,226,226,223,3,0,27448,157519
LTMD_U1_W3_SPANISH_OCR_0.1,H1972P4ES081,1972,4,ESPAÑOL LECTURAS,direct_canonical,0,130,130,130,0,0,16670,85756
LTMD_U1_W3_SPANISH_OCR_0.1,H1972P4ES082,1972,4,ESPAÑOL EJERCICIOS Y LECTURAS,direct_canonical,0,322,322,322,0,0,42397,251838
LTMD_U1_W3_SPANISH_OCR_0.1,H1972P5ES086,1972,5,ESPAÑOL EJERCICIOS,direct_canonical,0,290,290,289,1,0,33717,200602
LTMD_U1_W3_SPANISH_OCR_0.1,H1972P5ES087,1972,5,ESPAÑOL,direct_canonical,0,290,290,290,0,0,33860,187819
LTMD_U1_W3_SPANISH_OCR_0.1,H1972P5ES088,1972,5,ESPAÑOL LECTURAS,direct_canonical,0,128,128,128,0,0,18862,107439
LTMD_U1_W3_SPANISH_OCR_0.1,H1972P6ES092,1972,6,ESPAÑOL EJERCICIOS,direct_canonical,0,178,178,177,1,0,23092,127288
LTMD_U1_W3_SPANISH_OCR_0.1,H1972P6ES093,1972,6,ESPAÑOL LECTURAS,direct_canonical,0,104,104,103,1,0,18427,104901
LTMD_U1_W3_SPANISH_OCR_0.1,H1982P2ES100,1982,2,MI LIBRO LECTURAS,direct_canonical,0,146,146,143,3,0,9768,94232
LTMD_U1_W3_SPANISH_OCR_0.1,H1982P3ES104,1982,3,ESPAÑOL EJERCICIOS,direct_canonical,0,210,210,205,5,0,16608,120790
LTMD_U1_W3_SPANISH_OCR_0.1,H1982P3ES105,1982,3,ESPAÑOL LECTURAS,direct_canonical,0,114,114,113,1,0,11767,80497
LTMD_U1_W3_SPANISH_OCR_0.1,H1988P2ES114,1988,2,ESPAÑOL LECTURAS,direct_canonical,0,144,144,143,1,0,10212,74537
LTMD_U1_W3_SPANISH_OCR_0.1,H1988P3ES116,1988,3,ESPAÑOL EJERCICIOS,direct_canonical,0,210,210,204,6,0,16600,112689
LTMD_U1_W3_SPANISH_OCR_0.1,H1988P3ES117,1988,3,ESPAÑOL LECTURA,direct_canonical,0,114,114,113,1,0,11730,93062
LTMD_U1_W3_SPANISH_OCR_0.1,H1988P4ES121,1988,4,"ESPAÑOL, EJERCICIOS Y LECTURAS",direct_canonical,0,320,320,319,1,0,42163,226091
LTMD_U1_W3_SPANISH_OCR_0.1,H1988P5ES125,1988,5,ESPAÑOL EJERCICIOS,direct_canonical,0,194,194,194,0,0,23888,140057
LTMD_U1_W3_SPANISH_OCR_0.1,H1988P5ES126,1988,5,ESPAÑOL LECTURA,direct_canonical,0,130,130,129,1,0,17094,95299
LTMD_U1_W3_SPANISH_OCR_0.1,H1988P6ES131,1988,6,ESPAÑOL EJERCICIOS,direct_canonical,0,238,238,238,0,0,37409,257419
LTMD_U1_W3_SPANISH_OCR_0.1,H1988P6ES132,1988,6,ESPAN?OL LECTURAS,direct_canonical,0,114,114,112,2,0,18918,119204
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P1ES135,1993,1,Español actividades,direct_canonical,0,226,226,226,0,0,11129,53352
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P1ES136,1993,1,Español recortable,direct_canonical,0,146,146,143,3,0,6002,48779
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P1ES137,1993,1,Español recortable,direct_canonical,0,82,82,81,1,0,2896,18797
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P1ES138,1993,1,Español Lecturas,direct_canonical,0,66,66,66,0,0,4178,23712
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P1ES139,1993,1,Español lecturas,direct_canonical,0,259,259,259,0,0,10858,54233
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P2ES144,1993,2,Español Actividades,direct_canonical,0,202,202,201,1,0,13087,68426
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P2ES145,1993,2,Español Recortable,direct_canonical,0,122,122,110,12,0,7419,52853
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P2ES146,1993,2,Español,direct_canonical,0,226,226,223,3,0,17305,90947
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P2ES147,1993,2,Español Lecturas,direct_canonical,0,258,258,257,1,0,24267,220141
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P2ES148,1993,2,Español Lecturas,direct_canonical,0,146,146,144,2,0,10522,48803
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P3ES154,1993,3,Español Actividades,direct_canonical,0,210,210,209,1,0,24944,134728
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P3ES155,1993,3,Español Lecturas,direct_canonical,0,114,114,114,0,0,11485,71678
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P3ES156,1993,3,Español Lecturas,direct_canonical,0,226,226,223,3,0,16464,100414
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P3ES400,1993,3,Español,direct_canonical,0,178,178,178,0,0,20491,230061
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P4ES193,1993,4,Español,partial_canonical_explicit_gap,1,237,237,236,1,0,28168,206758
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P4ES194,1993,4,Español Lecturas,direct_canonical,0,114,114,114,0,0,15665,73090
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P4ES195,1993,4,Español Lecturas,direct_canonical,0,258,258,258,0,0,33745,197694
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P5ES201,1993,5,Español,direct_canonical,0,210,210,209,1,0,41060,347651
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P5ES202,1993,5,Español Lecturas,direct_canonical,0,130,130,127,3,0,17513,103397
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P6ES211,1993,6,Español,direct_canonical,0,210,210,208,2,0,45842,526828
LTMD_U1_W3_SPANISH_OCR_0.1,H1993P6ES212,1993,6,Español Lecturas,direct_canonical,0,114,114,114,0,0,19001,96355
LTMD_U1_W3_SPANISH_OCR_0.1,H2008P1ES253,2008,1,ESPAÑOL 1er GRADO,direct_canonical,0,146,146,146,0,0,14490,94801
LTMD_U1_W3_SPANISH_OCR_0.1,H2008P1ES254,2008,1,ESPAÑOL RECORTABLE,direct_canonical,0,34,34,32,2,0,1055,4843
LTMD_U1_W3_SPANISH_OCR_0.1,H2008P2ES261,2008,2,ESPAÑOL,direct_canonical,0,218,218,216,2,0,25812,208244
