viewer_key,n_pages,textual,mixed_text_image,visual_only,front_matter,toc_or_navigation,bibliography_or_credits,unknown
H1960P2ES003,218,41,125,22,0,2,2,26
H1960P3ES007,130,81,31,7,0,4,2,5
H1960P4ES013,128,86,27,6,0,4,3,2
H1966P1ES345,218,0,110,44,0,0,3,61
H1966P2ES347,216,40,126,23,0,1,1,25
H1966P3ES350,130,87,27,8,0,4,3,1
H1966P4ES358,130,91,26,4,0,3,4,2
H1966P5ES365,194,124,36,7,0,5,5,17
H1966P5ES366,210,179,15,3,0,1,3,9
H1966P6ES376,194,74,96,3,0,4,5,12
H1966P6ES377,242,175,44,9,0,4,3,7
H1972P1ES061,224,9,91,51,0,5,3,65
H1972P1ES062,194,0,24,117,0,0,1,52
H1972P2ES066,242,24,178,14,0,1,2,23
H1972P2ES067,146,14,113,6,0,1,1,11
H1972P2ES068,168,72,89,4,0,0,2,1
H1972P3ES073,200,55,123,9,0,3,5,5
H1972P3ES074,110,42,51,10,1,1,2,3
H1972P3ES075,290,100,167,9,0,3,2,9
H1972P4ES080,226,101,111,7,0,3,2,2
H1972P4ES081,130,74,40,9,0,1,4,2
H1972P4ES082,322,162,145,6,0,3,1,5
H1972P5ES086,290,128,127,17,0,5,5,8
H1972P5ES087,290,127,128,17,0,5,4,9
H1972P5ES088,128,72,44,5,1,1,2,3
H1972P6ES092,178,94,56,15,0,2,3,8
H1972P6ES093,104,63,28,2,1,2,2,6
H1982P2ES100,146,9,112,13,1,1,4,6
H1982P3ES104,210,42,129,18,0,4,3,14
H1982P3ES105,114,43,53,6,1,1,3,7
H1988P2ES114,144,9,113,12,1,1,3,5
H1988P3ES116,210,43,129,17,0,4,3,14
H1988P3ES117,114,43,54,5,1,1,3,7
H1988P4ES121,320,166,141,5,0,3,2,3
H1988P5ES125,194,90,93,3,0,4,3,1
H1988P5ES126,130,67,40,13,0,2,3,5
H1988P6ES131,238,132,80,8,0,0,3,15
H1988P6ES132,114,62,37,4,2,1,3,5
H1993P1ES135,226,1,215,0,0,0,2,8
H1993P1ES136,146,0,28,54,0,0,1,63
H1993P1ES137,82,0,15,23,0,0,1,43
H1993P1ES138,66,1,59,1,0,1,2,2
H1993P1ES139,259,4,224,6,0,0,3,22
H1993P2ES144,202,15,175,3,0,4,2,3
H1993P2ES145,122,0,14,86,0,0,1,21
H1993P2ES146,226,39,139,38,0,1,2,7
H1993P2ES147,258,48,174,15,0,6,2,13
H1993P2ES148,146,10,107,10,1,1,3,14
H1993P3ES154,210,79,113,1,1,7,4,5
H1993P3ES155,114,44,50,3,1,1,2,13
H1993P3ES156,226,21,157,23,0,4,3,18
H1993P3ES400,178,73,84,9,0,4,4,4
H1993P4ES193,237,100,116,6,0,5,1,9
H1993P4ES194,114,70,34,4,2,1,1,2
H1993P4ES195,258,104,76,58,0,6,2,12
H1993P5ES201,210,148,29,12,1,5,3,12
H1993P5ES202,130,68,40,14,0,2,3,3
H1993P6ES211,210,153,28,10,0,9,4,6
H1993P6ES212,114,63,38,3,1,2,3,4
H2008P1ES253,146,39,89,6,0,3,5,4
H2008P1ES254,34,0,7,16,0,0,1,10
H2008P2ES261,218,86,89,18,0,12,3,10
H2008P3ES265,209,78,113,1,1,7,4,5
H2008P3ES266,225,21,156,23,0,4,3,18
H2008P4ES271,237,100,116,6,0,5,1,9
H2008P4ES272,255,104,76,55,0,6,2,12
H2008P5ES281,186,117,52,2,1,6,7,1
H2008P6ES288,138,83,30,11,1,6,5,2
H2011P1ES297,193,35,111,25,1,3,3,15
H2011P1ES298,81,10,44,12,0,3,3,9
H2011P2ES304,217,94,85,10,0,6,4,18
H2011P2ES305,105,33,50,9,0,4,3,6
H2011P3ES311,161,117,29,2,0,6,3,4
H2011P3ES312,145,70,46,16,0,3,4,6
H2011P4ES319,161,95,45,6,0,12,2,1
H2011P4ES320,185,120,37,14,0,4,4,6
H2011P5ES329,177,122,40,1,0,8,6,0
H2011P5ES330,185,145,19,10,0,2,4,5
H2011P6ES339,185,111,52,3,2,10,4,3
H2011P6ES340,209,128,21,47,0,4,4,5
H2014P1ESA,233,12,174,20,0,6,2,19
H2014P1ESM,281,212,46,5,0,9,2,7
H2014P1LEA,161,7,117,18,0,0,4,15
H2014P2ESA,256,29,202,10,0,6,2,7
H2014P2ESM,289,219,45,8,0,10,2,5
H2014P2LEA,161,4,119,13,0,1,4,20
H2014P3ESA,161,100,46,1,0,8,5,1
H2014P3LEA,161,30,100,21,0,0,4,6
H2014P4ESA,161,80,61,3,1,9,6,1
H2014P4LEA,161,78,59,15,0,0,4,5
H2014P5ESA,177,108,49,2,1,7,10,0
H2014P5LEA,161,102,40,10,1,1,4,3
H2014P6ESA,185,107,59,2,0,12,4,1
H2014P6LEA,161,117,32,3,0,3,5,1
H2018P1ESA,225,53,134,23,1,1,4,9
H2018P1ESM,177,155,2,3,0,6,10,1
H2018P1LEA,129,3,106,10,0,1,7,2
H2018P2ESA,225,42,160,12,0,1,4,6
H2018P2ESM,177,152,3,4,0,8,7,3
H2018P2LEA,145,5,122,6,2,1,5,4
H2019P1ESA,225,52,133,11,1,1,4,23
H2019P1ESM,177,148,9,2,0,6,10,2
H2019P1LEA,129,3,103,8,0,1,7,7
H2019P2ESA,225,42,158,13,0,1,5,6
H2019P2ESM,177,151,5,3,0,9,8,1
H2019P2LEA,145,5,123,5,2,1,5,4
H2019P3ESA,161,100,45,0,0,8,6,2
H2019P3LEA,161,27,97,22,0,0,3,12
H2019P4ESA,161,80,61,2,1,9,7,1
H2019P4LEA,161,78,60,16,0,0,4,3
H2019P5ESA,177,108,49,1,1,6,11,1
H2019P5LEA,161,105,38,10,1,1,4,2
H2019P6ESA,185,110,57,2,0,10,5,1
H2019P6LEA,161,115,33,4,0,3,5,1
