scanner_version,page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,selected_psm,source_sha256_verified,front_zone,end_zone,front_matter_score,toc_navigation_score,bibliography_credits_score,matched_category_count,error
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P001,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,1,6,1,1,0,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P002,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,2,3,1,1,0,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P003,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,3,3,1,1,0,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P004,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,4,3,1,1,0,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P005,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,5,3,1,1,0,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P006,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,6,3,1,1,0,0,0,2,1,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P007,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,7,3,1,1,0,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P008,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,8,6,1,1,0,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P009,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,9,3,1,1,0,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P010,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,10,3,1,1,0,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P011,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,11,3,1,1,0,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P012,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,12,3,1,1,0,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P013,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,13,3,1,1,0,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P014,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,14,3,1,1,0,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P015,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,15,3,1,1,0,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P016,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,16,3,1,1,0,0,1,0,1,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P203,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,203,3,1,0,1,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P204,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,204,3,1,0,1,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P205,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,205,11,1,0,1,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P206,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,206,3,1,0,1,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P207,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,207,3,1,0,1,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P208,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,208,3,1,0,1,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P209,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,209,3,1,0,1,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P210,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,210,3,1,0,1,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P211,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,211,3,1,0,1,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P212,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,212,3,1,0,1,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P213,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,213,3,1,0,1,0,2,0,1,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P214,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,214,3,1,0,1,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P215,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,215,3,1,0,1,0,0,1,1,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P216,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,216,11,1,0,1,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P217,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,217,6,1,0,1,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P2ES003-P218,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,218,3,1,0,1,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P3ES007-P001,H1960P3ES007,1960,3,MI LIBRO DE LENGUA NACIONAL,1,6,1,1,0,0,0,0,0,
LTMD_U1_W3_SPANISH_STRUCTKW_0.1,U1-H1960P3ES007-P002,H1960P3ES007,1960,3,MI LIBRO DE LENGUA NACIONAL,2,6,1,1,0,0,0,0,0,
