audit_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,source_bytes,unique_source_hashes,direct_asset_ready
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_AUDIT_0.1,H1972P1CI060,1972,1,CIENCIAS SOCIALES,standard_x_js,H1972P1CI060,85,84,1,0,0,3948012,84,1
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_AUDIT_0.1,H1972P2CI065,1972,2,CIENCIAS SOCIALES,standard_x_js,H1972P2CI065,131,130,1,0,0,6117959,130,1
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_AUDIT_0.1,H1972P3CI072,1972,3,CIENCIAS SOCIALES,standard_x_js,H1972P3CI072,115,114,1,0,0,6998129,114,1
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_AUDIT_0.1,H1972P4CI078,1972,4,CIENCIAS SOCIALES,standard_x_js,H1972P4CI078,227,226,1,0,0,13543701,226,1
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_AUDIT_0.1,H1972P5CI085,1972,5,CIENCIAS SOCIALES,standard_x_js,H1972P5CI085,291,290,1,0,0,17154182,290,1
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_AUDIT_0.1,H1972P6CI091,1972,6,CIENCIAS SOCIALES,standard_x_js,H1972P6CI091,211,210,1,0,0,14308491,210,1
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_AUDIT_0.1,H1982P4CI384,1982,4,CIENCIAS SOCIALES,standard_x_js,H1982P4CI384,147,146,1,0,0,10548950,146,1
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_AUDIT_0.1,H1982P5CI390,1982,5,CIENCIAS SOCIALES,standard_x_js,H1982P5CI390,147,146,1,0,0,9303111,146,1
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_AUDIT_0.1,H1982P6CI396,1982,6,CIENCIAS SOCIALES,standard_x_js,H1982P6CI396,269,268,1,0,0,17413637,268,1
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_AUDIT_0.1,H1988P3CI115,1988,3,CIENCIAS SOCIALES,standard_x_js,H1988P3CI115,129,128,1,0,0,7833333,128,1
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_AUDIT_0.1,H1988P4CI120,1988,4,CIENCIAS SOCIALES,standard_x_js,H1988P4CI120,147,146,1,0,0,10051527,146,1
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_AUDIT_0.1,H1988P5CI124,1988,5,CIENCIAS SOCIALES,standard_x_js,H1988P5CI124,147,146,1,0,0,9734686,146,1
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_AUDIT_0.1,H1988P6CI130,1988,6,CIENCIAS SOCIALES,standard_x_js,H1988P6CI130,211,210,1,0,0,14324585,210,1
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_AUDIT_0.1,H2008P2CI256,2008,2,EXPLORACIOÓN DE NATURALEZA Y LA SOCIEDAD,standard_x_js,H2008P2CI256,171,170,1,0,0,11086088,170,1
