analysis_version,viewer_a,viewer_b,generation_a,generation_b,grade_a,grade_b,same_generation,same_grade,unique_units_a,unique_units_b,shared_unique_units,jaccard,containment_a_in_b,containment_b_in_a
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P4CI384,H1988P4CI120,1982,1988,4,4,0,1,1866,1890,994,0.359884,0.532690,0.525926
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P4CI078,H1982P4CI384,1972,1982,4,4,0,1,2011,1866,927,0.314237,0.460965,0.496785
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P4CI078,H1988P4CI120,1972,1988,4,4,0,1,2011,1890,795,0.255956,0.395326,0.420635
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P5CI390,H1988P5CI124,1982,1988,5,5,0,1,1121,1127,468,0.262921,0.417484,0.415262
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P6CI396,H1988P6CI130,1982,1988,6,6,0,1,2789,2164,468,0.104348,0.167802,0.216266
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P6CI091,H1982P6CI396,1972,1982,6,6,0,1,2143,2789,109,0.022600,0.050863,0.039082
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P6CI091,H1988P6CI130,1972,1988,6,6,0,1,2143,2164,92,0.021827,0.042930,0.042514
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P5CI085,H1988P5CI124,1972,1988,5,5,0,1,2415,1127,45,0.012868,0.018634,0.039929
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P5CI085,H1982P5CI390,1972,1982,5,5,0,1,2415,1121,43,0.012310,0.017805,0.038359
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1988P4CI120,H2008P2CI256,1988,2008,4,2,0,0,1890,1121,21,0.007023,0.011111,0.018733
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P5CI085,H1972P6CI091,1972,1972,5,6,1,0,2415,2143,21,0.004629,0.008696,0.009799
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P6CI396,H1988P4CI120,1982,1988,6,4,0,0,2789,1890,20,0.004293,0.007171,0.010582
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P6CI091,H1988P4CI120,1972,1988,6,4,0,0,2143,1890,19,0.004733,0.008866,0.010053
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P4CI384,H2008P2CI256,1982,2008,4,2,0,0,1866,1121,18,0.006063,0.009646,0.016057
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P4CI078,H1988P3CI115,1972,1988,4,3,0,0,2011,980,17,0.005716,0.008454,0.017347
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P6CI396,H2008P2CI256,1982,2008,6,2,0,0,2789,1121,17,0.004367,0.006095,0.015165
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1988P4CI120,H1988P6CI130,1988,1988,4,6,1,0,1890,2164,17,0.004211,0.008995,0.007856
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P6CI091,H2008P2CI256,1972,2008,6,2,0,0,2143,1121,16,0.004926,0.007466,0.014273
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P5CI085,H2008P2CI256,1972,2008,5,2,0,0,2415,1121,16,0.004545,0.006625,0.014273
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P3CI072,H1988P3CI115,1972,1988,3,3,0,1,966,980,15,0.007768,0.015528,0.015306
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1988P3CI115,H2008P2CI256,1988,2008,3,2,0,0,980,1121,15,0.007191,0.015306,0.013381
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P4CI384,H1988P6CI130,1982,1988,4,6,0,0,1866,2164,15,0.003736,0.008039,0.006932
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P4CI078,H1988P6CI130,1972,1988,4,6,0,0,2011,2164,15,0.003606,0.007459,0.006932
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P4CI384,H1982P6CI396,1982,1982,4,6,1,0,1866,2789,15,0.003233,0.008039,0.005378
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P4CI078,H1982P6CI396,1972,1982,4,6,0,0,2011,2789,15,0.003135,0.007459,0.005378
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P5CI085,H1982P6CI396,1972,1982,5,6,0,0,2415,2789,15,0.002891,0.006211,0.005378
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1988P6CI130,H2008P2CI256,1988,2008,6,2,0,0,2164,1121,14,0.004280,0.006470,0.012489
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P6CI091,H1982P4CI384,1972,1982,6,4,0,0,2143,1866,14,0.003504,0.006533,0.007503
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P5CI085,H1988P4CI120,1972,1988,5,4,0,0,2415,1890,14,0.003263,0.005797,0.007407
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P5CI085,H1988P6CI130,1972,1988,5,6,0,0,2415,2164,14,0.003067,0.005797,0.006470
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P4CI078,H2008P2CI256,1972,2008,4,2,0,0,2011,1121,13,0.004168,0.006464,0.011597
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P4CI078,H1972P5CI085,1972,1972,4,5,1,0,2011,2415,13,0.002946,0.006464,0.005383
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P5CI085,H1982P4CI384,1972,1982,5,4,0,0,2415,1866,12,0.002811,0.004969,0.006431
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P5CI390,H1988P3CI115,1982,1988,5,3,0,0,1121,980,11,0.005263,0.009813,0.011224
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P4CI384,H1988P3CI115,1982,1988,4,3,0,0,1866,980,11,0.003880,0.005895,0.011224
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P5CI085,H1988P3CI115,1972,1988,5,3,0,0,2415,980,11,0.003251,0.004555,0.011224
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1988P3CI115,H1988P6CI130,1988,1988,3,6,1,0,980,2164,10,0.003191,0.010204,0.004621
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1988P5CI124,H1988P6CI130,1988,1988,5,6,1,0,1127,2164,10,0.003048,0.008873,0.004621
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P3CI072,H1972P5CI085,1972,1972,3,5,1,0,966,2415,10,0.002966,0.010352,0.004141
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P6CI396,H1988P5CI124,1982,1988,6,5,0,0,2789,1127,10,0.002560,0.003586,0.008873
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P4CI078,H1972P6CI091,1972,1972,4,6,1,0,2011,2143,10,0.002413,0.004973,0.004666
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1988P3CI115,H1988P4CI120,1988,1988,3,4,1,0,980,1890,9,0.003146,0.009184,0.004762
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1988P4CI120,H1988P5CI124,1988,1988,4,5,1,0,1890,1127,9,0.002992,0.004762,0.007986
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P5CI390,H1988P6CI130,1982,1988,5,6,0,0,1121,2164,9,0.002747,0.008029,0.004159
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1988P3CI115,H1988P5CI124,1988,1988,3,5,1,0,980,1127,8,0.003811,0.008163,0.007098
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P4CI384,H1982P5CI390,1982,1982,4,5,1,0,1866,1121,8,0.002685,0.004287,0.007136
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P3CI072,H1972P6CI091,1972,1972,3,6,1,0,966,2143,8,0.002580,0.008282,0.003733
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P5CI390,H1982P6CI396,1982,1982,5,6,1,0,1121,2789,8,0.002050,0.007136,0.002868
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P5CI390,H2008P2CI256,1982,2008,5,2,0,0,1121,1121,7,0.003132,0.006244,0.006244
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1988P5CI124,H2008P2CI256,1988,2008,5,2,0,0,1127,1121,7,0.003124,0.006211,0.006244
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P2CI065,H1982P4CI384,1972,1982,2,4,0,0,386,1866,7,0.003118,0.018135,0.003751
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P3CI072,H1988P4CI120,1972,1988,3,4,0,0,966,1890,7,0.002457,0.007246,0.003704
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P5CI390,H1988P4CI120,1982,1988,5,4,0,0,1121,1890,7,0.002330,0.006244,0.003704
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P6CI091,H1988P3CI115,1972,1988,6,3,0,0,2143,980,7,0.002246,0.003266,0.007143
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P4CI078,H1988P5CI124,1972,1988,4,5,0,0,2011,1127,7,0.002236,0.003481,0.006211
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P3CI072,H1982P6CI396,1972,1982,3,6,0,0,966,2789,7,0.001868,0.007246,0.002510
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P6CI396,H1988P3CI115,1982,1988,6,3,0,0,2789,980,7,0.001861,0.002510,0.007143
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P3CI072,H2008P2CI256,1972,2008,3,2,0,0,966,1121,6,0.002883,0.006211,0.005352
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P2CI065,H1972P5CI085,1972,1972,2,5,1,0,386,2415,6,0.002147,0.015544,0.002484
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P3CI072,H1972P4CI078,1972,1972,3,4,1,0,966,2011,6,0.002020,0.006211,0.002984
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1982P4CI384,H1988P5CI124,1982,1988,4,5,0,0,1866,1127,6,0.002009,0.003215,0.005324
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P3CI072,H1988P6CI130,1972,1988,3,6,0,0,966,2164,6,0.001921,0.006211,0.002773
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P6CI091,H1988P5CI124,1972,1988,6,5,0,0,2143,1127,6,0.001838,0.002800,0.005324
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P2CI065,H1988P3CI115,1972,1988,2,3,0,0,386,980,5,0.003674,0.012953,0.005102
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P3CI072,H1982P5CI390,1972,1982,3,5,0,0,966,1121,5,0.002402,0.005176,0.004460
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P3CI072,H1988P5CI124,1972,1988,3,5,0,0,966,1127,5,0.002395,0.005176,0.004437
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P2CI065,H1988P4CI120,1972,1988,2,4,0,0,386,1890,5,0.002202,0.012953,0.002646
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P2CI065,H1988P6CI130,1972,1988,2,6,0,0,386,2164,5,0.001965,0.012953,0.002311
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P3CI072,H1982P4CI384,1972,1982,3,4,0,0,966,1866,5,0.001769,0.005176,0.002680
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P4CI078,H1982P5CI390,1972,1982,4,5,0,0,2011,1121,5,0.001599,0.002486,0.004460
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P2CI065,H1982P5CI390,1972,1982,2,5,0,0,386,1121,4,0.002661,0.010363,0.003568
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P2CI065,H2008P2CI256,1972,2008,2,2,0,1,386,1121,4,0.002661,0.010363,0.003568
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P2CI065,H1972P6CI091,1972,1972,2,6,1,0,386,2143,4,0.001584,0.010363,0.001867
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P6CI091,H1982P5CI390,1972,1982,6,5,0,0,2143,1121,4,0.001227,0.001867,0.003568
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P1CI060,H2008P2CI256,1972,2008,1,2,0,0,159,1121,3,0.002349,0.018868,0.002676
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P1CI060,H1972P2CI065,1972,1972,1,2,1,0,159,386,2,0.003683,0.012579,0.005181
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P2CI065,H1972P3CI072,1972,1972,2,3,1,0,386,966,2,0.001481,0.005181,0.002070
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P2CI065,H1988P5CI124,1972,1988,2,5,0,0,386,1127,2,0.001324,0.005181,0.001775
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P2CI065,H1982P6CI396,1972,1982,2,6,0,0,386,2789,2,0.000630,0.005181,0.000717
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P1CI060,H1988P3CI115,1972,1988,1,3,0,0,159,980,1,0.000879,0.006289,0.001020
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P1CI060,H1982P5CI390,1972,1982,1,5,0,0,159,1121,1,0.000782,0.006289,0.000892
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P1CI060,H1982P4CI384,1972,1982,1,4,0,0,159,1866,1,0.000494,0.006289,0.000536
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P1CI060,H1988P4CI120,1972,1988,1,4,0,0,159,1890,1,0.000488,0.006289,0.000529
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P1CI060,H1988P6CI130,1972,1988,1,6,0,0,159,2164,1,0.000431,0.006289,0.000462
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,H1972P2CI065,H1972P4CI078,1972,1972,2,4,1,0,386,2011,1,0.000417,0.002591,0.000497
