segmenter_version,viewer_key,fragment_count,segmented_page_count,activity_candidate,assessment_candidate,experiment_candidate,expository_candidate,instruction_candidate,project_candidate,question_candidate,short_residual_candidate
FRAGSEG_LTMD_U1_W4_SOCIAL_SCIENCES_0.1,H1972P1CI060,164,49,2,0,0,4,3,0,32,123
FRAGSEG_LTMD_U1_W4_SOCIAL_SCIENCES_0.1,H1972P2CI065,393,77,0,0,0,46,28,0,76,243
FRAGSEG_LTMD_U1_W4_SOCIAL_SCIENCES_0.1,H1972P3CI072,969,105,4,0,11,237,151,2,88,476
FRAGSEG_LTMD_U1_W4_SOCIAL_SCIENCES_0.1,H1972P4CI078,2020,192,6,0,2,515,269,0,212,1016
FRAGSEG_LTMD_U1_W4_SOCIAL_SCIENCES_0.1,H1972P5CI085,2454,235,11,0,8,590,354,0,125,1366
FRAGSEG_LTMD_U1_W4_SOCIAL_SCIENCES_0.1,H1972P6CI091,2165,169,12,0,6,642,317,0,164,1024
FRAGSEG_LTMD_U1_W4_SOCIAL_SCIENCES_0.1,H1982P4CI384,1894,131,5,0,2,511,260,0,202,914
FRAGSEG_LTMD_U1_W4_SOCIAL_SCIENCES_0.1,H1982P5CI390,1124,141,9,0,3,306,195,1,38,572
FRAGSEG_LTMD_U1_W4_SOCIAL_SCIENCES_0.1,H1982P6CI396,2808,222,18,0,12,781,442,1,174,1380
FRAGSEG_LTMD_U1_W4_SOCIAL_SCIENCES_0.1,H1988P3CI115,984,123,7,0,13,273,156,4,33,498
FRAGSEG_LTMD_U1_W4_SOCIAL_SCIENCES_0.1,H1988P4CI120,1913,134,6,0,2,525,272,0,198,910
FRAGSEG_LTMD_U1_W4_SOCIAL_SCIENCES_0.1,H1988P5CI124,1129,142,9,0,3,303,200,1,36,577
FRAGSEG_LTMD_U1_W4_SOCIAL_SCIENCES_0.1,H1988P6CI130,2183,183,16,0,3,607,347,0,133,1077
FRAGSEG_LTMD_U1_W4_SOCIAL_SCIENCES_0.1,H2008P2CI256,1180,115,31,5,4,110,151,0,196,683
FRAGSEG_LTMD_U1_W4_SOCIAL_SCIENCES_0.1,ALL,21380,2018,136,5,69,5450,3145,9,1707,10859
