viewer_key,page_id,observed_fragment_count,max_sequence,missing_sequence_slots,missing_slot_count
H1972P1CI060,U1-H1972P1CI060-P025,6,7,6,1
H1972P1CI060,U1-H1972P1CI060-P063,7,8,1,1
H1972P2CI065,U1-H1972P2CI065-P005,22,23,3,1
H1972P2CI065,U1-H1972P2CI065-P109,4,5,4,1
H1972P2CI065,U1-H1972P2CI065-P111,2,3,1,1
H1972P4CI078,U1-H1972P4CI078-P020,17,18,2,1
H1972P4CI078,U1-H1972P4CI078-P046,20,21,1,1
H1972P4CI078,U1-H1972P4CI078-P188,16,17,7,1
H1972P5CI085,U1-H1972P5CI085-P162,8,9,4,1
H1972P5CI085,U1-H1972P5CI085-P184,15,17,1 3,2
H1972P5CI085,U1-H1972P5CI085-P230,9,10,1,1
H1972P5CI085,U1-H1972P5CI085-P232,9,10,5,1
H1972P6CI091,U1-H1972P6CI091-P005,32,34,17 32,2
H1972P6CI091,U1-H1972P6CI091-P065,11,12,1,1
H1972P6CI091,U1-H1972P6CI091-P108,16,19,1 8 9,3
H1972P6CI091,U1-H1972P6CI091-P126,11,12,1,1
H1972P6CI091,U1-H1972P6CI091-P134,17,18,10,1
H1982P4CI384,U1-H1982P4CI384-P053,13,14,1,1
H1982P4CI384,U1-H1982P4CI384-P089,12,13,1,1
H1982P4CI384,U1-H1982P4CI384-P113,21,22,16,1
H1982P5CI390,U1-H1982P5CI390-P034,15,16,10,1
H1982P5CI390,U1-H1982P5CI390-P073,11,12,7,1
H1982P6CI396,U1-H1982P6CI396-P005,29,30,26,1
H1982P6CI396,U1-H1982P6CI396-P125,17,18,9,1
H1982P6CI396,U1-H1982P6CI396-P175,12,13,1,1
H1982P6CI396,U1-H1982P6CI396-P255,18,19,17,1
H1988P3CI115,U1-H1988P3CI115-P028,10,11,1,1
H1988P4CI120,U1-H1988P4CI120-P113,33,34,20,1
H1988P5CI124,U1-H1988P5CI124-P041,14,15,14,1
H1988P6CI130,U1-H1988P6CI130-P019,7,8,4,1
H1988P6CI130,U1-H1988P6CI130-P043,11,12,11,1
H1988P6CI130,U1-H1988P6CI130-P045,12,13,12,1
H2008P2CI256,U1-H2008P2CI256-P001,6,7,6,1
H2008P2CI256,U1-H2008P2CI256-P013,8,9,6,1
H2008P2CI256,U1-H2008P2CI256-P018,5,6,1,1
H2008P2CI256,U1-H2008P2CI256-P024,11,12,5,1
H2008P2CI256,U1-H2008P2CI256-P051,5,6,5,1
H2008P2CI256,U1-H2008P2CI256-P064,4,5,3,1
H2008P2CI256,U1-H2008P2CI256-P081,11,12,1,1
H2008P2CI256,U1-H2008P2CI256-P093,8,9,1,1
H2008P2CI256,U1-H2008P2CI256-P096,22,23,6,1
H2008P2CI256,U1-H2008P2CI256-P097,8,9,1,1
