ocr_version,viewer_key,catalog_generation,grade_code,title_core,processing_mode,pages,sha_verified,text_detected,no_text_detected,unresolved,recognized_words,ocr_chars
LTMD_U1_W4_SOCIAL_SCIENCES_OCR_0.1,H1972P1CI060,1972,1,CIENCIAS SOCIALES,direct_canonical,84,84,80,4,0,1758,8649
LTMD_U1_W4_SOCIAL_SCIENCES_OCR_0.1,H1972P2CI065,1972,2,CIENCIAS SOCIALES,direct_canonical,130,130,130,0,0,4722,23634
LTMD_U1_W4_SOCIAL_SCIENCES_OCR_0.1,H1972P3CI072,1972,3,CIENCIAS SOCIALES,direct_canonical,114,114,114,0,0,16860,111270
LTMD_U1_W4_SOCIAL_SCIENCES_OCR_0.1,H1972P4CI078,1972,4,CIENCIAS SOCIALES,direct_canonical,226,226,226,0,0,36691,223081
LTMD_U1_W4_SOCIAL_SCIENCES_OCR_0.1,H1972P5CI085,1972,5,CIENCIAS SOCIALES,direct_canonical,290,290,287,3,0,42697,240100
LTMD_U1_W4_SOCIAL_SCIENCES_OCR_0.1,H1972P6CI091,1972,6,CIENCIAS SOCIALES,direct_canonical,210,210,208,2,0,48457,268415
LTMD_U1_W4_SOCIAL_SCIENCES_OCR_0.1,H1982P4CI384,1982,4,CIENCIAS SOCIALES,direct_canonical,146,146,146,0,0,35437,186722
LTMD_U1_W4_SOCIAL_SCIENCES_OCR_0.1,H1982P5CI390,1982,5,CIENCIAS SOCIALES,direct_canonical,146,146,145,1,0,22558,113887
LTMD_U1_W4_SOCIAL_SCIENCES_OCR_0.1,H1982P6CI396,1982,6,CIENCIAS SOCIALES,direct_canonical,268,268,265,3,0,56596,370408
LTMD_U1_W4_SOCIAL_SCIENCES_OCR_0.1,H1988P3CI115,1988,3,CIENCIAS SOCIALES,direct_canonical,128,128,128,0,0,19347,104112
LTMD_U1_W4_SOCIAL_SCIENCES_OCR_0.1,H1988P4CI120,1988,4,CIENCIAS SOCIALES,direct_canonical,146,146,146,0,0,36131,196330
LTMD_U1_W4_SOCIAL_SCIENCES_OCR_0.1,H1988P5CI124,1988,5,CIENCIAS SOCIALES,direct_canonical,146,146,146,0,0,22725,120987
LTMD_U1_W4_SOCIAL_SCIENCES_OCR_0.1,H1988P6CI130,1988,6,CIENCIAS SOCIALES,direct_canonical,210,210,207,3,0,43031,333569
LTMD_U1_W4_SOCIAL_SCIENCES_OCR_0.1,H2008P2CI256,2008,2,EXPLORACIOÓN DE NATURALEZA Y LA SOCIEDAD,direct_canonical,170,170,169,1,0,15770,107378
