viewer_key,n_pages,textual,mixed_text_image,visual_only,front_matter,toc_or_navigation,bibliography_or_credits,unknown
H1972P1CI060,84,1,48,19,0,0,2,14
H1972P2CI065,130,7,70,29,0,1,4,19
H1972P3CI072,114,72,33,2,0,1,2,4
H1972P4CI078,226,133,59,22,0,2,3,7
H1972P5CI085,290,179,56,27,1,3,5,19
H1972P6CI091,210,160,9,22,0,3,3,13
H1982P4CI384,146,120,11,4,0,4,1,6
H1982P5CI390,146,95,46,1,0,1,1,2
H1982P6CI396,268,176,46,21,0,3,1,21
H1988P3CI115,128,86,37,1,0,1,2,1
H1988P4CI120,146,122,12,4,0,4,3,1
H1988P5CI124,146,94,48,0,0,1,3,0
H1988P6CI130,210,151,32,14,0,3,1,9
H2008P2CI256,170,21,94,13,0,6,3,33
ALL,2414,1417,601,179,1,33,34,149
