analysis_version,viewer_key,catalog_generation,grade_code,title_core,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,source_state,served_sequence_sha256
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_REL_0.1,H1972P1CI060,1972,1,CIENCIAS SOCIALES,85,84,1,0,full_direct_source,0dc2d779555a888745c7e5714a9401d63cd1a4204d1d7a8dba02e5b7b11c5313
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_REL_0.1,H1972P2CI065,1972,2,CIENCIAS SOCIALES,131,130,1,0,full_direct_source,b9295f408719feb1c7939e15a8adfd7691c1bf5cb7dcb4c97184c28bc69b1fa3
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_REL_0.1,H1972P3CI072,1972,3,CIENCIAS SOCIALES,115,114,1,0,full_direct_source,6b8ce600a538645d6a06043f9dfc3a76a900066a3d9660b1d1e39c156737c461
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_REL_0.1,H1972P4CI078,1972,4,CIENCIAS SOCIALES,227,226,1,0,full_direct_source,ba5569c16783428e0e89a3395faa79154578076d38da38cdfffb70a4dd547cb8
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_REL_0.1,H1972P5CI085,1972,5,CIENCIAS SOCIALES,291,290,1,0,full_direct_source,8a7b067791f715e5dc251e8ec3ba2dbd4458a0787fb0a641b41701db4a8cbc8e
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_REL_0.1,H1972P6CI091,1972,6,CIENCIAS SOCIALES,211,210,1,0,full_direct_source,7736c4be1ba07aa4a6e5e0956fa54b4842bf617124dbf6d09ba12e751e781103
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_REL_0.1,H1982P4CI384,1982,4,CIENCIAS SOCIALES,147,146,1,0,full_direct_source,b356015baf8c0fbb8bff346962c7f13d30512229694c9c9493b0ea419b8d9ca2
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_REL_0.1,H1982P5CI390,1982,5,CIENCIAS SOCIALES,147,146,1,0,full_direct_source,446d0d8c96c9f03957cb6a813ece4e7064fd7027f85fa60d3e25aa6e301bee8d
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_REL_0.1,H1982P6CI396,1982,6,CIENCIAS SOCIALES,269,268,1,0,full_direct_source,95ab4d73bbf749ccb3fbee7f854bae247c74ea58137c714db8641b434217c0ce
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_REL_0.1,H1988P3CI115,1988,3,CIENCIAS SOCIALES,129,128,1,0,full_direct_source,de29372436b1c57f16c0724eb8e660276cc17e3c12f0dfa54b103cc95c186694
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_REL_0.1,H1988P4CI120,1988,4,CIENCIAS SOCIALES,147,146,1,0,full_direct_source,33475945b1f44e9e42ad578c4a502f293777b2860f21d6b35c7829a195e3207a
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_REL_0.1,H1988P5CI124,1988,5,CIENCIAS SOCIALES,147,146,1,0,full_direct_source,414c2ce1e8fb5a054b59e9e43c7f97ce926a7b26ed2f7ba353f89f6c59307034
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_REL_0.1,H1988P6CI130,1988,6,CIENCIAS SOCIALES,211,210,1,0,full_direct_source,9b5a50f5d209f7837910ea9196549f6192c9c10a18ce4896e26123d021a0cefd
LTMD_U1_W4_SOCIAL_SCIENCES_ASSET_REL_0.1,H2008P2CI256,2008,2,EXPLORACIOÓN DE NATURALEZA Y LA SOCIEDAD,171,170,1,0,full_direct_source,a7bc4ba8f3762ff7ceb6c6a781c516aafcb016074d68723472e7ddd2e739916d
