audit_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,viewer_page,declared_positions,source_image_index,source_asset_url,is_final_declared_position,asset_status,probe_state,http_status,content_type,byte_size,sha256,attempts,error
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,1,187,0,https://historico.conaliteg.gob.mx/c/H1993P4HI198/000.jpg,0,source_jpeg,served_image,200,image/jpeg,61343,780646b73e0c8b5c6c05ae1f58194bedae6fafc1d9bbe5ddb81f6c7f7bac99eb,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,2,187,2,https://historico.conaliteg.gob.mx/c/H1993P4HI198/002.jpg,0,source_jpeg,served_image,200,image/jpeg,64556,1b2307d6b5bb1ae2846f70d9d7a6ffead1a512a7c9f02d376067a1d8ad2d416b,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,3,187,3,https://historico.conaliteg.gob.mx/c/H1993P4HI198/003.jpg,0,source_jpeg,served_image,200,image/jpeg,107561,3018c0c4ce2d8c123cb701b0a939e56cef9b0d62b364d491814bb13d32120b78,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,4,187,4,https://historico.conaliteg.gob.mx/c/H1993P4HI198/004.jpg,0,source_jpeg,served_image,200,image/jpeg,67147,74ce630c32e5c693e92ed065d58ffeb23d037fb1ac7e85e41403957e3bb3e1b4,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,5,187,5,https://historico.conaliteg.gob.mx/c/H1993P4HI198/005.jpg,0,source_jpeg,served_image,200,image/jpeg,74196,fb1a818f3c2c0c06a9c1c9b96a15f57a6057239c13cbe72b6a8863dcbdcf8b7e,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,6,187,6,https://historico.conaliteg.gob.mx/c/H1993P4HI198/006.jpg,0,source_jpeg,served_image,200,image/jpeg,71890,51ab58ee5177b71fbe2bd01c156c66c5e4210ba3cd136488dc0eaa4eb9408a99,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,7,187,7,https://historico.conaliteg.gob.mx/c/H1993P4HI198/007.jpg,0,source_jpeg,served_image,200,image/jpeg,65123,2e927f2fe464ee1d07070044e63e9973c1992b721cedd279bf6c32f1d834d0b0,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,8,187,8,https://historico.conaliteg.gob.mx/c/H1993P4HI198/008.jpg,0,source_jpeg,served_image,200,image/jpeg,96577,126a18d95056cbb83070128cc372abe8b1aae28b524f95a2969da20910845eab,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,9,187,9,https://historico.conaliteg.gob.mx/c/H1993P4HI198/009.jpg,0,source_jpeg,served_image,200,image/jpeg,87893,32b3849b304ba05ff7c72497512fc1b223db539506d99d448f23ea4772b7f299,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,10,187,10,https://historico.conaliteg.gob.mx/c/H1993P4HI198/010.jpg,0,source_jpeg,served_image,200,image/jpeg,60270,d677f9bcef9bcd3a373cfe28cb39af156a5276767a65fc4eb8b4be724fc1b7a5,1,
