audit_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,source_bytes,unique_source_hashes,direct_asset_ready
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,187,186,1,0,0,15059159,186,1
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P5HI206,1993,5,Historia,standard_x_js,H1993P5HI206,211,210,1,0,0,17403703,210,1
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P6HI214,1993,6,Historia,standard_x_js,H1993P6HI214,115,114,1,0,0,9279946,114,1
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H2008P4HI275,2008,4,HISTORIA,standard_x_js,H2008P4HI275,187,186,1,0,0,61513079,186,1
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H2008P5HI284,2008,5,HISTORIA,standard_x_js,H2008P5HI284,195,194,1,0,0,53327189,194,1
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H2008P6HI290,2008,6,HISTORIA,standard_x_js,H2008P6HI290,155,154,1,0,0,45695669,154,1
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H2011P4HI323,2011,4,HISTORIA,standard_x_js,H2011P4HI323,194,193,1,0,0,88651251,193,1
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H2011P5HI333,2011,5,HISTORIA,standard_x_js,H2011P5HI333,194,193,1,0,0,78067262,193,1
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H2011P6HI342,2011,6,HISTORIA,standard_x_js,H2011P6HI342,178,177,1,0,0,67247316,177,1
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H2014P4HIA,2014,4,Historia,standard_x_js,H2014P4HIA,194,193,1,0,0,94863858,193,1
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H2014P5HIA,2014,5,Historia,standard_x_js,H2014P5HIA,194,193,1,0,0,92769119,193,1
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H2014P6HIA,2014,6,Historia,standard_x_js,H2014P6HIA,138,137,1,0,0,67733249,137,1
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H2018P4HIA,2018,4,Historia,standard_x_js,H2018P4HIA,194,193,1,0,0,59695221,193,1
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H2018P5HIA,2018,5,Historia,standard_x_js,H2018P5HIA,194,193,1,0,0,45908240,193,1
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H2018P6HIA,2018,6,Historia,standard_x_js,H2018P6HIA,138,137,1,0,0,42181229,137,1
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H2019P4HIA,2019,4,Historia,standard_x_js,H2019P4HIA,194,193,1,0,0,26421406,193,1
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H2019P5HIA,2019,5,Historia,standard_x_js,H2019P5HIA,194,193,1,0,0,26827134,193,1
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H2019P6HIA,2019,6,Historia,standard_x_js,H2019P6HIA,138,137,1,0,0,19960335,137,1
