segmenter_version,viewer_key,fragment_count,segmented_page_count,activity_candidate,assessment_candidate,experiment_candidate,expository_candidate,instruction_candidate,project_candidate,question_candidate,short_residual_candidate
FRAGSEG_LTMD_U1_W5_HISTORY_0.1,H1993P4HI198,2991,167,14,0,3,655,240,0,119,1960
FRAGSEG_LTMD_U1_W5_HISTORY_0.1,H1993P5HI206,2883,184,29,0,9,615,386,1,107,1736
FRAGSEG_LTMD_U1_W5_HISTORY_0.1,H1993P6HI214,1686,101,11,0,3,444,160,0,71,997
FRAGSEG_LTMD_U1_W5_HISTORY_0.1,H2008P4HI275,3218,170,12,0,3,703,252,0,113,2135
FRAGSEG_LTMD_U1_W5_HISTORY_0.1,H2008P5HI284,2003,166,32,5,5,417,314,7,165,1058
FRAGSEG_LTMD_U1_W5_HISTORY_0.1,H2008P6HI290,1500,128,45,5,8,353,283,0,93,713
FRAGSEG_LTMD_U1_W5_HISTORY_0.1,H2011P4HI323,2200,150,58,9,10,389,352,3,148,1231
FRAGSEG_LTMD_U1_W5_HISTORY_0.1,H2011P5HI333,2162,160,38,10,5,456,355,5,144,1149
FRAGSEG_LTMD_U1_W5_HISTORY_0.1,H2011P6HI342,2260,143,74,10,6,448,321,4,145,1252
FRAGSEG_LTMD_U1_W5_HISTORY_0.1,H2014P4HIA,1887,164,44,12,8,354,348,0,143,978
FRAGSEG_LTMD_U1_W5_HISTORY_0.1,H2014P5HIA,2226,165,45,12,6,429,366,4,261,1103
FRAGSEG_LTMD_U1_W5_HISTORY_0.1,H2014P6HIA,1875,112,23,12,3,362,326,2,129,1018
FRAGSEG_LTMD_U1_W5_HISTORY_0.1,H2019P4HIA,1847,162,43,13,7,354,349,0,148,933
FRAGSEG_LTMD_U1_W5_HISTORY_0.1,H2019P5HIA,2161,163,44,12,5,432,361,4,247,1056
FRAGSEG_LTMD_U1_W5_HISTORY_0.1,H2019P6HIA,1746,108,23,10,2,335,316,2,121,937
FRAGSEG_LTMD_U1_W5_HISTORY_0.1,ALL,32645,2243,535,110,83,6746,4729,32,2154,18256
