viewer_key,page_id,observed_fragment_count,max_sequence,missing_sequence_slots,missing_slot_count
H1993P4HI198,U1-H1993P4HI198-P031,26,27,1,1
H1993P4HI198,U1-H1993P4HI198-P041,25,26,1,1
H1993P4HI198,U1-H1993P4HI198-P078,11,12,1,1
H1993P4HI198,U1-H1993P4HI198-P127,21,22,19,1
H1993P4HI198,U1-H1993P4HI198-P143,19,20,11,1
H1993P4HI198,U1-H1993P4HI198-P156,21,22,1,1
H1993P4HI198,U1-H1993P4HI198-P159,11,12,6,1
H1993P5HI206,U1-H1993P5HI206-P005,9,10,5,1
H1993P5HI206,U1-H1993P5HI206-P010,19,20,17,1
H1993P5HI206,U1-H1993P5HI206-P052,22,23,1,1
H1993P5HI206,U1-H1993P5HI206-P068,16,17,15,1
H1993P5HI206,U1-H1993P5HI206-P085,24,25,13,1
H1993P5HI206,U1-H1993P5HI206-P087,15,16,14,1
H1993P5HI206,U1-H1993P5HI206-P099,24,25,24,1
H1993P5HI206,U1-H1993P5HI206-P136,16,17,16,1
H1993P5HI206,U1-H1993P5HI206-P146,2,3,1,1
H1993P5HI206,U1-H1993P5HI206-P173,11,12,1,1
H1993P5HI206,U1-H1993P5HI206-P210,4,5,4,1
H1993P6HI214,U1-H1993P6HI214-P015,30,31,16,1
H1993P6HI214,U1-H1993P6HI214-P061,18,19,1,1
H2008P4HI275,U1-H2008P4HI275-P012,28,29,1,1
H2008P4HI275,U1-H2008P4HI275-P030,27,28,2,1
H2008P4HI275,U1-H2008P4HI275-P032,33,34,30,1
H2008P4HI275,U1-H2008P4HI275-P092,13,15,8 14,2
H2008P4HI275,U1-H2008P4HI275-P099,20,21,2,1
H2008P4HI275,U1-H2008P4HI275-P130,20,21,1,1
H2008P4HI275,U1-H2008P4HI275-P167,40,41,31,1
H2008P4HI275,U1-H2008P4HI275-P168,10,11,6,1
H2008P5HI284,U1-H2008P5HI284-P042,7,8,2,1
H2008P5HI284,U1-H2008P5HI284-P118,15,16,10,1
H2008P5HI284,U1-H2008P5HI284-P165,25,26,1,1
H2008P5HI284,U1-H2008P5HI284-P174,13,14,4,1
H2008P5HI284,U1-H2008P5HI284-P181,13,14,6,1
H2008P6HI290,U1-H2008P6HI290-P041,21,24,13 20 22,3
H2008P6HI290,U1-H2008P6HI290-P087,13,14,8,1
H2008P6HI290,U1-H2008P6HI290-P094,18,19,5,1
H2011P4HI323,U1-H2011P4HI323-P032,23,24,11,1
H2011P4HI323,U1-H2011P4HI323-P049,16,17,7,1
H2011P4HI323,U1-H2011P4HI323-P116,33,35,14 16,2
H2011P4HI323,U1-H2011P4HI323-P128,19,20,14,1
H2011P4HI323,U1-H2011P4HI323-P156,15,16,14,1
H2011P5HI333,U1-H2011P5HI333-P044,9,10,8,1
H2011P5HI333,U1-H2011P5HI333-P058,20,21,11,1
H2011P5HI333,U1-H2011P5HI333-P112,52,53,19,1
H2011P5HI333,U1-H2011P5HI333-P116,16,17,10,1
H2011P5HI333,U1-H2011P5HI333-P141,21,22,21,1
H2011P5HI333,U1-H2011P5HI333-P174,15,16,8,1
H2011P6HI342,U1-H2011P6HI342-P046,21,22,18,1
H2011P6HI342,U1-H2011P6HI342-P048,11,12,8,1
H2011P6HI342,U1-H2011P6HI342-P075,10,11,6,1
H2011P6HI342,U1-H2011P6HI342-P091,14,15,14,1
H2014P4HIA,U1-H2014P4HIA-P028,11,12,1,1
H2014P4HIA,U1-H2014P4HIA-P031,7,10,2 6 9,3
H2014P4HIA,U1-H2014P4HIA-P035,15,18,6 9 14,3
H2014P4HIA,U1-H2014P4HIA-P041,27,28,17,1
H2014P4HIA,U1-H2014P4HIA-P042,11,15,4 6 7 12,4
H2014P4HIA,U1-H2014P4HIA-P061,2,3,1,1
H2014P4HIA,U1-H2014P4HIA-P071,13,14,10,1
H2014P4HIA,U1-H2014P4HIA-P082,13,15,7 10,2
H2014P4HIA,U1-H2014P4HIA-P121,8,13,2 4 5 9 10,5
H2014P4HIA,U1-H2014P4HIA-P125,12,14,2 6,2
H2014P4HIA,U1-H2014P4HIA-P153,17,20,7 10 18,3
H2014P4HIA,U1-H2014P4HIA-P156,24,25,8,1
H2014P4HIA,U1-H2014P4HIA-P157,14,15,5,1
H2014P4HIA,U1-H2014P4HIA-P167,17,18,3,1
H2014P4HIA,U1-H2014P4HIA-P186,38,39,29,1
H2014P5HIA,U1-H2014P5HIA-P072,15,16,10,1
H2014P5HIA,U1-H2014P5HIA-P078,31,32,28,1
H2014P5HIA,U1-H2014P5HIA-P098,20,21,7,1
H2014P5HIA,U1-H2014P5HIA-P107,28,30,25 28,2
H2014P5HIA,U1-H2014P5HIA-P109,37,41,4 5 6 7,4
H2014P5HIA,U1-H2014P5HIA-P116,14,15,7,1
H2014P5HIA,U1-H2014P5HIA-P127,9,10,9,1
H2014P5HIA,U1-H2014P5HIA-P156,12,14,8 12,2
H2014P5HIA,U1-H2014P5HIA-P157,9,10,6,1
H2014P5HIA,U1-H2014P5HIA-P162,31,33,16 24,2
H2014P5HIA,U1-H2014P5HIA-P186,10,13,4 7 9,3
H2014P6HIA,U1-H2014P6HIA-P022,31,32,4,1
H2014P6HIA,U1-H2014P6HIA-P027,21,22,9,1
H2014P6HIA,U1-H2014P6HIA-P031,27,29,3 8,2
H2014P6HIA,U1-H2014P6HIA-P050,27,28,22,1
H2014P6HIA,U1-H2014P6HIA-P053,45,47,3 5,2
H2014P6HIA,U1-H2014P6HIA-P058,17,18,3,1
H2014P6HIA,U1-H2014P6HIA-P074,16,19,3 6 12,3
H2014P6HIA,U1-H2014P6HIA-P075,16,17,7,1
H2014P6HIA,U1-H2014P6HIA-P081,19,20,9,1
H2014P6HIA,U1-H2014P6HIA-P101,14,15,10,1
H2014P6HIA,U1-H2014P6HIA-P112,13,14,9,1
H2014P6HIA,U1-H2014P6HIA-P132,38,40,10 33,2
H2014P6HIA,U1-H2014P6HIA-P135,31,32,19,1
H2019P4HIA,U1-H2019P4HIA-P018,16,21,5 8 11 15 18,5
H2019P4HIA,U1-H2019P4HIA-P035,18,19,6,1
H2019P4HIA,U1-H2019P4HIA-P038,26,27,11,1
H2019P4HIA,U1-H2019P4HIA-P042,12,15,3 9 12,3
H2019P4HIA,U1-H2019P4HIA-P101,18,19,11,1
H2019P4HIA,U1-H2019P4HIA-P106,22,24,8 18,2
H2019P4HIA,U1-H2019P4HIA-P112,21,22,1,1
H2019P4HIA,U1-H2019P4HIA-P121,8,12,4 7 9 10,4
H2019P4HIA,U1-H2019P4HIA-P125,11,12,6,1
H2019P4HIA,U1-H2019P4HIA-P145,6,7,6,1
H2019P4HIA,U1-H2019P4HIA-P186,34,36,16 26,2
H2019P5HIA,U1-H2019P5HIA-P048,19,20,3,1
H2019P5HIA,U1-H2019P5HIA-P053,17,18,16,1
H2019P5HIA,U1-H2019P5HIA-P064,17,18,15,1
H2019P5HIA,U1-H2019P5HIA-P072,18,20,4 14,2
H2019P5HIA,U1-H2019P5HIA-P079,24,25,21,1
H2019P5HIA,U1-H2019P5HIA-P080,14,15,7,1
H2019P5HIA,U1-H2019P5HIA-P094,23,24,17,1
H2019P5HIA,U1-H2019P5HIA-P107,23,24,21,1
H2019P5HIA,U1-H2019P5HIA-P149,21,22,16,1
H2019P5HIA,U1-H2019P5HIA-P156,15,16,9,1
