ocr_version,page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,source_image_index,processing_mode,source_provenance,source_bytes,source_sha256_verified,attempts,selected_psm,recognized_words,ocr_chars,mean_word_confidence,median_word_confidence,low_confidence_word_rate,ocr_class,ocr_status,error
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P001,H1993P4HI198,1993,4,Historia,1,0,direct_canonical,W5_history_asset_manifest_source_jpeg,61343,1,psm3:ok:0;psm11:ok:5;psm6:ok:24,6,24,37,38.58,38.98,0.7917,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P002,H1993P4HI198,1993,4,Historia,2,2,direct_canonical,W5_history_asset_manifest_source_jpeg,64556,1,psm3:ok:292,3,292,1782,84.16,92.68,0.1027,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P003,H1993P4HI198,1993,4,Historia,3,3,direct_canonical,W5_history_asset_manifest_source_jpeg,107561,1,psm3:ok:493,3,493,2530,93.86,96.30,0.0061,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P004,H1993P4HI198,1993,4,Historia,4,4,direct_canonical,W5_history_asset_manifest_source_jpeg,67147,1,psm3:ok:223,3,223,997,89.54,93.30,0.0359,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P005,H1993P4HI198,1993,4,Historia,5,5,direct_canonical,W5_history_asset_manifest_source_jpeg,74196,1,psm3:ok:343,3,343,1481,89.34,94.11,0.0321,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P006,H1993P4HI198,1993,4,Historia,6,6,direct_canonical,W5_history_asset_manifest_source_jpeg,71890,1,psm3:ok:292,3,292,1364,91.16,95.09,0.0342,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P007,H1993P4HI198,1993,4,Historia,7,7,direct_canonical,W5_history_asset_manifest_source_jpeg,65123,1,psm3:ok:216,3,216,1038,88.30,93.99,0.0648,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P008,H1993P4HI198,1993,4,Historia,8,8,direct_canonical,W5_history_asset_manifest_source_jpeg,96577,1,psm3:ok:217,3,217,10929,86.53,95.28,0.1106,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P009,H1993P4HI198,1993,4,Historia,9,9,direct_canonical,W5_history_asset_manifest_source_jpeg,87893,1,psm3:ok:471,3,471,2190,87.91,94.82,0.0701,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P010,H1993P4HI198,1993,4,Historia,10,10,direct_canonical,W5_history_asset_manifest_source_jpeg,60270,1,psm3:ok:10,3,10,38,64.66,67.43,0.5000,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P011,H1993P4HI198,1993,4,Historia,11,11,direct_canonical,W5_history_asset_manifest_source_jpeg,88374,1,psm3:ok:230,3,230,2610,89.14,95.19,0.0435,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P012,H1993P4HI198,1993,4,Historia,12,12,direct_canonical,W5_history_asset_manifest_source_jpeg,95698,1,psm3:ok:332,3,332,1674,89.55,94.19,0.0542,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P013,H1993P4HI198,1993,4,Historia,13,13,direct_canonical,W5_history_asset_manifest_source_jpeg,68101,1,psm3:ok:60,3,60,298,87.47,92.72,0.0833,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P014,H1993P4HI198,1993,4,Historia,14,14,direct_canonical,W5_history_asset_manifest_source_jpeg,103356,1,psm3:ok:422,3,422,2138,88.63,93.86,0.0735,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P015,H1993P4HI198,1993,4,Historia,15,15,direct_canonical,W5_history_asset_manifest_source_jpeg,80671,1,psm3:ok:196,3,196,1008,86.89,94.75,0.0918,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P016,H1993P4HI198,1993,4,Historia,16,16,direct_canonical,W5_history_asset_manifest_source_jpeg,70402,1,psm3:ok:6,3,6,24,77.50,83.60,0.1667,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P017,H1993P4HI198,1993,4,Historia,17,17,direct_canonical,W5_history_asset_manifest_source_jpeg,80938,1,psm3:ok:295,3,295,1405,84.29,93.30,0.1288,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P018,H1993P4HI198,1993,4,Historia,18,18,direct_canonical,W5_history_asset_manifest_source_jpeg,94908,1,psm3:ok:28,3,28,108,84.97,94.56,0.1071,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P019,H1993P4HI198,1993,4,Historia,19,19,direct_canonical,W5_history_asset_manifest_source_jpeg,82127,1,psm3:ok:23,3,23,5827,77.96,90.73,0.1739,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P020,H1993P4HI198,1993,4,Historia,20,20,direct_canonical,W5_history_asset_manifest_source_jpeg,90305,1,psm3:ok:260,3,260,1292,89.82,94.12,0.0423,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P021,H1993P4HI198,1993,4,Historia,21,21,direct_canonical,W5_history_asset_manifest_source_jpeg,95649,1,psm3:ok:302,3,302,1398,83.48,93.28,0.1192,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P022,H1993P4HI198,1993,4,Historia,22,22,direct_canonical,W5_history_asset_manifest_source_jpeg,104255,1,psm3:ok:451,3,451,2018,82.75,93.14,0.1375,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P023,H1993P4HI198,1993,4,Historia,23,23,direct_canonical,W5_history_asset_manifest_source_jpeg,83884,1,psm3:ok:208,3,208,1014,87.13,95.18,0.0769,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P024,H1993P4HI198,1993,4,Historia,24,24,direct_canonical,W5_history_asset_manifest_source_jpeg,89714,1,psm3:ok:416,3,416,1953,85.31,94.39,0.1106,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P025,H1993P4HI198,1993,4,Historia,25,25,direct_canonical,W5_history_asset_manifest_source_jpeg,83979,1,psm3:ok:38,3,38,183,70.07,90.12,0.2895,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P026,H1993P4HI198,1993,4,Historia,26,26,direct_canonical,W5_history_asset_manifest_source_jpeg,68383,1,psm3:ok:133,3,133,648,78.65,93.26,0.2030,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P027,H1993P4HI198,1993,4,Historia,27,27,direct_canonical,W5_history_asset_manifest_source_jpeg,132294,1,psm3:ok:125,3,125,621,87.18,94.03,0.0960,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P028,H1993P4HI198,1993,4,Historia,28,28,direct_canonical,W5_history_asset_manifest_source_jpeg,92993,1,psm3:ok:311,3,311,1523,77.41,93.28,0.2412,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P029,H1993P4HI198,1993,4,Historia,29,29,direct_canonical,W5_history_asset_manifest_source_jpeg,74305,1,psm3:ok:59,3,59,270,73.45,91.32,0.2712,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P030,H1993P4HI198,1993,4,Historia,30,30,direct_canonical,W5_history_asset_manifest_source_jpeg,94406,1,psm3:ok:434,3,434,2078,87.15,94.35,0.0806,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P031,H1993P4HI198,1993,4,Historia,31,31,direct_canonical,W5_history_asset_manifest_source_jpeg,103480,1,psm3:ok:404,3,404,2119,83.57,93.27,0.1386,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P032,H1993P4HI198,1993,4,Historia,32,32,direct_canonical,W5_history_asset_manifest_source_jpeg,95326,1,psm3:ok:316,3,316,1572,83.37,93.76,0.1266,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P033,H1993P4HI198,1993,4,Historia,33,33,direct_canonical,W5_history_asset_manifest_source_jpeg,75301,1,psm3:ok:256,3,256,1099,88.73,94.48,0.0586,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P034,H1993P4HI198,1993,4,Historia,34,34,direct_canonical,W5_history_asset_manifest_source_jpeg,94630,1,psm3:ok:215,3,215,1092,84.61,93.36,0.1209,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P035,H1993P4HI198,1993,4,Historia,35,35,direct_canonical,W5_history_asset_manifest_source_jpeg,90109,1,psm3:ok:145,3,145,722,83.81,93.24,0.1379,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P036,H1993P4HI198,1993,4,Historia,36,36,direct_canonical,W5_history_asset_manifest_source_jpeg,92635,1,psm3:ok:235,3,235,1135,86.77,94.31,0.1021,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P037,H1993P4HI198,1993,4,Historia,37,37,direct_canonical,W5_history_asset_manifest_source_jpeg,85191,1,psm3:ok:60,3,60,257,55.86,57.49,0.5167,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P038,H1993P4HI198,1993,4,Historia,38,38,direct_canonical,W5_history_asset_manifest_source_jpeg,82372,1,psm3:ok:231,3,231,1080,84.29,93.22,0.1299,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P039,H1993P4HI198,1993,4,Historia,39,39,direct_canonical,W5_history_asset_manifest_source_jpeg,89750,1,psm3:ok:288,3,288,1392,85.49,93.92,0.1007,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P040,H1993P4HI198,1993,4,Historia,40,40,direct_canonical,W5_history_asset_manifest_source_jpeg,79880,1,psm3:ok:305,3,305,1419,89.24,94.67,0.0590,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P041,H1993P4HI198,1993,4,Historia,41,41,direct_canonical,W5_history_asset_manifest_source_jpeg,81176,1,psm3:ok:254,3,254,2180,85.15,93.84,0.1024,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P042,H1993P4HI198,1993,4,Historia,42,42,direct_canonical,W5_history_asset_manifest_source_jpeg,57729,1,psm3:ok:129,3,129,664,86.81,94.55,0.0698,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P043,H1993P4HI198,1993,4,Historia,43,43,direct_canonical,W5_history_asset_manifest_source_jpeg,56006,1,psm3:ok:6,3,6,40,67.52,82.57,0.3333,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P044,H1993P4HI198,1993,4,Historia,44,44,direct_canonical,W5_history_asset_manifest_source_jpeg,66607,1,psm3:ok:43,3,43,210,87.63,95.24,0.0698,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P045,H1993P4HI198,1993,4,Historia,45,45,direct_canonical,W5_history_asset_manifest_source_jpeg,80642,1,psm3:ok:136,3,136,630,80.06,92.48,0.1912,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P046,H1993P4HI198,1993,4,Historia,46,46,direct_canonical,W5_history_asset_manifest_source_jpeg,103658,1,psm3:ok:287,3,287,1410,87.26,94.28,0.0941,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P047,H1993P4HI198,1993,4,Historia,47,47,direct_canonical,W5_history_asset_manifest_source_jpeg,79957,1,psm3:ok:256,3,256,1179,85.72,93.29,0.0781,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P048,H1993P4HI198,1993,4,Historia,48,48,direct_canonical,W5_history_asset_manifest_source_jpeg,80677,1,psm3:ok:288,3,288,1405,88.32,93.30,0.0694,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P049,H1993P4HI198,1993,4,Historia,49,49,direct_canonical,W5_history_asset_manifest_source_jpeg,88109,1,psm3:ok:326,3,326,1555,88.49,94.06,0.0613,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P050,H1993P4HI198,1993,4,Historia,50,50,direct_canonical,W5_history_asset_manifest_source_jpeg,81916,1,psm3:ok:339,3,339,1572,86.20,93.30,0.0826,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P051,H1993P4HI198,1993,4,Historia,51,51,direct_canonical,W5_history_asset_manifest_source_jpeg,74280,1,psm3:ok:302,3,302,1324,86.02,93.80,0.0927,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P052,H1993P4HI198,1993,4,Historia,52,52,direct_canonical,W5_history_asset_manifest_source_jpeg,75135,1,psm3:ok:196,3,196,883,73.94,90.98,0.2449,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P053,H1993P4HI198,1993,4,Historia,53,53,direct_canonical,W5_history_asset_manifest_source_jpeg,72602,1,psm3:ok:202,3,202,1036,90.52,95.44,0.0396,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P054,H1993P4HI198,1993,4,Historia,54,54,direct_canonical,W5_history_asset_manifest_source_jpeg,85112,1,psm3:ok:179,3,179,2569,83.67,93.32,0.1676,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P055,H1993P4HI198,1993,4,Historia,55,55,direct_canonical,W5_history_asset_manifest_source_jpeg,100838,1,psm3:ok:335,3,335,3915,88.22,93.93,0.0657,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P056,H1993P4HI198,1993,4,Historia,56,56,direct_canonical,W5_history_asset_manifest_source_jpeg,90469,1,psm3:ok:419,3,419,1951,89.28,94.30,0.0549,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P057,H1993P4HI198,1993,4,Historia,57,57,direct_canonical,W5_history_asset_manifest_source_jpeg,100026,1,psm3:ok:435,3,435,2211,89.15,94.55,0.0598,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P058,H1993P4HI198,1993,4,Historia,58,58,direct_canonical,W5_history_asset_manifest_source_jpeg,91331,1,psm3:ok:481,3,481,2298,85.26,93.02,0.0936,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P059,H1993P4HI198,1993,4,Historia,59,59,direct_canonical,W5_history_asset_manifest_source_jpeg,65391,1,psm3:ok:275,3,275,1260,86.30,93.47,0.0982,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P060,H1993P4HI198,1993,4,Historia,60,60,direct_canonical,W5_history_asset_manifest_source_jpeg,49019,1,psm3:ok:26,3,26,103,63.06,55.63,0.5385,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P061,H1993P4HI198,1993,4,Historia,61,61,direct_canonical,W5_history_asset_manifest_source_jpeg,85427,1,psm3:ok:288,3,288,1404,88.21,94.57,0.0694,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P062,H1993P4HI198,1993,4,Historia,62,62,direct_canonical,W5_history_asset_manifest_source_jpeg,101869,1,psm3:ok:316,3,316,1585,88.44,94.23,0.0601,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P063,H1993P4HI198,1993,4,Historia,63,63,direct_canonical,W5_history_asset_manifest_source_jpeg,77519,1,psm3:ok:109,3,109,487,73.76,86.71,0.2661,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P064,H1993P4HI198,1993,4,Historia,64,64,direct_canonical,W5_history_asset_manifest_source_jpeg,91937,1,psm3:ok:235,3,235,1160,85.46,93.75,0.1064,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P065,H1993P4HI198,1993,4,Historia,65,65,direct_canonical,W5_history_asset_manifest_source_jpeg,82207,1,psm3:ok:203,3,203,985,84.03,92.90,0.1232,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P066,H1993P4HI198,1993,4,Historia,66,66,direct_canonical,W5_history_asset_manifest_source_jpeg,81796,1,psm3:ok:343,3,343,1610,92.29,95.64,0.0233,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P067,H1993P4HI198,1993,4,Historia,67,67,direct_canonical,W5_history_asset_manifest_source_jpeg,71354,1,psm3:ok:55,3,55,231,66.05,71.81,0.3273,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P068,H1993P4HI198,1993,4,Historia,68,68,direct_canonical,W5_history_asset_manifest_source_jpeg,76282,1,psm3:ok:200,3,200,879,81.40,92.16,0.1600,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P069,H1993P4HI198,1993,4,Historia,69,69,direct_canonical,W5_history_asset_manifest_source_jpeg,79413,1,psm3:ok:280,3,280,1336,86.43,93.83,0.1107,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P070,H1993P4HI198,1993,4,Historia,70,70,direct_canonical,W5_history_asset_manifest_source_jpeg,93941,1,psm3:ok:365,3,365,1787,88.30,94.92,0.0959,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P071,H1993P4HI198,1993,4,Historia,71,71,direct_canonical,W5_history_asset_manifest_source_jpeg,75949,1,psm3:ok:109,3,109,484,69.73,80.84,0.3303,text_detected,ok,
LTMD_U1_W5_HISTORY_OCR_0.1,U1-H1993P4HI198-P072,H1993P4HI198,1993,4,Historia,72,72,direct_canonical,W5_history_asset_manifest_source_jpeg,93608,1,psm3:ok:367,3,367,1801,89.12,94.21,0.0599,text_detected,ok,
