ocr_version,viewer_key,catalog_generation,grade_code,title_core,processing_mode,pages,sha_verified,text_detected,no_text_detected,unresolved,recognized_words,ocr_chars
LTMD_U1_W5_HISTORY_OCR_0.1,H1993P4HI198,1993,4,Historia,direct_canonical,186,186,186,0,0,47729,291872
LTMD_U1_W5_HISTORY_OCR_0.1,H1993P5HI206,1993,5,Historia,direct_canonical,210,210,210,0,0,47764,432518
LTMD_U1_W5_HISTORY_OCR_0.1,H1993P6HI214,1993,6,Historia,direct_canonical,114,114,114,0,0,32779,274215
LTMD_U1_W5_HISTORY_OCR_0.1,H2008P4HI275,2008,4,HISTORIA,direct_canonical,186,186,186,0,0,46385,330152
LTMD_U1_W5_HISTORY_OCR_0.1,H2008P5HI284,2008,5,HISTORIA,direct_canonical,194,194,194,0,0,37053,297597
LTMD_U1_W5_HISTORY_OCR_0.1,H2008P6HI290,2008,6,HISTORIA,direct_canonical,154,154,154,0,0,29607,207560
LTMD_U1_W5_HISTORY_OCR_0.1,H2011P4HI323,2011,4,HISTORIA,direct_canonical,193,193,193,0,0,37331,359451
LTMD_U1_W5_HISTORY_OCR_0.1,H2011P5HI333,2011,5,HISTORIA,direct_canonical,193,193,193,0,0,38515,378236
LTMD_U1_W5_HISTORY_OCR_0.1,H2011P6HI342,2011,6,HISTORIA,direct_canonical,177,177,177,0,0,36995,359742
LTMD_U1_W5_HISTORY_OCR_0.1,H2014P4HIA,2014,4,Historia,direct_canonical,193,193,193,0,0,39553,257062
LTMD_U1_W5_HISTORY_OCR_0.1,H2014P5HIA,2014,5,Historia,direct_canonical,193,193,193,0,0,44620,306361
LTMD_U1_W5_HISTORY_OCR_0.1,H2014P6HIA,2014,6,Historia,direct_canonical,137,137,137,0,0,31790,264283
LTMD_U1_W5_HISTORY_OCR_0.1,H2019P4HIA,2019,4,Historia,direct_canonical,193,193,193,0,0,38563,275908
LTMD_U1_W5_HISTORY_OCR_0.1,H2019P5HIA,2019,5,Historia,direct_canonical,193,193,193,0,0,44781,305731
LTMD_U1_W5_HISTORY_OCR_0.1,H2019P6HIA,2019,6,Historia,direct_canonical,137,137,137,0,0,32866,220154
